activityID,BiglllustrationId,SquareNum,taskID,time,
3200,1,1,50000,1,
3200,1,2,50001,1,
3200,1,3,50002,1,
3200,1,4,50003,1,
3200,1,5,50004,1,
3200,1,6,50005,1,
3200,1,7,50006,1,
3200,1,8,50007,1,
3200,1,9,50008,1,
3200,2,1,50009,2,
3200,2,2,50010,2,
3200,2,3,50011,2,
3200,2,4,50012,2,
3200,2,5,50013,2,
3200,2,6,50014,2,
3200,2,7,50015,2,
3200,2,8,50016,2,
3200,2,9,50017,2,
3200,3,1,50018,3,
3200,3,2,50019,3,
3200,3,3,50020,3,
3200,3,4,50021,3,
3200,3,5,50022,3,
3200,3,6,50023,3,
3200,3,7,50024,3,
3200,3,8,50025,3,
3200,3,9,50026,3,
3200,4,1,50027,4,
3200,4,2,50028,4,
3200,4,3,50029,4,
3200,4,4,50030,4,
3200,4,5,50031,4,
3200,4,6,50032,4,
3200,4,7,50033,4,
3200,4,8,50034,4,
3200,4,9,50035,4,
3200,5,1,50036,5,
3200,5,2,50037,5,
3200,5,3,50038,5,
3200,5,4,50039,5,
3200,5,5,50040,5,
3200,5,6,50041,5,
3200,5,7,50042,5,
3200,5,8,50043,5,
3200,5,9,50044,5,
3200,6,1,50045,6,
3200,6,2,50046,6,
3200,6,3,50047,6,
3200,6,4,50048,6,
3200,6,5,50049,6,
3200,6,6,50050,6,
3200,6,7,50051,6,
3200,6,8,50052,6,
3200,6,9,50053,6,
3200,7,1,50054,7,
3200,7,2,50055,7,
3200,7,3,50056,7,
3200,7,4,50057,7,
3200,7,5,50058,7,
3200,7,6,50059,7,
3200,7,7,50060,7,
3200,7,8,50061,7,
3200,7,9,50062,7,
