id,name,type,quality,fixQualityId,fixQualityValue,fixQualityWay,randomQualityNum,getRandomProprety,score,lvupItem-type-1,lvupItem-id-1,lvupItem-num-1,lvupItem-type-2,lvupItem-id-2,lvupItem-num-2,lvuptarget,composeItem-type-1,composeItem-id-1,composeItem-num-1,composeItem-type-2,composeItem-id-2,composeItem-num-2,randomProprety,randomrate,blockItem-type-1,blockItem-id-1,blockItem-num-1,blockItem-type-2,blockItem-id-2,blockItem-num-2,
14201,s==4|攻击星石,1,2,2,65,0,1,2,306,2,14201,2,1,8,20000,14301,2,14201,3,1,8,20000,2|3,3000|7000,2,1016,2,,,,
14301,s==4|攻击星石,1,3,2,130,0,2,3|2,611,2,14301,2,1,8,20000,14401,2,14301,3,1,8,20000,3|4|5,2000|7000|1000,2,1016,6,,,,
14401,s==4|攻击星石,1,4,2,260,0,3,4|4|3,1224,2,14401,2,1,8,30000,1450100,2,14401,3,1,8,30000,4|5,6000|4000,2,1016,18,,,,
1450100,s==4|攻击星石,1,5,2,520,0,4,5|4|4|4,2446,,,,,,,,,,,,,,,,2,1016,32,2,14401,1,
14202,s==4|防御星石,2,2,3,39,0,1,2,306,2,14202,2,1,8,20000,14302,2,14202,3,1,8,20000,2|3,3000|7000,2,1016,2,,,,
14302,s==4|防御星石,2,3,3,78,0,2,3|2,611,2,14302,2,1,8,20000,14402,2,14302,3,1,8,20000,3|4|5,2000|7000|1000,2,1016,6,,,,
14402,s==4|防御星石,2,4,3,156,0,3,4|4|3,1224,2,14402,2,1,8,30000,1450200,2,14402,3,1,8,30000,4|5,6000|4000,2,1016,18,,,,
1450200,s==4|防御星石,2,5,3,312,0,4,5|4|4|4,2446,,,,,,,,,,,,,,,,2,1016,32,2,14402,1,
14203,s==4|速度星石,3,2,4,17,0,1,2,306,2,14203,2,1,8,20000,14303,2,14203,3,1,8,20000,2|3,3000|7000,2,1016,2,,,,
14303,s==4|速度星石,3,3,4,34,0,2,3|2,611,2,14303,2,1,8,20000,14403,2,14303,3,1,8,20000,3|4|5,2000|7000|1000,2,1016,6,,,,
14403,s==4|速度星石,3,4,4,68,0,3,4|4|3,1224,2,14403,2,1,8,30000,1450300,2,14403,3,1,8,30000,4|5,6000|4000,2,1016,18,,,,
1450300,s==4|速度星石,3,5,4,136,0,4,5|4|4|4,2446,,,,,,,,,,,,,,,,2,1016,32,2,14403,1,
14204,s==4|生命星石,4,2,1,354,0,1,2,306,2,14204,2,1,8,20000,14304,2,14204,3,1,8,20000,2|3,3000|7000,2,1016,2,,,,
14304,s==4|生命星石,4,3,1,708,0,2,3|2,611,2,14304,2,1,8,20000,14404,3,14304,3,1,8,20000,3|4|5,2000|7000|1000,2,1016,6,,,,
14404,s==4|生命星石,4,4,1,1416,0,3,4|4|3,1224,2,14404,2,1,8,30000,1450400,2,14404,3,1,8,30000,4|5,6000|4000,2,1016,18,,,,
1450400,s==4|生命星石,4,5,1,2832,0,4,5|4|4|4,2446,,,,,,,,,,,,,,,,2,1016,32,2,14404,1,
