id,rareDegree,godBeastid,attr-type-1,attr-way-1,attr-min-1,attr-max-1,attr-type-2,attr-way-2,attr-min-2,attr-max-2,attr-type-3,attr-way-3,attr-min-3,attr-max-3,startPriceMin,startPriceMax,fixPriceMin,fixPriceMax,rate,
1,1,50006,1,1,590,730,2,1,590,730,4,0,59,73,285,330,360,390,20,
2,1,50007,1,1,590,730,2,1,590,730,4,0,59,73,285,330,360,390,20,
3,1,50008,1,1,590,730,2,1,590,730,4,0,59,73,285,330,360,390,20,
4,1,50009,1,1,590,730,2,1,590,730,4,0,59,73,285,330,360,390,20,
5,1,50010,1,1,590,730,2,1,590,730,4,0,59,73,285,330,360,390,20,
6,2,50006,1,1,740,880,2,1,740,880,4,0,74,88,475,550,600,650,20,
7,2,50007,1,1,740,880,2,1,740,880,4,0,74,88,475,550,600,650,20,
8,2,50008,1,1,740,880,2,1,740,880,4,0,74,88,475,550,600,650,20,
9,2,50009,1,1,740,880,2,1,740,880,4,0,74,88,475,550,600,650,20,
10,2,50010,1,1,740,880,2,1,740,880,4,0,74,88,475,550,600,650,20,
11,3,50006,1,1,890,1030,2,1,890,1030,4,0,89,103,950,1200,1200,1400,20,
12,3,50007,1,1,890,1030,2,1,890,1030,4,0,89,103,950,1200,1200,1400,20,
13,3,50008,1,1,890,1030,2,1,890,1030,4,0,89,103,950,1200,1200,1400,20,
14,3,50009,1,1,890,1030,2,1,890,1030,4,0,89,103,950,1200,1200,1400,20,
15,3,50010,1,1,890,1030,2,1,890,1030,4,0,89,103,950,1200,1200,1400,20,
16,4,50011,1,1,1040,1180,2,1,1040,1180,4,0,104,118,2000,2400,2400,2800,20,
17,4,50012,1,1,1040,1180,2,1,1040,1180,4,0,104,118,2000,2400,2400,2800,20,
18,4,50013,1,1,1040,1180,2,1,1040,1180,4,0,104,118,2000,2400,2400,2800,20,
19,4,50014,1,1,1040,1180,2,1,1040,1180,4,0,104,118,2000,2400,2400,2800,20,
20,4,50015,1,1,1040,1180,2,1,1040,1180,4,0,104,118,2000,2400,2400,2800,20,
