id,gridId,gridx,gridy,gridType,gridEventId,changeEventId,
1,1,0,0,2,,,
2,2,1,0,2,,,
3,3,2,0,2,,,
4,4,3,0,2,,,
5,5,4,0,2,,,
6,6,5,0,2,,,
7,7,6,0,2,,,
8,8,7,0,2,,,
9,9,8,0,2,,,
10,10,9,0,2,,,
11,11,0,1,2,,,
12,12,1,1,1,2001,,
13,13,2,1,2,,,
14,14,3,1,2,,,
15,15,4,1,1,2001,,
16,16,5,1,2,,,
17,17,6,1,2,,,
18,18,7,1,1,2001,,
19,19,8,1,2,,,
20,20,9,1,,,,
21,21,0,2,2,,,
22,22,1,2,1,,,
23,23,2,2,1,,,
24,24,3,2,2,,,
25,25,4,2,1,,,
26,26,5,2,1,,,
27,27,6,2,2,,,
28,28,7,2,1,,,
29,29,8,2,1,,,
30,30,9,2,2,,,
31,31,0,3,1,3002,,
32,32,1,3,1,3002,,
33,33,2,3,1,4001,3002,
34,34,3,3,1,3002,,
35,35,4,3,1,4002,3002,
36,36,5,3,1,3002,,
37,37,6,3,1,4003,3002,
38,38,7,3,1,3002,,
39,39,8,3,1,3002,,
40,40,9,3,,,,
41,41,0,4,1,3001,,
42,42,1,4,1,3001,,
43,43,2,4,1,,,
44,44,3,4,1,,,
45,45,4,4,1,,,
46,46,5,4,1,,,
47,47,6,4,1,,,
48,48,7,4,1,,,
49,49,8,4,1,3001,,
50,50,9,4,1,3001,,
51,51,0,5,2,,,
52,52,1,5,2,,,
53,53,2,5,2,,,
54,54,3,5,2,,,
55,55,4,5,1,1001,,
56,56,5,5,2,,,
57,57,6,5,2,,,
58,58,7,5,2,,,
59,59,8,5,2,,,
60,60,9,5,,,,
61,61,0,6,2,,,
62,62,1,6,2,,,
63,63,2,6,2,,,
64,64,3,6,2,,,
65,65,4,6,1,,,
66,66,5,6,1,,,
67,67,6,6,2,,,
68,68,7,6,2,,,
69,69,8,6,2,,,
70,70,9,6,2,,,
71,71,0,7,2,,,
72,72,1,7,2,,,
73,73,2,7,2,,,
74,74,3,7,2,,,
75,75,4,7,1,,,
76,76,5,7,2,,,
77,77,6,7,2,,,
78,78,7,7,2,,,
79,79,8,7,2,,,
80,80,9,7,,,,
81,81,0,8,2,,,
82,82,1,8,2,,,
83,83,2,8,2,,,
84,84,3,8,2,,,
85,85,4,8,2,,,
86,86,5,8,2,,,
87,87,6,8,2,,,
88,88,7,8,2,,,
89,89,8,8,2,,,
90,90,9,8,2,,,
