id,scoreName,quality,power,hpLow,hpHigh,atkLow,atkHigh,speedLow,speedHigh,scoreLow,scoreHigh,
1,s==2|C-,3,50,1,69,1,69,1,6,1,6,
2,s==1|C,3,100,70,149,70,149,7,14,7,14,
3,s==2|C+,3,150,150,239,150,239,15,23,15,23,
4,s==2|B-,4,200,240,349,240,349,24,34,24,34,
5,s==1|B,4,300,350,469,350,469,35,46,35,46,
6,s==2|B+,4,400,470,589,470,589,47,58,47,58,
7,s==2|A-,5,500,590,739,590,739,59,73,59,73,
8,s==1|A,5,600,740,889,740,889,74,88,74,88,
9,s==2|A+,5,800,890,1039,890,1039,89,103,89,103,
10,s==1|S,6,1500,1040,1189,1040,1189,104,118,104,118,
11,s==2|SS,6,2000,1190,1339,1190,1339,119,133,119,133,
12,s==3|SSS,6,3000,1340,1500,1340,1500,134,150,134,150,
