id,activityId,changeType,rounds,roundsrewards-type-1,roundsrewards-id-1,roundsrewards-value-1,roundsrewards-type-2,roundsrewards-id-2,roundsrewards-value-2,roundsrewards-type-3,roundsrewards-id-3,roundsrewards-value-3,needNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,3006,1,1,1,8,500000,2,1001,300,,,,1,1,9,50,1,8,50000,,,,
2,3006,1,1,,,,,,,,,,5,1,9,50,1,8,100000,,,,
3,3006,1,1,,,,,,,,,,10,1,9,50,1,8,150000,,,,
4,3006,1,1,,,,,,,,,,16,1,9,50,1,8,200000,,,,
5,3006,1,1,,,,,,,,,,22,1,9,50,1,8,250000,,,,
6,3006,1,1,,,,,,,,,,28,1,9,50,1,8,300000,,,,
7,3006,1,2,1,8,1000000,2,1006,500,,,,34,1,9,50,1,8,350000,,,,
8,3006,1,2,,,,,,,,,,40,1,9,50,1,8,400000,,,,
9,3006,1,2,,,,,,,,,,46,1,9,50,1,8,450000,,,,
10,3006,1,2,,,,,,,,,,52,1,9,50,1,8,500000,,,,
11,3006,1,2,,,,,,,,,,58,1,9,50,1,8,550000,,,,
12,3006,1,2,,,,,,,,,,64,1,9,50,1,8,600000,,,,
13,3006,1,3,1,8,2500000,2,1003,2,,,,70,1,9,50,1,8,650000,,,,
14,3006,1,3,,,,,,,,,,76,1,9,50,1,8,700000,,,,
15,3006,1,3,,,,,,,,,,82,1,9,50,1,8,750000,,,,
16,3006,1,3,,,,,,,,,,88,1,9,100,1,8,800000,,,,
17,3006,1,3,,,,,,,,,,94,1,9,150,1,8,900000,,,,
18,3006,1,3,,,,,,,,,,100,1,9,200,1,8,1100000,,,,
19,3006,1,4,1,8,3500000,2,1014,2,,,,106,1,9,250,2,19555,1,,,,
20,3006,1,4,,,,,,,,,,112,1,9,300,1,8,1200000,,,,
21,3006,1,4,,,,,,,,,,118,1,9,300,1,8,1300000,,,,
22,3006,1,4,,,,,,,,,,124,1,9,300,1,8,1400000,,,,
23,3006,1,4,,,,,,,,,,130,1,9,300,1,8,1500000,,,,
24,3006,1,4,,,,,,,,,,136,1,9,300,1,8,1600000,,,,
25,3006,1,5,1,8,5000000,2,1004,1,,,,142,1,9,300,1,8,1700000,,,,
26,3006,1,5,,,,,,,,,,148,1,9,300,1,8,1800000,,,,
27,3006,1,5,,,,,,,,,,154,1,9,300,1,8,2000000,,,,
28,3006,1,5,,,,,,,,,,160,1,9,300,1,8,2500000,,,,
29,3006,1,5,,,,,,,,,,166,1,9,300,1,8,3000000,,,,
30,3006,1,5,,,,,,,,,,172,1,9,300,1,8,3500000,,,,
31,3006,2,,,,,,,,,,,1000,1,9,100,2,1003,2,,,,
32,3006,2,,,,,,,,,,,2000,1,9,100,2,1003,2,,,,
33,3006,2,,,,,,,,,,,3000,1,9,100,2,30024,1,,,,
34,3006,2,,,,,,,,,,,5000,1,9,100,2,1003,2,,,,
35,3006,2,,,,,,,,,,,7000,1,9,100,2,1003,2,,,,
36,3006,2,,,,,,,,,,,10000,1,9,100,2,1003,2,,,,
37,3006,2,,,,,,,,,,,12000,1,9,100,2,1003,2,,,,
38,3080,1,1,1,8,500000,2,1001,300,,,,1,1,9,50,1,8,50000,,,,
39,3080,1,1,,,,,,,,,,5,1,9,50,1,8,100000,,,,
40,3080,1,1,,,,,,,,,,10,1,9,50,1,8,150000,,,,
41,3080,1,1,,,,,,,,,,16,1,9,50,1,8,200000,,,,
42,3080,1,1,,,,,,,,,,22,1,9,50,1,8,250000,,,,
43,3080,1,1,,,,,,,,,,28,1,9,50,1,8,300000,,,,
44,3080,1,2,1,8,1000000,2,1006,500,,,,34,1,9,50,1,8,350000,,,,
45,3080,1,2,,,,,,,,,,40,1,9,50,1,8,400000,,,,
46,3080,1,2,,,,,,,,,,46,1,9,50,1,8,450000,,,,
47,3080,1,2,,,,,,,,,,52,1,9,50,1,8,500000,,,,
48,3080,1,2,,,,,,,,,,58,1,9,50,1,8,550000,,,,
49,3080,1,2,,,,,,,,,,64,1,9,50,1,8,600000,,,,
50,3080,1,3,1,8,2500000,2,1003,2,,,,70,1,9,50,1,8,650000,,,,
51,3080,1,3,,,,,,,,,,76,1,9,50,1,8,700000,,,,
