id,type,value,extra,desc,
1,1,0,,s==19|Chiến đấu thắng lợi,
2,2,5000,,s==48|Võ tướng tồn tại còn lại sinh lực không dưới 50%,
3,2,8000,,s==48|Võ tướng tồn tại còn lại sinh lực không dưới 80%,
4,3,0,,s==25|Không có võ tướng tử trận,
5,4,1,,s==42|Số võ tướng tử trận không vượt quá 1 người,
6,5,5,,s==42|Võ tướng xuất chiến không vượt quá 5 người,
7,6,6,,s==31|Chiến đấu không vượt quá 6 lượt,
8,7,1,1,s==48|Võ tướng nước Ngụy xuất chiến không dưới 1 người,
9,7,1,2,s==48|Võ tướng nước Thục xuất chiến không dưới 1 người,
10,7,1,3,s==47|Võ tướng nước Ngô xuất chiến không dưới 1 người,
11,7,1,5,s==42|Võ tướng Ma· xuất chiến không dưới 1 người,
12,7,1,4,s==44|Võ tướng Thần· xuất chiến không dưới 1 người,
13,8,3,1,s==52|Võ tướng nước Ngụy xuất chiến không vượt quá 3 người,
14,8,3,2,s==52|Võ tướng nước Thục xuất chiến không vượt quá 3 người,
15,8,3,3,s==51|Võ tướng nước Ngô xuất chiến không vượt quá 3 người,
16,8,3,5,s==46|Võ tướng Ma· xuất chiến không vượt quá 3 người,
17,8,3,4,s==48|Võ tướng Thần· xuất chiến không vượt quá 3 người,
18,9,1,2,s==37|Trấn vệ xuất chiến không dưới 1 người,
19,9,1,1,s==40|Mãnh tướng xuất chiến không dưới 1 người,
20,9,1,3,s==36|Mưu sĩ xuất chiến không dưới 1 người,
21,9,1,4,s==39|Phương sĩ xuất chiến không dưới 1 người,
22,10,3,2,s==41|Trấn vệ xuất chiến không vượt quá 3 người,
23,10,3,1,s==44|Mãnh tướng xuất chiến không vượt quá 3 người,
24,10,3,3,s==40|Mưu sĩ xuất chiến không vượt quá 3 người,
25,10,3,4,s==43|Phương sĩ xuất chiến không vượt quá 3 người,
26,11,1,13,s==34|Mỗi đội cần có Y vị võ tướng X sao,
27,12,3,13,s==40|Tổng cộng đội cần có Y vị võ tướng X sao,
28,13,1,12,s==42|Mỗi đội cần có Y vị võ tướng X sao trở lên,
29,14,3,12,s==48|Tổng cộng đội cần có Y vị võ tướng X sao trở lên,
30,14,4,12,s==75|1。 Tổng cộng đội cần ít nhất 4 võ tướng 12 sao trở lên\n3。 Cần thắng 2 trận,
31,14,2,13,s==67|1。 Tổng cộng đội cần ít nhất 2 võ tướng 13 sao\n3。 Cần thắng 2 trận,
32,14,4,13,s==67|1。 Tổng cộng đội cần ít nhất 4 võ tướng 13 sao\n3。 Cần thắng 2 trận,
33,14,6,13,s==67|1。 Tổng cộng đội cần ít nhất 6 võ tướng 13 sao\n3。 Cần thắng 2 trận,
34,14,8,13,s==67|1。 Tổng cộng đội cần ít nhất 8 võ tướng 13 sao\n3。 Cần thắng 2 trận,
35,2,5000,,s==56|Hai đội võ tướng tồn tại còn lại sinh lực không dưới 50%,
36,2,8000,,s==56|Hai đội võ tướng tồn tại còn lại sinh lực không dưới 80%,
37,3,0,,s==33|Hai đội không có võ tướng tử trận,
38,4,2,,s==50|Hai đội số võ tướng tử trận không vượt quá 2 người,
39,5,10,,s==51|Hai đội võ tướng xuất chiến không vượt quá 10 người,
40,6,12,,s==40|Hai đội chiến đấu không vượt quá 12 lượt,
41,7,2,1,s==56|Hai đội võ tướng nước Ngụy xuất chiến không dưới 2 người,
42,7,2,2,s==56|Hai đội võ tướng nước Thục xuất chiến không dưới 2 người,
43,7,2,3,s==55|Hai đội võ tướng nước Ngô xuất chiến không dưới 2 người,
44,7,2,5,s==50|Hai đội võ tướng Ma· xuất chiến không dưới 2 người,
45,7,2,4,s==52|Hai đội võ tướng Thần· xuất chiến không dưới 2 người,
46,8,6,1,s==60|Hai đội võ tướng nước Ngụy xuất chiến không vượt quá 6 người,
47,8,6,2,s==60|Hai đội võ tướng nước Thục xuất chiến không vượt quá 6 người,
48,8,6,3,s==59|Hai đội võ tướng nước Ngô xuất chiến không vượt quá 6 người,
49,8,6,5,s==54|Hai đội võ tướng Ma· xuất chiến không vượt quá 6 người,
50,8,6,4,s==56|Hai đội võ tướng Thần· xuất chiến không vượt quá 6 người,
51,9,2,2,s==45|Hai đội trấn vệ xuất chiến không dưới 2 người,
52,9,2,1,s==48|Hai đội mãnh tướng xuất chiến không dưới 2 người,
53,9,2,3,s==44|Hai đội mưu sĩ xuất chiến không dưới 2 người,
54,9,2,4,s==47|Hai đội phương sĩ xuất chiến không dưới 2 người,
55,10,6,2,s==49|Hai đội trấn vệ xuất chiến không vượt quá 6 người,
56,10,6,1,s==52|Hai đội mãnh tướng xuất chiến không vượt quá 6 người,
57,10,6,3,s==48|Hai đội mưu sĩ xuất chiến không vượt quá 6 người,
58,10,6,4,s==51|Hai đội phương sĩ xuất chiến không vượt quá 6 người,
