id,dressid,level,nextLv,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,propertys-type-1,propertys-way-1,propertys-value-1,propertys-type-2,propertys-way-2,propertys-value-2,
1,201,1,2,2,1090,960,1,8,1000000,1,1,100,2,1,100,
2,201,2,3,2,1090,1020,1,8,1000000,1,1,200,2,1,100,
3,201,3,4,2,1090,1080,1,8,1000000,1,1,200,2,1,200,
4,201,4,5,2,1090,1140,1,8,1000000,1,1,300,2,1,200,
5,201,5,6,2,1090,1200,1,8,1000000,1,1,300,2,1,300,
6,201,6,7,2,1090,1260,1,8,1000000,1,1,400,2,1,300,
7,201,7,8,2,1090,1320,1,8,1000000,1,1,400,2,1,400,
8,201,8,9,2,1090,1380,1,8,1000000,1,1,500,2,1,400,
9,201,9,10,2,1090,1440,1,8,1000000,1,1,500,2,1,500,
10,201,10,11,2,1090,1500,1,8,1000000,1,1,600,2,1,600,
11,301,1,2,2,1090,960,1,8,1000000,1,1,300,2,1,300,
12,301,2,3,2,1090,1020,1,8,1000000,1,1,350,2,1,300,
13,301,3,4,2,1090,1080,1,8,1000000,1,1,350,2,1,350,
14,301,4,5,2,1090,1140,1,8,1000000,1,1,400,2,1,350,
15,301,5,6,2,1090,1200,1,8,1000000,1,1,400,2,1,400,
16,301,6,7,2,1090,1260,1,8,1000000,1,1,450,2,1,400,
17,301,7,8,2,1090,1320,1,8,1000000,1,1,450,2,1,450,
18,301,8,9,2,1090,1380,1,8,1000000,1,1,500,2,1,450,
19,301,9,10,2,1090,1440,1,8,1000000,1,1,500,2,1,500,
20,301,10,11,2,1090,1500,1,8,1000000,1,1,600,2,1,600,
21,401,1,2,2,1090,960,1,8,1000000,8,1,300,5,1,300,
22,401,2,3,2,1090,1020,1,8,1000000,8,1,350,5,1,300,
23,401,3,4,2,1090,1080,1,8,1000000,8,1,350,5,1,350,
24,401,4,5,2,1090,1140,1,8,1000000,8,1,400,5,1,350,
25,401,5,6,2,1090,1200,1,8,1000000,8,1,400,5,1,400,
26,401,6,7,2,1090,1260,1,8,1000000,8,1,450,5,1,400,
27,401,7,8,2,1090,1320,1,8,1000000,8,1,450,5,1,450,
28,401,8,9,2,1090,1380,1,8,1000000,8,1,500,5,1,450,
29,401,9,10,2,1090,1440,1,8,1000000,8,1,500,5,1,500,
30,401,10,11,2,1090,1500,1,8,1000000,8,1,600,5,1,600,
31,501,1,2,2,1090,960,1,8,1000000,7,0,250,11,0,200,
32,501,2,3,2,1090,1020,1,8,1000000,7,0,250,11,0,250,
33,501,3,4,2,1090,1080,1,8,1000000,7,0,300,11,0,250,
34,501,4,5,2,1090,1140,1,8,1000000,7,0,300,11,0,300,
35,501,5,6,2,1090,1200,1,8,1000000,7,0,350,11,0,300,
36,501,6,7,2,1090,1260,1,8,1000000,7,0,350,11,0,350,
37,501,7,8,2,1090,1320,1,8,1000000,7,0,400,11,0,350,
38,501,8,9,2,1090,1380,1,8,1000000,7,0,400,11,0,400,
39,501,9,10,2,1090,1440,1,8,1000000,7,0,450,11,0,400,
40,501,10,11,2,1090,1500,1,8,1000000,7,0,450,11,0,450,
41,601,1,2,2,1090,960,1,8,1000000,2,1,300,9,1,300,
42,601,2,3,2,1090,1020,1,8,1000000,2,1,350,9,1,300,
43,601,3,4,2,1090,1080,1,8,1000000,2,1,350,9,1,350,
44,601,4,5,2,1090,1140,1,8,1000000,2,1,400,9,1,350,
45,601,5,6,2,1090,1200,1,8,1000000,2,1,400,9,1,400,
46,601,6,7,2,1090,1260,1,8,1000000,2,1,450,9,1,400,
47,601,7,8,2,1090,1320,1,8,1000000,2,1,450,9,1,450,
48,601,8,9,2,1090,1380,1,8,1000000,2,1,500,9,1,450,
49,601,9,10,2,1090,1440,1,8,1000000,2,1,500,9,1,500,
50,601,10,11,2,1090,1500,1,8,1000000,2,1,600,9,1,600,
51,701,1,2,2,1090,960,1,8,1000000,1,1,300,10,1,300,
52,701,2,3,2,1090,1020,1,8,1000000,1,1,350,10,1,300,
53,701,3,4,2,1090,1080,1,8,1000000,1,1,350,10,1,350,
54,701,4,5,2,1090,1140,1,8,1000000,1,1,400,10,1,350,
55,701,5,6,2,1090,1200,1,8,1000000,1,1,400,10,1,400,
56,701,6,7,2,1090,1260,1,8,1000000,1,1,450,10,1,400,
57,701,7,8,2,1090,1320,1,8,1000000,1,1,450,10,1,450,
58,701,8,9,2,1090,1380,1,8,1000000,1,1,500,10,1,450,
59,701,9,10,2,1090,1440,1,8,1000000,1,1,500,10,1,500,
60,701,10,11,2,1090,1500,1,8,1000000,1,1,600,10,1,600,
61,801,1,2,2,1090,960,1,8,1000000,2,1,300,7,1,300,
62,801,2,3,2,1090,1020,1,8,1000000,2,1,350,7,1,300,
63,801,3,4,2,1090,1080,1,8,1000000,2,1,350,7,1,350,
64,801,4,5,2,1090,1140,1,8,1000000,2,1,400,7,1,350,
65,801,5,6,2,1090,1200,1,8,1000000,2,1,400,7,1,400,
66,801,6,7,2,1090,1260,1,8,1000000,2,1,450,7,1,400,
67,801,7,8,2,1090,1320,1,8,1000000,2,1,450,7,1,450,
68,801,8,9,2,1090,1380,1,8,1000000,2,1,500,7,1,450,
69,801,9,10,2,1090,1440,1,8,1000000,2,1,500,7,1,500,
70,801,10,11,2,1090,1500,1,8,1000000,2,1,600,7,1,600,
71,901,1,2,2,1090,960,1,8,1000000,1,1,300,5,1,300,
72,901,2,3,2,1090,1020,1,8,1000000,1,1,350,5,1,300,
73,901,3,4,2,1090,1080,1,8,1000000,1,1,350,5,1,350,
