id,chapterId,gridId,gridx,gridy,gridType,gridIcon,gridEventId,changeEventId,
1,1,1,0,0,1,40001,,,
2,1,2,1,0,1,40001,10001,,
3,1,3,2,0,1,40001,10002,,
4,1,4,3,0,1,40001,10003,,
5,1,5,4,0,2,40002,,,
6,1,6,5,0,6,40006,,,
7,1,7,6,0,1,40001,10004,,
8,1,8,7,0,3,40003,,,
9,1,9,8,0,5,40005,,,
10,1,10,9,0,2,40002,,,
11,1,11,0,1,6,40006,,,
12,1,12,1,1,1,40001,10005,,
13,1,13,2,1,7,40007,,,
14,1,14,3,1,2,40002,,,
15,1,15,4,1,4,40004,,,
16,1,16,5,1,1,40001,10006,,
17,1,17,6,1,6,40006,,,
18,1,18,7,1,5,40005,,,
19,1,19,8,1,2,40002,,,
20,1,20,9,1,5,40005,,,
21,1,21,0,2,6,40006,,,
22,1,22,1,2,3,40003,,,
23,1,23,2,2,4,40004,,,
24,1,24,3,2,7,40007,,,
25,1,25,4,2,1,40001,10008,,
26,1,26,5,2,2,40002,,,
27,1,27,6,2,1,40001,,,
28,1,28,7,2,1,40001,10007,,
29,1,29,8,2,1,40001,10009,,
30,1,30,9,2,6,40006,,,
31,1,31,0,3,5,40005,,,
32,1,32,1,3,1,40001,10010,,
33,1,33,2,3,2,40002,,,
34,1,34,3,3,3,40003,,,
35,1,35,4,3,4,40004,,,
36,1,36,5,3,6,40006,,,
37,1,37,6,3,7,40007,,,
38,1,38,7,3,1,40001,10011,,
39,1,39,8,3,1,40001,,,
40,1,40,9,3,1,40001,10012,,
41,1,41,0,4,2,40002,,,
42,1,42,1,4,3,40003,,,
43,1,43,2,4,1,40001,10013,,
44,1,44,3,4,6,40006,,,
45,1,45,4,4,1,40001,,,
46,1,46,5,4,1,40001,10014,,
47,1,47,6,4,2,40002,,,
48,1,48,7,4,1,40001,,,
49,1,49,8,4,4,40004,,,
50,1,50,9,4,7,40007,,,
51,1,51,0,5,2,40002,,,
52,1,52,1,5,1,40001,10015,,
53,1,53,2,5,6,40006,,,
54,1,54,3,5,5,40005,,,
55,1,55,4,5,1,40001,10016,,
56,1,56,5,5,1,40001,10017,,
57,1,57,6,5,5,40005,,,
58,1,58,7,5,1,40001,10018,,
59,1,59,8,5,1,40001,10019,,
60,1,60,9,5,1,40001,10019,,
61,1,61,0,6,2,40002,,,
62,1,62,1,6,3,40003,,,
63,1,63,2,6,1,40001,10021,,
64,1,64,3,6,1,40001,10022,,
65,1,65,4,6,4,40004,,,
66,1,66,5,6,1,40001,10017,,
67,1,67,6,6,7,40007,,,
68,1,68,7,6,5,40005,,,
69,1,69,8,6,1,40001,10024,,
70,1,70,9,6,7,40007,,,
71,1,71,0,7,5,40005,,,
72,1,72,1,7,1,40001,10025,,
73,1,73,2,7,1,40001,10026,,
74,1,74,3,7,2,40002,,,
75,1,75,4,7,1,40001,10017,,
76,1,76,5,7,5,40005,,,
77,1,77,6,7,7,40007,,,
78,1,78,7,7,1,40001,10028,,
79,1,79,8,7,5,40005,,,
80,1,80,9,7,5,40005,,,
81,2,1,0,0,0,,,,
82,2,2,1,0,0,,,,
83,2,3,2,0,0,,,,
84,2,4,3,0,0,,,,
85,2,5,4,0,0,,,,
86,2,6,5,0,0,,,,
87,2,7,6,0,12,40012,20042,,
88,2,8,7,0,13,40013,20001,,
89,2,9,8,0,0,,,,
90,2,10,9,0,0,,,,
91,2,11,10,0,13,40013,10025,,
92,2,12,11,0,0,,,,
93,2,13,12,0,0,,,,
94,2,14,13,0,13,40013,20002,,
95,2,15,14,0,13,40013,,20003,
96,2,16,15,0,0,,,,
97,2,17,0,1,0,,,,
98,2,18,1,1,13,40013,20004,,
99,2,19,2,1,0,,,,
100,2,20,3,1,0,,,,
101,2,21,4,1,0,,,,
102,2,22,5,1,10,40010,,,
103,2,23,6,1,11,40011,,,
104,2,24,7,1,13,40013,20005,,
105,2,25,8,1,13,40013,,,
106,2,26,9,1,12,40012,,,
107,2,27,10,1,10,40010,,,
108,2,28,11,1,13,40013,,,
109,2,29,12,1,11,40011,,,
110,2,30,13,1,10,40010,,,
111,2,31,14,1,13,40013,,20006,
112,2,32,15,1,0,,,,
113,2,33,0,2,0,,,,
114,2,34,1,2,13,40013,10030,,
115,2,35,2,2,13,40013,20044,,
116,2,36,3,2,13,40013,,,
117,2,37,4,2,10,40010,,,
118,2,38,5,2,13,40013,20007,,
119,2,39,6,2,13,40013,20008,,
120,2,40,7,2,11,40011,,,
121,2,41,8,2,10,40010,,,
122,2,42,9,2,11,40011,,,
123,2,43,10,2,13,40013,20009,,
124,2,44,11,2,10,40010,,,
125,2,45,12,2,12,40012,,,
126,2,46,13,2,11,40011,,,
127,2,47,14,2,13,40013,,20010,
128,2,48,15,2,10,40010,,,
129,2,49,0,3,0,,,,
130,2,50,1,3,13,40013,,,
131,2,51,2,3,12,40012,,,
132,2,52,3,3,10,40010,,,
133,2,53,4,3,13,40013,,,
134,2,54,5,3,13,40013,20011,,
135,2,55,6,3,12,40012,,,
136,2,56,7,3,13,40013,20012,,
137,2,57,8,3,13,40013,,,
138,2,58,9,3,12,40012,,,
139,2,59,10,3,13,40013,,,
140,2,60,11,3,9,40009,,,
141,2,61,12,3,12,40012,,,
142,2,62,13,3,13,40013,,,
143,2,63,14,3,11,40011,,,
144,2,64,15,3,0,,,,
145,2,65,0,4,0,,,,
146,2,66,1,4,0,,,,
