id,activityID,dateStart,dateEnd,items-type-1,items-id-1,items-value-1,chooseMax,appearNum,floorNum,weight,seeWeight,
1,3440,1,210,2,6855,20,6,20,18,5000,5000,
2,3440,1,210,2,6693,1,7,20,18,5000,5000,
3,3440,1,210,2,2008,5,20,20,16,3000,3000,
4,3440,1,210,2,1003,5,20,20,16,3000,3000,
5,3440,1,210,2,1006,1000,20,20,16,3000,3000,
6,3440,1,210,2,2009,5,20,20,16,3000,3000,
7,3440,211,266,2,6856,20,6,20,18,5000,5000,
8,3440,211,266,2,6693,1,7,20,18,5000,5000,
9,3440,211,266,2,2008,5,20,20,16,3000,3000,
10,3440,211,266,2,1003,5,20,20,16,3000,3000,
11,3440,211,266,2,1006,1000,20,20,16,3000,3000,
12,3440,211,266,2,2009,5,20,20,16,3000,3000,
13,3440,267,321,2,6857,20,6,20,18,5000,5000,
14,3440,267,321,2,6693,1,7,20,18,5000,5000,
15,3440,267,321,2,2008,5,20,20,16,3000,3000,
16,3440,267,321,2,1003,5,20,20,16,3000,3000,
17,3440,267,321,2,1006,1000,20,20,16,3000,3000,
18,3440,267,321,2,2009,5,20,20,16,3000,3000,
19,3440,322,377,2,6858,20,6,20,18,5000,5000,
20,3440,322,377,2,6693,1,7,20,18,5000,5000,
21,3440,322,377,2,2008,5,20,20,16,3000,3000,
22,3440,322,377,2,1003,5,20,20,16,3000,3000,
23,3440,322,377,2,1006,1000,20,20,16,3000,3000,
24,3440,322,377,2,2009,5,20,20,16,3000,3000,
25,3440,378,-1,2,6962,20,6,20,18,5000,5000,
26,3440,378,-1,2,6693,1,7,20,18,5000,5000,
27,3440,378,-1,2,2008,5,20,20,16,3000,3000,
28,3440,378,-1,2,1003,5,20,20,16,3000,3000,
29,3440,378,-1,2,1006,1000,20,20,16,3000,3000,
30,3440,378,-1,2,2009,5,20,20,16,3000,3000,
