id,eventID,eventType,param%1,param%2,param%3,randOdd,eventName,rewards-type-1,rewards-id-1,rewards-value-1,desc,eventText,resultText,buttonAText,buttonBText,
1,101,1,1010,1,,,s==16|Dương Uy Võ Quán,,,,s==37|Sự kiện công trình - Dương Uy Võ Quán,,,,,
2,102,1,1020,2,,,s==15|Cẩm Tú Thực Phủ,,,,s==36|Sự kiện công trình - Cẩm Tú Thực Phủ,,,,,
3,103,1,1030,3,,,s==21|Hưng Thịnh Ngân Trang,,,,s==42|Sự kiện công trình - Hưng Thịnh Ngân Trang,,,,,
4,104,1,1040,4,,,s==18|An Bang Thành Quan,,,,s==39|Sự kiện công trình - An Bang Thành Quan,,,,,
5,105,1,1050,5,,,s==16|Dục Tài Thư Viện,,,,s==37|Sự kiện công trình - Dục Tài Thư Viện,,,,,
6,201,2,,,,,s==17|Vận may liên tiếp,2,1179,8,s==28|Nhận được - Ít điểm tích lũy,,,,,
7,202,2,,,,,s==17|Vận may liên tiếp,2,1179,15,s==37|Nhận được - Trung lượng điểm tích lũy,,,,,
8,203,2,,,,,s==17|Vận may liên tiếp,2,1179,30,s==35|Nhận được - Đại lượng điểm tích lũy,,,,,
9,301,3,1,6,,10,s==19|Cẩn thận trượt chân,,,,s==28|Ngẫu nhiên - Tiến lên N bước,s==143|Ngươi đang lo lắng về cảnh tượng bẩn thỉu hỗn loạn của chợ phiên， bất chợt chẳng may dẫm phải vỏ chuối， không kềm được mà trượt về phía trước……,s==30|Tiến về phía trước {name} bước,s==8|Xác định,,
10,301,3,-6,-1,,10,s==19|Cẩn thận trượt chân,,,,s==27|Ngẫu nhiên - Lùi lại N bước,s==141|Ngươi đang lo lắng về cảnh tượng bẩn thỉu hỗn loạn của chợ phiên， bất chợt chẳng may dẫm phải vỏ chuối， không kềm được mà trượt về phía sau……,s==27|Lùi về phía sau {name} bước,s==8|Xác định,,
11,301,4,,,,20,s==15|Gặp đạo tặc nhỏ,,,,s==22|Ngẫu nhiên - Chiến đấu,s==269|Ngươi đang thị sát đường phố thành trấn， bỗng cảm thấy sau lưng một trận lãnh khí。 chớp nhoáng trong chớp mắt， ngươi phản thủ một cái nắm， liền bắt được bàn tay ma quái vươn tới túi tiền bên hông ngươi。 ban ngày ban mặt mà lại có kẻ trộm cắp hành sự， ngươi quyết định……,s==39|Có nên dạy cho tên đạo tặc một bài học?,s==9|Tha cho y,s==18|Dạy cho y một trận,
12,301,5,3,,,20,s==17|Thương nhân bí ẩn,,,,s==20|Ngẫu nhiên - Mua bán,s==282|Trên chợ phiên， ngươi gặp một bóng dáng quen thuộc， Ma Tiên Hoa Đà lại nói có hàng tốt muốn bán cho ngươi。 “Đừng dùng ánh mắt đó nhìn ta， Ma Tiên cũng phải kiếm sống mà” Ngươi thấy trong hộp bảo vật trong tay y phát ra ánh vàng， dường như chứa đựng vật báu gì đó， ngươi quyết định……,s==36|Có chịu tốn {name} KNB để mua không?,s==7|Từ chối,s==3|Mua,
13,301,6,,,,40,s==16|Tiên nhân ban lễ,,,,s==21|Ngẫu nhiên - Lựa chọn,s==229|Trên đường ngươi gặp một con tiểu miêu bị thương， ngươi vừa băng bó cho nó xong， nó liền biến hóa thành hình tượng tiên nhân， còn nói sẽ tặng ngươi một vật lễ tạ。 trong tay trái phải y mỗi bên đều có một món quà， ngươi lựa chọn……,s==28|Xin chọn phần thưởng bên nào,s==8|Bên trái,s==8|Bên phải,
14,401,7,,,,,s==19|Hoàn thành một vòng,,,,s==18|Qua điểm xuất phát,,,,,
