id,dateStart,dateEnd,faction,gains-type-1,gains-id-1,gains-value-1,consumes-type-1,consumes-id-1,consumes-value-1,
1,1,-1,1,2,21401,30,1,32,3,
2,1,-1,1,2,21402,30,1,32,3,
3,1,-1,1,2,21403,30,1,32,3,
4,1,-1,1,2,21404,30,1,32,3,
5,1,-1,1,2,21405,50,1,32,20,
6,1,-1,1,2,21501,50,1,32,20,
7,1,-1,1,2,21502,50,1,32,20,
8,1,-1,1,2,21503,50,1,32,50,
9,1,-1,1,2,21504,50,1,32,50,
10,1,-1,1,2,21505,50,1,32,50,
11,1,-1,1,2,21507,50,1,32,60,
12,1,-1,1,2,21508,50,1,32,60,
13,1,-1,1,2,21510,50,1,32,50,
14,1,-1,1,2,21512,50,1,32,50,
15,1,-1,2,2,22402,30,1,32,3,
16,1,-1,2,2,22403,30,1,32,3,
17,1,-1,2,2,22404,30,1,32,3,
18,1,-1,2,2,22405,30,1,32,3,
19,1,-1,2,2,22401,50,1,32,20,
20,1,-1,2,2,22501,50,1,32,50,
21,1,-1,2,2,22502,50,1,32,50,
22,1,-1,2,2,22504,50,1,32,60,
23,1,-1,2,2,22505,50,1,32,50,
24,1,-1,2,2,22507,50,1,32,60,
25,1,-1,2,2,22508,50,1,32,50,
26,1,-1,2,2,22509,50,1,32,50,
27,1,-1,2,2,22510,50,1,32,20,
28,1,-1,2,2,22511,50,1,32,50,
29,1,-1,3,2,23401,30,1,32,3,
30,1,-1,3,2,23402,30,1,32,3,
31,1,-1,3,2,23403,30,1,32,3,
32,1,-1,3,2,23404,30,1,32,3,
33,1,-1,3,2,23405,50,1,32,20,
34,1,-1,3,2,23502,50,1,32,50,
35,1,-1,3,2,23503,50,1,32,50,
36,1,-1,3,2,23504,50,1,32,50,
37,1,-1,3,2,23506,50,1,32,60,
38,1,-1,3,2,23507,50,1,32,60,
39,1,-1,3,2,23508,50,1,32,50,
40,1,-1,3,2,23510,50,1,32,50,
41,1,-1,3,2,23511,50,1,32,120,
42,1,-1,3,2,23513,50,1,32,20,
43,1,-1,4,2,24401,30,1,32,3,
44,1,-1,4,2,24403,30,1,32,3,
45,1,-1,4,2,24404,30,1,32,3,
46,1,-1,4,2,24402,50,1,32,30,
47,1,-1,4,2,24501,50,1,32,60,
48,1,-1,4,2,24502,50,1,32,60,
49,1,-1,4,2,24503,50,1,32,60,
50,1,-1,4,2,24504,50,1,32,60,
51,1,-1,4,2,24506,50,1,32,60,
52,1,-1,4,2,24508,50,1,32,70,
53,1,-1,4,2,24510,50,1,32,60,
54,1,-1,4,2,24513,50,1,32,60,
55,1,-1,4,2,24505,50,1,32,70,
56,1,-1,5,2,25402,30,1,32,3,
57,1,-1,5,2,25403,30,1,32,3,
58,1,-1,5,2,25404,30,1,32,3,
59,1,-1,5,2,25501,50,1,32,30,
60,1,-1,5,2,25503,50,1,32,60,
61,1,-1,5,2,25401,50,1,32,60,
62,1,-1,5,2,25504,50,1,32,70,
63,1,-1,5,2,25506,50,1,32,60,
64,1,-1,5,2,25507,50,1,32,60,
65,1,-1,5,2,25509,50,1,32,60,
66,1,-1,5,2,25510,50,1,32,100,
67,1,-1,5,2,25513,50,1,32,60,
68,1,-1,5,2,25514,50,1,32,70,
69,1,-1,5,2,25515,50,1,32,60,
70,61,-1,4,2,24516,50,1,32,70,
71,91,-1,2,2,22515,50,1,32,60,
72,91,-1,5,2,25516,50,1,32,70,
73,91,-1,1,2,21516,50,1,32,60,
74,91,-1,4,2,24517,50,1,32,70,
