id,group,classify,level,base-type-1,base-way-1,base-value-1,
1,1001,2,1,2,1,40,
2,1001,2,2,2,1,80,
3,1001,2,3,2,1,120,
4,1001,2,4,2,1,160,
5,1001,2,5,2,1,200,
6,1001,2,6,2,1,240,
7,1001,2,7,2,1,280,
8,1001,2,8,2,1,320,
9,1001,2,9,2,1,360,
10,1001,2,10,2,1,400,
11,1001,2,11,2,1,440,
12,1001,2,12,2,1,480,
13,1001,1,1,2,1,40,
14,1001,1,2,2,1,80,
15,1001,1,3,2,1,120,
16,1001,1,4,2,1,160,
17,1001,1,5,2,1,210,
18,1001,1,6,2,1,260,
19,1001,1,7,2,1,310,
20,1001,1,8,2,1,360,
21,1001,1,9,2,1,410,
22,1001,1,10,2,1,460,
23,1001,1,11,2,1,510,
24,1001,1,12,2,1,560,
25,1002,2,1,1,1,40,
26,1002,2,2,1,1,80,
27,1002,2,3,1,1,120,
28,1002,2,4,1,1,160,
29,1002,2,5,1,1,200,
30,1002,2,6,1,1,240,
31,1002,2,7,1,1,280,
32,1002,2,8,1,1,320,
33,1002,2,9,1,1,360,
34,1002,2,10,1,1,400,
35,1002,2,11,1,1,440,
36,1002,2,12,1,1,480,
37,1002,1,1,1,1,40,
38,1002,1,2,1,1,80,
39,1002,1,3,1,1,120,
40,1002,1,4,1,1,160,
41,1002,1,5,1,1,210,
42,1002,1,6,1,1,260,
43,1002,1,7,1,1,310,
44,1002,1,8,1,1,360,
45,1002,1,9,1,1,410,
46,1002,1,10,1,1,460,
47,1002,1,11,1,1,510,
48,1002,1,12,1,1,560,
49,1003,2,1,3,1,40,
50,1003,2,2,3,1,80,
51,1003,2,3,3,1,120,
52,1003,2,4,3,1,160,
53,1003,2,5,3,1,200,
54,1003,2,6,3,1,240,
55,1003,2,7,3,1,280,
56,1003,2,8,3,1,320,
57,1003,2,9,3,1,360,
58,1003,2,10,3,1,400,
59,1003,2,11,3,1,440,
60,1003,2,12,3,1,480,
61,1003,1,1,3,1,40,
62,1003,1,2,3,1,80,
63,1003,1,3,3,1,120,
64,1003,1,4,3,1,160,
65,1003,1,5,3,1,210,
66,1003,1,6,3,1,260,
67,1003,1,7,3,1,310,
68,1003,1,8,3,1,360,
69,1003,1,9,3,1,410,
70,1003,1,10,3,1,460,
71,1003,1,11,3,1,510,
