id,minPower,maxPower,easyBattle,normalBattle,hardBattle,hellBattle,
1,0,10000000,110001,110002,110003,110004,
2,10000000,10500000,110005,110006,110007,110008,
3,10500000,11000000,110009,110010,110011,110012,
4,11000000,11500000,110013,110014,110015,110016,
5,11500000,12000000,110017,110018,110019,110020,
6,12000000,12500000,110021,110022,110023,110024,
7,12500000,13000000,110025,110026,110027,110028,
8,13000000,13500000,110029,110030,110031,110032,
9,13500000,14000000,110033,110034,110035,110036,
10,14000000,14500000,110037,110038,110039,110040,
11,14500000,15000000,110041,110042,110043,110044,
12,15000000,15500000,110045,110046,110047,110048,
13,15500000,16000000,110049,110050,110051,110052,
14,16000000,17000000,110053,110054,110055,110056,
15,17000000,18000000,110057,110058,110059,110060,
16,18000000,19000000,110061,110062,110063,110064,
17,19000000,20000000,110065,110066,110067,110068,
18,20000000,21000000,110069,110070,110071,110072,
19,21000000,22000000,110073,110074,110075,110076,
20,22000000,23000000,110077,110078,110079,110080,
21,23000000,24000000,110081,110082,110083,110084,
22,24000000,25000000,110085,110086,110087,110088,
23,25000000,26000000,110089,110090,110091,110092,
24,26000000,27000000,110093,110094,110095,110096,
25,27000000,28000000,110097,110098,110099,110100,
26,28000000,29000000,110101,110102,110103,110104,
27,29000000,30000000,110105,110106,110107,110108,
28,30000000,31000000,110109,110110,110111,110112,
29,31000000,32000000,110113,110114,110115,110116,
30,32000000,33000000,110117,110118,110119,110120,
31,33000000,35000000,110121,110122,110123,110124,
32,35000000,37000000,110125,110126,110127,110128,
33,37000000,39000000,110129,110130,110131,110132,
34,39000000,41000000,110133,110134,110135,110136,
35,41000000,43000000,110137,110138,110139,110140,
36,43000000,45000000,110141,110142,110143,110144,
37,45000000,47000000,110145,110146,110147,110148,
38,47000000,49000000,110149,110150,110151,110152,
39,49000000,51000000,110153,110154,110155,110156,
40,51000000,53000000,110157,110158,110159,110160,
41,53000000,55000000,110161,110162,110163,110164,
42,55000000,57000000,110165,110166,110167,110168,
43,57000000,59000000,110169,110170,110171,110172,
44,59000000,61000000,110173,110174,110175,110176,
45,61000000,63000000,110177,110178,110179,110180,
46,63000000,65000000,110181,110182,110183,110184,
47,65000000,67000000,110185,110186,110187,110188,
48,67000000,69000000,110189,110190,110191,110192,
49,69000000,71000000,110193,110194,110195,110196,
50,71000000,73000000,110197,110198,110199,110200,
51,73000000,75000000,110201,110202,110203,110204,
52,75000000,77000000,110205,110206,110207,110208,
53,77000000,79000000,110209,110210,110211,110212,
54,79000000,81000000,110213,110214,110215,110216,
55,81000000,83000000,110217,110218,110219,110220,
56,83000000,85000000,110221,110222,110223,110224,
57,85000000,87000000,110225,110226,110227,110228,
58,87000000,89000000,110229,110230,110231,110232,
59,89000000,91000000,110233,110234,110235,110236,
60,91000000,93000000,110237,110238,110239,110240,
61,93000000,95000000,110241,110242,110243,110244,
62,95000000,97000000,110245,110246,110247,110248,
63,97000000,99000000,110249,110250,110251,110252,
64,99000000,101000000,110253,110254,110255,110256,
65,101000000,103000000,110257,110258,110259,110260,
66,103000000,105000000,110261,110262,110263,110264,
67,105000000,107000000,110265,110266,110267,110268,
68,107000000,109000000,110269,110270,110271,110272,
69,109000000,0,110273,110274,110275,110276,
