id,dateStart,dateEnd,stageStart,stageEnd,stage,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,14,1,3,1,6,2,1003,1,1,8,100000,2,1001,50,
2,1,14,1,3,1,68,2,1003,5,1,8,100000,2,1001,50,
3,1,14,1,3,1,100,2,1079,1,2,1080,5,2,1001,50,
4,1,14,1,3,1,200,2,1004,3,2,1003,6,2,1006,2000,
5,1,14,1,3,1,500,2,1516,1,2,1029,40,2,1006,5000,
6,1,14,1,3,1,1000,2,1105,10,2,1003,15,2,1006,8000,
7,1,14,1,3,1,2000,2,1004,8,2,3014,50,2,1006,20000,
8,1,14,1,3,1,5000,2,1177,1,2,3014,50,2,1020,40,
9,1,14,1,3,1,10000,2,4050,1,2,3014,100,2,1020,60,
10,1,14,1,3,1,20000,2,6666,1,2,3014,100,2,1021,30,
11,1,14,4,7,2,6,2,1003,1,1,8,100000,2,1001,50,
12,1,14,4,7,2,68,2,1003,5,1,8,100000,2,1001,50,
13,1,14,4,7,2,100,2,1079,1,2,1080,5,2,1001,50,
14,1,14,4,7,2,200,2,1004,3,2,1003,6,2,1006,2000,
15,1,14,4,7,2,500,2,1516,1,2,1029,40,2,1006,5000,
16,1,14,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,
17,1,14,4,7,2,2000,2,1004,8,2,3014,50,2,1006,20000,
18,1,14,4,7,2,5000,2,1177,1,2,3014,100,2,1043,120,
19,1,14,4,7,2,10000,2,4050,1,2,3014,100,2,1044,50,
20,1,14,4,7,2,20000,2,6666,1,2,3014,200,2,1044,50,
21,15,30,1,3,1,6,2,1003,1,1,8,100000,2,1001,50,
22,15,30,1,3,1,68,2,1003,5,1,8,100000,2,1001,50,
23,15,30,1,3,1,100,2,1079,1,2,1080,5,2,1001,50,
24,15,30,1,3,1,200,2,1004,3,2,1003,6,2,1006,2000,
25,15,30,1,3,1,500,2,1516,1,2,1029,40,2,1006,5000,
26,15,30,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
27,15,30,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,
28,15,30,1,3,1,5000,2,6677,1,2,3014,50,2,1020,40,
29,15,30,1,3,1,10000,2,6674,1,2,3014,100,2,1020,60,
