id,drawTime,maxTime,activityId,boxreward-type-1,boxreward-id-1,boxreward-value-1,boxreward-type-2,boxreward-id-2,boxreward-value-2,
1,5,9,3013,2,1003,3,,,,
2,10,24,3013,2,1004,1,,,,
3,25,44,3013,2,47000,1,,,,
4,45,69,3013,2,1460,1,,,,
5,70,99,3013,2,1461,1,,,,
6,100,149,3013,2,1468,1,,,,
7,150,200,3013,2,2128,1,,,,
8,5,9,3100,2,1003,3,,,,
9,10,24,3100,2,1004,1,,,,
10,25,44,3100,2,1004,2,,,,
11,45,69,3100,2,1460,1,,,,
12,70,99,3100,2,1461,1,,,,
13,100,149,3100,2,1468,1,,,,
14,150,200,3100,2,2128,1,,,,
