id,level,properties-type-1,properties-way-1,properties-value-1,properties-type-2,properties-way-2,properties-value-2,properties-type-3,properties-way-3,properties-value-3,properties-type-4,properties-way-4,properties-value-4,
1,0,2,1,0,3,2,0,1,1,0,4,0,0,
2,1,2,1,200,3,2,200,1,1,200,4,0,4,
3,2,2,1,400,3,2,400,1,1,400,4,0,8,
4,3,2,1,600,3,2,600,1,1,600,4,0,12,
5,4,2,1,800,3,2,800,1,1,800,4,0,16,
6,5,2,1,1000,3,2,1000,1,1,1000,4,0,20,
7,6,2,1,1200,3,2,1200,1,1,1200,4,0,24,
8,7,2,1,1400,3,2,1400,1,1,1400,4,0,28,
9,8,2,1,1600,3,2,1600,1,1,1600,4,0,32,
10,9,2,1,1800,3,2,1800,1,1,1800,4,0,36,
11,10,2,1,2000,3,2,2000,1,1,2000,4,0,40,
12,11,2,1,2200,3,2,2200,1,1,2200,4,0,44,
13,12,2,1,2400,3,2,2400,1,1,2400,4,0,48,
14,13,2,1,2600,3,2,2600,1,1,2600,4,0,52,
15,14,2,1,2800,3,2,2800,1,1,2800,4,0,56,
16,15,2,1,3000,3,2,3000,1,1,3000,4,0,60,
