id,arrayId,campType,property-type-1,property-way-1,property-value-1,property-type-2,property-way-2,property-value-2,
1,1001,1,1,0,15000,2,0,1500,
2,1001,2,1,0,3500,2,0,350,
3,1001,3,1,0,3500,2,0,350,
4,1002,1,1,0,15000,2,0,1500,
5,1002,2,1,0,3500,2,0,350,
6,1002,3,1,0,3500,2,0,350,
7,1003,1,1,0,15000,2,0,1500,
8,1003,2,1,0,3500,2,0,350,
9,1003,3,1,0,3500,2,0,350,
10,1004,1,1,0,3500,2,0,350,
11,1004,2,1,0,3500,2,0,350,
12,1004,3,1,0,3500,2,0,350,
13,1005,1,1,0,3500,2,0,350,
14,1005,2,1,0,3500,2,0,350,
15,1005,3,1,0,3500,2,0,350,
16,1006,1,1,0,3500,2,0,350,
17,1006,2,1,0,3500,2,0,350,
18,1006,3,1,0,3500,2,0,350,
19,1007,1,1,0,1000,2,0,100,
20,1007,2,1,0,1000,2,0,100,
21,1007,3,1,0,1000,2,0,100,
