id,hint,
0,s==17|Thao tác thất bại,
1,s==19|Thao tác thành công,
2,s==31|Trong bao không có vật phẩm này,
3,s==36|Số lượng vật phẩm trong bao không đủ,
4,s==17|Số lượng sai lệch,
5,s==21|Không có vật phẩm này,
6,s==16|Yêu cầu phi pháp,
7,s==30|Vật phẩm này không thể sử dụng,
8,s==26|Vật phẩm này không thể bán,
9,s==35|Xin chủ công hãy tạo nhân vật trước,
10,s==45|Tài khoản này đã đăng nhập trên thiết bị khác,
11,s==37|Không thể gửi tin nhắn cho chính mình,
12,s==28|Không thể gửi tin nhắn trống,
13,s==36|Chủ công chưa mở kênh trò chuyện này,
14,s==31|Chủ công gửi tin nhắn quá nhanh,
15,s==40|Hệ thống trò chuyện của chủ công chưa mở,
16,s==42|Không thể gửi tin nhắn trong kênh hệ thống,
17,s==27|Tên tướng này không tồn tại,
18,s==21|KNB hiện tại không đủ,
19,s==25|Cấp VIP hiện tại không đủ,
20,s==41|Cấp bậc chưa đủ， xin chư vị cố gắng thêm.,
21,s==52|Hệ thống chưa khai mở， xin chủ công tiếp tục nỗ lực.,
22,s==43|Số lượng vật phẩm trong bao đã đạt giới hạn,
23,s==32|Chủ công chưa gia nhập quân đoàn,
24,s==27|Chủ công đã nhận thưởng rồi,
25,s==24|Đã đạt số lần mua tối đa,
26,s==23|Đã đạt cấp bậc cao nhất,
27,s==66|Mức độ hoạt động hiện tại chưa đủ， xin chủ công tiếp tục phấn đấu.,
28,s==56|Nguyên bảo hiện tại không đủ， xin đến giao diện nạp thẻ.,
29,s==63|Cấp thế giới hiện tại chưa đủ， chư vị chủ công còn cần cố gắng.,
30,s==35|Kinh nghiệm tướng hiện tại không đủ,
31,s==21|KNB hiện tại không đủ,
32,s==27|Đồng tiền hiện tại không đủ,
33,s==34|Chưa đạt số lần hoàn thành yêu cầu,
34,s==28|Vật phẩm đổi thưởng không đủ,
35,s==29|Mức nạp thẻ hiện tại không đủ,
36,s==31|Điểm tích lũy hiện tại không đủ,
37,s==17|Cấu hình sai lệch,
38,s==41|Tướng này đang trong trạng thái xuất trận,
39,s==20|Tướng này đã bị khóa,
40,s==15|Từ ngữ nhạy cảm,
41,s==33|Số lần thử thách còn lại không đủ,
42,s==39|Số lần thử thách hiện tại chưa dùng hết,
43,s==28|Các ải đã hoàn toàn vượt qua,
44,s==22|Trận chiến đã kết thúc,
45,s==24|Trận chiến chưa kết thúc,
46,s==24|Trận chiến không tồn tại,
47,s==17|Chưa mở đặc quyền,
48,s==19|Hiện tại bị cấm nói,
49,s==26|Bình luận anh hùng quá dài,
51,s==22|Số lần đã đạt giới hạn,
54,s==26|Số ngày mở máy chủ chưa đủ,
1000,s==30|Số lần làm mới đã đạt giới hạn,
2000,s==13|Không thể đổi,
3000,s==28|Trạng thái nhiệm vụ sai lệch,
4100,s==23|Tướng này không tồn tại,
4101,s==26|Sao tướng này dưới năm sao,
4102,s==34|Cấp độ vật liệu thăng sao sai lệch,
4103,s==35|Sao của vật liệu thăng sao sai lệch,
4104,s==40|Môn phái của vật liệu thăng sao sai lệch,
4105,s==34|Mẫu ID vật liệu thăng sao sai lệch,
4106,s==38|Số lượng Lệnh Tầm Bảo hiện có không đủ,
4107,s==42|Lỗi xuất hiện tướng ngẫu nhiên khi Tầm Bảo,
4108,s==38|Cấp VIP hiện tại của chủ công không đủ,
4109,s==49|Giá trị Tình Nghĩa hiện tại của chủ công không đủ,
4110,s==46|Điểm thăm viếng hiện tại của chủ công không đủ,
4111,s==41|KNB cần cho Tầm Bảo của chủ công không đủ,
4112,s==30|CODE bố trận hiện tại sai lệch,
4113,s==44|Số lượng tướng thường trong bố trận sai lệch,
4114,s==47|Số lượng tướng trợ chiến trong bố trận sai lệch,
4115,s==38|Số lượng Kỳ Mưu trong bố trận sai lệch,
4116,s==40|Số lượng Thần Khí trong bố trận sai lệch,
4117,s==35|Tướng không thể xuất trận trùng lặp,
4118,s==36|Kỳ Mưu không thể xuất trận trùng lặp,
4119,s==41|Sao cần thiết để thăng cấp tướng không đủ,
4120,s==39|Thông tin thư tịch xuất hiện bất thường,
4121,s==26|Chưa mở thư tịch tướng này,
4122,s==31|Chủ công đã nhận thưởng này rồi,
4123,s==28|Lỗi khi nhận thưởng thư tịch,
4124,s==35|Số ô trống trong bao tướng không đủ,
4125,s==36|Ít nhất phải có một võ tướng ra trận,
4126,s==31|KNB để quên chiến pháp không đủ,
4127,s==45|Anh hùng thiết lập lại cấp bậc không còn lượt,
4128,s==51|Chỉ có thể thiết lập lại anh hùng nâng cấp thủ công,
5000,s==36|Cấp bậc cần thiết để mở khóa chưa đủ,
5001,s==38|Lực chiến cần thiết để mở khóa chưa đủ,
5002,s==29|Phó bản này chưa được mở khóa,
5003,s==32|Lượt thử thách VIP thêm không đủ,
5004,s==32|Lượt thử thách hiện tại không đủ,
5005,s==34|Chưa sở hữu võ tướng trợ chiến này,
5006,s==37|Hôm nay đã phái đi võ tướng trợ chiến,
5007,s==39|Hữu hảo chưa phái đi võ tướng trợ chiến,
5008,s==26|Lựa chọn  lợi khởi đầu sai,
5009,s==48|Võ tướng trợ chiến của hữu hảo lực chiến quá cao,
5010,s==33|Máu chiến Trường Bản chưa vượt ải,
5011,s==40|Phần thưởng Máu chiến Trường Bản đã nhận,
5012,s==54|Hiện tại Máu chiến Trường Bản chưa có phần thưởng nhận,
5013,s==22|Lượt hồi sinh không đủ,
5014,s==27|Hôm nay đã thiết lập độ khó,
5015,s==31|Đội hình có võ tướng đã tử trận,
5016,s==48|Xếp hạng trường tập không đủ điều kiện thử thách,
5017,s==44|Lượt thử thách còn trong thời gian hồi chiêu,
5018,s==35|Tháp Thông Thiên tầng chưa vượt qua,
5019,s==29|Xin vượt qua ải tiền đề trước,
5020,s==34|Xin nhận phần thưởng tiền đề trước,
5021,s==31|Chủ công đã nhận thưởng này rồi,
5022,s==25|Lượt mua hiện có không đủ,
5023,s==21|KNB hiện tại không đủ,
5024,s==25|Lượt mua hiện có không đủ,
5025,s==38|Độ khó hiện tại vượt quá độ khó tối đa,
5026,s==32|Võ tướng hiện tại đều đã tử trận,
