id,name,provinceId,
1,s==10|Xương Bình,2000,
2,s==14|Thạch Cảnh Sơn,2000,
3,s==11|Triều Dương,2000,
4,s==8|Bình Cốc,2000,
5,s==9|Phòng Sơn,2000,
6,s==8|Hải Điền,2000,
7,s==9|Tây Thành,2000,
8,s==7|Mật Vân,2000,
9,s==11|Thuận Nghĩa,2000,
10,s==11|Môn Đầu Câu,2000,
11,s==10|Đông Thành,2000,
12,s==9|Diên Kinh,2000,
13,s==8|Đại Hưng,2000,
14,s==9|Phong Đài,2000,
15,s==10|Thông Châu,2000,
16,s==8|Hoài Nhu,2000,
17,s==9|Thanh Phổ,2001,
18,s==9|Sùng Minh,2001,
19,s==12|Phố Đông Tân,2001,
20,s==10|Tùng Giang,2001,
21,s==11|Trường Ninh,2001,
22,s==7|Lỗ Loan,2001,
23,s==9|Hồng Khẩu,2001,
24,s==9|Hoàng Phổ,2001,
25,s==6|Từ Hối,2001,
26,s==8|Trác Bắc,2001,
27,s==8|Mẫn Hành,2001,
28,s==9|Dương Phổ,2001,
29,s==7|Bảo Sơn,2001,
30,s==7|Tĩnh An,2001,
31,s==6|Phổ Đà,2001,
32,s==8|Gia Định,2001,
33,s==7|Kim Sơn,2001,
34,s==10|Phụng Hiền,2001,
35,s==14|Thâm Quyến thị,2002,
36,s==14|Quảng Châu thị,2002,
37,s==15|Dương Giang thị,2002,
38,s==14|Triều Châu thị,2002,
39,s==13|Giang Môn thị,2002,
40,s==12|Huệ Châu thị,2002,
41,s==11|Vân Phù thị,2002,
42,s==14|Thiệu Quan thị,2002,
43,s==12|Châu Hải thị,2002,
44,s==13|Đông Quản thị,2002,
45,s==13|Xuyên Đầu thị,2002,
46,s==12|Phật Sơn thị,2002,
47,s==14|Trạm Giang thị,2002,
48,s==12|Mậu Danh thị,2002,
49,s==12|Mai Châu thị,2002,
50,s==14|Chiêu Kính thị,2002,
51,s==12|Xuyên Vĩ thị,2002,
52,s==13|Hà Nguyên thị,2002,
53,s==14|Thanh Viễn thị,2002,
54,s==13|Trung Sơn thị,2002,
55,s==14|Giáp Dương thị,2002,
56,s==10|Vĩnh Xuyên,2003,
57,s==8|Vạn Châu,2003,
58,s==8|Phù Lăng,2003,
59,s==9|Ngự Trung,2003,
60,s==11|Cửu Long Bố,2003,
61,s==10|Trường Thọ,2003,
62,s==10|Thành Khẩu,2003,
63,s==7|Ngũ Sơn,2003,
64,s==9|Hợp Xuyên,2003,
65,s==9|Nam Xuyên,2003,
66,s==11|Đại Độ Khẩu,2003,
67,s==9|Giang Bắc,2003,
68,s==9|Thạch Trụ,2003,
69,s==8|Nam Ngạn,2003,
70,s==15|Lưỡng Giang Tân,2003,
71,s==9|Vạn Thắng,2003,
72,s==9|Song Kiều,2003,
73,s==7|Ngự Bắc,2003,
74,s==7|Bắc Bôi,2003,
75,s==6|Tú Sơn,2003,
76,s==8|Kỳ Giang,2003,
77,s==8|Đổng Nam,2003,
78,s==10|Đồng Lương,2003,
79,s==8|Đại Trát,2003,
80,s==10|Vinh Xương,2003,
81,s==8|Bích Sơn,2003,
82,s==9|Dậu Dương,2003,
83,s==8|Phong Đô,2003,
84,s==10|Điện Giang,2003,
85,s==7|Vũ Long,2003,
86,s==11|Trung huyện,2003,
87,s==10|Khai huyện,2003,
88,s==9|Vân Dương,2003,
89,s==9|Bành Thủy,2003,
90,s==6|Võ Khê,2003,
91,s==10|Kiềm Giang,2003,
92,s==10|Sa Bình Ba,2003,
93,s==6|Ba Nam,2003,
94,s==10|Lương Bình,2003,
95,s==10|Phụng Tiết,2003,
96,s==9|Giang Tân,2003,
97,s==7|Hà Đông,2004,
98,s==8|Tỵ huyện,2004,
99,s==7|Đông Lệ,2004,
100,s==8|Bắc Thần,2004,
101,s==6|Hà Tây,2004,
102,s==7|Tân Nam,2004,
103,s==9|Hồng Kiều,2004,
104,s==8|Vũ Thanh,2004,
105,s==12|Tân Bình Hải,2004,
106,s==7|Ninh Hà,2004,
107,s==8|Nam Khai,2004,
108,s==6|Bảo Đê,2004,
109,s==6|Hà Bắc,2004,
110,s==8|Tĩnh Hải,2004,
111,s==8|Hòa Bình,2004,
112,s==9|Tây Thanh,2004,
113,s==13|Túc Quyên thị,2005,
114,s==11|Tô Châu thị,2005,
115,s==13|Túc Quyên thị,2005,
116,s==11|Hoài An thị,2005,
117,s==13|Nam Thông thị,2005,
118,s==11|Vô Tích thị,2005,
119,s==15|Thường Châu thị,2005,
120,s==14|Dương Châu thị,2005,
121,s==11|Từ Châu thị,2005,
122,s==12|Nam Kinh thị,2005,
123,s==17|Liên Vân Cảng thị,2005,
124,s==14|Trấn Giang thị,2005,
125,s==14|Diêm Thành thị,2005,
126,s==13|Thái Châu thị,2005,
127,s==13|Hàng Châu thị,2006,
128,s==11|Ninh Ba thị,2006,
129,s==11|Ôn Châu thị,2006,
130,s==11|Kim Hoa thị,2006,
131,s==11|Lệ Thủy thị,2006,
132,s==12|Gia Hưng thị,2006,
133,s==11|Hồ Châu thị,2006,
134,s==14|Thiệu Hưng thị,2006,
135,s==13|Khúc Châu thị,2006,
136,s==12|Châu Sơn thị,2006,
137,s==13|Thái Châu thị,2006,
138,s==13|Hành Thủy thị,2007,
139,s==15|Lang Phương thị,2007,
140,s==15|Thương Châu thị,2007,
141,s==12|Thừa Đức thị,2007,
142,s==19|Trương Gia Khẩu thị,2007,
143,s==12|Bảo Định thị,2007,
144,s==11|Hàn Đàn thị,2007,
145,s==17|Tần Hoàng Đảo thị,2007,
146,s==13|Đường Sơn thị,2007,
147,s==13|Phúc Châu thị,2008,
148,s==10|Hạ Môn thị,2008,
