id,name,sceneId,sectionId,nextId,battle,rounds,iconPath,mapPositionX,mapPositionY,attContribution,attCopper,killContribution,killUnionExp,rankLayer,rankCopper,rankContribution,
300010,s==2|甘宁,30001,1,300020,300101,5,,250,120,11,20200,202,100,1|2|3|10|15|20|999,50580|45522|40464|30348|27313|24581|22122,300|280|260|200|160|120|100,
300020,s==4|神·张角,30002,2,300030,300102,5,,250,120,13,22220,202,100,1|2|3|10|15|20|999,51168|46051|40934|30700|27630|24867|22380,450|420|390|300|240|180|150,
300030,s==4|神·陆逊,30003,3,300040,300103,5,,250,120,15,24240,202,100,1|2|3|10|15|20|999,51763|46586|41410|31057|27951|25155|22639,910|850|790|640|480|360|300,
300040,s==4|神·关羽,30001,4,300050,300104,5,,250,120,17,26260,202,100,1|2|3|10|15|20|999,52364|47127|41891|31418|28276|25448|22903,1520|1410|1310|1010|810|610|510,
300050,s==2|庞德,30002,5,300060,300105,5,,250,120,19,28280,202,100,1|2|3|10|15|20|999,52973|47675|42378|31783|28604|25743|23168,2120|1980|1840|1410|1130|850|710,
300060,s==2|张郃,30003,6,300070,300106,5,,250,120,21,30300,202,100,1|2|3|10|15|20|999,53588|48229|42870|32152|28936|26042|23437,3030|2830|2630|2020|1620|1210|1010,
300070,s==2|王异,30001,7,300080,300107,5,,250,120,23,32320,202,100,1|2|3|10|15|20|999,54211|48789|43368|32526|29273|26345|23710,3790|3540|3280|2530|2020|1520|1260,
300080,s==2|典韦,30002,8,300090,300108,5,,250,120,25,34340,202,100,1|2|3|10|15|20|999,54841|49356|43872|32904|29613|26651|23985,4550|4240|3940|3030|2420|1820|1520,
300090,s==2|张辽,30003,9,300100,300109,5,,250,120,27,36360,202,100,1|2|3|10|15|20|999,55478|49930|44382|33286|29957|26961|24264,5300|4950|4600|3540|2830|2120|1770,
300100,s==4|魔·华雄,30001,10,300110,300110,5,,250,120,29,38380,202,100,1|2|3|10|15|20|999,56123|50510|44898|33673|30305|27274|24546,6820|6360|5910|4550|3640|2730|2270,
300110,s==4|魔·祝融,30002,11,300120,300111,5,,250,120,31,40400,202,100,1|2|3|10|15|20|999,56775|51097|45420|34065|30658|27592|24832,6820|6360|5910|4550|3640|2730|2270,
300120,s==2|关羽,30003,12,300130,300112,5,,250,120,33,42420,202,100,1|2|3|10|15|20|999,57434|51690|45947|34460|31014|27912|25120,7580|7070|6570|5050|4040|3030|2530,
300130,s==2|魏延,30001,13,300140,300113,5,,250,120,35,44440,202,100,1|2|3|10|15|20|999,58102|52291|46481|34861|31374|28236|25412,8330|7780|7220|5560|4440|3330|2780,
300140,s==2|赵云,30002,14,300150,300114,5,,250,120,37,46460,202,100,1|2|3|10|15|20|999,58777|52899|47021|35266|31739|28565|25708,8330|7780|7220|5560|4440|3330|2780,
300150,s==4|神·关羽,30003,15,300160,300115,5,,250,120,39,48480,202,100,1|2|3|10|15|20|999,59460|53514|47568|35676|32108|28897|26007,8330|7780|7220|5560|4440|3330|2780,
300160,s==2|徐庶,30001,16,300170,300116,5,,250,120,41,50500,202,100,1|2|3|10|15|20|999,60151|54135|48120|36090|32481|29232|26308,8330|7780|7220|5560|4440|3330|2780,
300170,s==2|庞统,30002,17,300180,300117,5,,250,120,43,52520,202,100,1|2|3|10|15|20|999,60850|54765|48680|36510|32859|29573|26615,8330|7780|7220|5560|4440|3330|2780,
300180,s==2|庞德,30003,18,300190,300118,5,,250,120,45,54540,202,100,1|2|3|10|15|20|999,61557|55401|49245|36934|33240|29916|26924,8330|7780|7220|5560|4440|3330|2780,
300190,s==2|张郃,30001,19,300200,300119,5,,250,120,47,56560,202,100,1|2|3|10|15|20|999,62272|56044|49817|37363|33626|30263|27236,8330|7780|7220|5560|4440|3330|2780,
300200,s==2|王异,30002,20,300210,300120,5,,250,120,49,58580,202,100,1|2|3|10|15|20|999,62996|56696|50396|37797|34017|30615|27553,8330|7780|7220|5560|4440|3330|2780,
300210,s==2|张辽,30003,21,300220,300121,5,,250,120,51,60600,202,100,1|2|3|10|15|20|999,63728|57355|50982|38236|34412|30970|27873,9240|8630|8010|6160|4930|3700|3080,
300220,s==2|典韦,30001,22,300230,300122,5,,250,120,53,62620,202,100,1|2|3|10|15|20|999,64468|58021|51574|38680|34812|31330|28197,9240|8630|8010|6160|4930|3700|3080,
300230,s==3|孙尚香,30002,23,300240,300123,5,,250,120,55,64640,202,100,1|2|3|10|15|20|999,65217|58695|52173|39130|35217|31695|28525,9240|8630|8010|6160|4930|3700|3080,
300240,s==2|甘宁,30003,24,300250,300124,5,,250,120,57,66660,202,100,1|2|3|10|15|20|999,65975|59377|52780|39585|35626|32063|28856,9240|8630|8010|6160|4930|3700|3080,
300250,s==2|周瑜,30001,25,300260,300125,5,,250,120,59,68680,202,100,1|2|3|10|15|20|999,66741|60066|53392|40044|36039|32435|29191,9240|8630|8010|6160|4930|3700|3080,
300260,s==2|黄盖,30002,26,300270,300126,5,,250,120,61,70700,202,100,1|2|3|10|15|20|999,67517|60765|54013|40510|36459|32813|29531,9240|8630|8010|6160|4930|3700|3080,
