id,skillGroup,skillID,nextLvSkillID,preLvSkillID,skillLv,descLV,warPowerPoint,cost-type-1,cost-id-1,cost-value-1,cost-back-1,cost-type-2,cost-id-2,cost-value-2,cost-back-2,cost-type-3,cost-id-3,cost-value-3,cost-back-3,reSet-type-1,reSet-id-1,reSet-value-1,
1,1,20201110,20201120,,1,s==2|初级,1000,2,50101,1,1,,,,,,,,,1,9,20,
2,1,20201120,20201130,20201110,2,s==2|中级,3000,2,50101,2,3,,,,,,,,,1,9,40,
3,1,20201130,20201140,20201120,3,s==2|高级,5000,2,50101,2,5,,,,,,,,,1,9,60,
4,1,20201140,20201150,20201130,4,s==2|超级,8000,2,50101,3,8,,,,,,,,,1,9,80,
5,1,20201150,,20201140,5,s==2|究极,15000,2,50101,5,13,,,,,,,,,1,9,100,
11,2,20201210,20201220,,1,s==2|初级,1000,2,50102,1,1,,,,,,,,,1,9,20,
12,2,20201220,20201230,20201210,2,s==2|中级,3000,2,50102,2,3,,,,,,,,,1,9,40,
13,2,20201230,20201240,20201220,3,s==2|高级,5000,2,50102,2,5,,,,,,,,,1,9,60,
14,2,20201240,20201250,20201230,4,s==2|超级,8000,2,50102,3,8,,,,,,,,,1,9,80,
15,2,20201250,,20201240,5,s==2|究极,15000,2,50102,5,13,,,,,,,,,1,9,100,
21,3,20201310,20201320,,1,s==2|初级,1000,2,50103,1,1,,,,,,,,,1,9,20,
22,3,20201320,20201330,20201310,2,s==2|中级,3000,2,50103,2,3,,,,,,,,,1,9,40,
23,3,20201330,20201340,20201320,3,s==2|高级,5000,2,50103,2,5,,,,,,,,,1,9,60,
24,3,20201340,20201350,20201330,4,s==2|超级,8000,2,50103,3,8,,,,,,,,,1,9,80,
25,3,20201350,,20201340,5,s==2|究极,15000,2,50103,5,13,,,,,,,,,1,9,100,
31,4,20201410,20201420,,1,s==2|初级,1000,2,50104,1,1,,,,,,,,,1,9,20,
32,4,20201420,20201430,20201410,2,s==2|中级,3000,2,50104,2,3,,,,,,,,,1,9,40,
33,4,20201430,20201440,20201420,3,s==2|高级,5000,2,50104,2,5,,,,,,,,,1,9,60,
34,4,20201440,20201450,20201430,4,s==2|超级,8000,2,50104,3,8,,,,,,,,,1,9,80,
35,4,20201450,,20201440,5,s==2|究极,15000,2,50104,5,13,,,,,,,,,1,9,100,
41,5,20201510,20201520,,1,s==2|初级,1000,2,50105,1,1,,,,,,,,,1,9,20,
42,5,20201520,20201530,20201510,2,s==2|中级,3000,2,50105,2,3,,,,,,,,,1,9,40,
43,5,20201530,20201540,20201520,3,s==2|高级,5000,2,50105,2,5,,,,,,,,,1,9,60,
