id,desc,nation,heroNum,addProperties-type-1,addProperties-way-1,addProperties-value-1,addProperties-type-2,addProperties-way-2,addProperties-value-2,addProperties-type-3,addProperties-way-3,addProperties-value-3,addProperties-type-4,addProperties-way-4,addProperties-value-4,addProperties-type-5,addProperties-way-5,addProperties-value-5,addProperties-type-6,addProperties-way-6,addProperties-value-6,addProperties-type-7,addProperties-way-7,addProperties-value-7,
s==2|12,s==2|魏国,1,2,1,1,700,2,1,500,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|13,,1,3,1,1,1100,2,1,800,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|14,,1,4,1,1,1600,2,1,1200,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|15,,1,5,1,1,2400,2,1,1800,5,0,0,17,0,0,16,0,500,11,0,0,10,0,0,
s==2|16,,1,6,1,1,3200,2,1,2500,5,0,0,17,0,0,16,0,1000,11,0,0,10,0,0,
s==2|22,s==2|蜀国,2,2,1,1,700,2,1,500,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|23,,2,3,1,1,1100,2,1,800,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|24,,2,4,1,1,1600,2,1,1200,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|25,,2,5,1,1,2400,2,1,1800,5,0,500,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|26,,2,6,1,1,3200,2,1,2500,5,0,1000,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|32,s==2|吴国,3,2,1,1,700,2,1,500,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|33,,3,3,1,1,1100,2,1,800,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|34,,3,4,1,1,1600,2,1,1200,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|35,,3,5,1,1,2400,2,1,1800,5,0,0,17,0,500,16,0,0,11,0,0,10,0,0,
s==2|36,,3,6,1,1,3200,2,1,2500,5,0,0,17,0,1000,16,0,0,11,0,0,10,0,0,
s==2|41,s==3|神阵营,4,1,1,1,600,2,1,400,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|42,,4,2,1,1,1000,2,1,700,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|43,,4,3,1,1,1500,2,1,1100,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|44,,4,4,1,1,2200,2,1,1500,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|45,,4,5,1,1,3200,2,1,2200,5,0,0,17,0,0,16,0,0,11,1,500,10,0,0,
s==2|46,,4,6,1,1,4000,2,1,3000,5,0,0,17,0,0,16,0,0,11,1,1000,10,0,0,
s==2|51,s==3|魔阵营,5,1,1,1,600,2,1,400,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|52,,5,2,1,1,1000,2,1,700,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|53,,5,3,1,1,1500,2,1,1100,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|54,,5,4,1,1,2200,2,1,1500,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
s==2|55,,5,5,1,1,3200,2,1,2200,5,0,0,17,0,0,16,0,0,11,0,0,10,0,500,
s==2|56,,5,6,1,1,4000,2,1,3000,5,0,0,17,0,0,16,0,0,11,0,0,10,0,1000,
s==5|12345,s==6|五个不同阵营,0,0,1,1,1700,2,1,1200,5,0,0,17,0,0,16,0,0,11,0,0,10,0,0,
