id,type,starType,connectPoint,starIcon,zeroIcon,backGround,pattern1,pattern2,Dinate1,Dinate2,starDinate,icon1,icon2,connect1,connect2,bright,connectDinate,starName,name,jindutiao,desc,
1,1,2,1,,s==10|dxd_yellow,s==11|w_bg_xingtu,s==17|w_cz_dec_inactive,s==15|w_cz_dec_active,6|-78,0|-68,-1|-273,s==14|w_dxd_inactive,s==12|w_dxd_active,s==19|w_cz_line_inactive7,s==17|w_cz_line_active7,1,0|-191,,s==8|Giác Túc,s==8|w_prg_wu,s==33|Dữ thế giáp lực， chí tỷ thiên cao,
2,1,2,2,,s==10|dxd_yellow,s==11|w_bg_xingtu,s==17|w_cz_dec_inactive,s==15|w_cz_dec_active,6|-78,0|-68,-1|-102,s==14|w_dxd_inactive,s==12|w_dxd_active,s==19|w_cz_line_inactive6,s==17|w_cz_line_active6,2,-1|-53,s==8|Giác Túc,s==7|Đấu Túc,s==8|w_prg_wu,s==35|Chư thiên tử đấu， thần quỷ thoái tị,
3,1,2,3,,s==10|dxd_yellow,s==11|w_bg_xingtu,s==17|w_cz_dec_inactive,s==15|w_cz_dec_active,6|-78,0|-68,-1|7,s==14|w_dxd_inactive,s==12|w_dxd_active,s==19|w_cz_line_inactive2,s==17|w_cz_line_active2,3,5|76,s==7|Đấu Túc,s==8|Nguy Túc,s==8|w_prg_wu,s==39|Lâm nguy do chiến， dũng giả đương thắng,
4,1,2,4,,s==10|dxd_yellow,s==11|w_bg_xingtu,s==17|w_cz_dec_inactive,s==15|w_cz_dec_active,6|-78,0|-68,0|147,s==14|w_dxd_inactive,s==12|w_dxd_active,s==19|w_cz_line_inactive1,s==17|w_cz_line_active1,4,-35|90,s==8|Nguy Túc,s==8|Nâng Túc,s==8|w_prg_wu,s==38|Chiến ý ương dương， thiên kỳ lược cảnh,
5,1,1,5,s==4|xxd1,s==10|xxd_yellow,s==11|w_bg_xingtu,s==17|w_cz_dec_inactive,s==15|w_cz_dec_active,6|-78,0|-68,-70|50,s==14|w_xxd_inactive,s==12|w_xxd_active,s==19|w_cz_line_inactive3,s==17|w_cz_line_active3,4,35|90,s==8|Nâng Túc,s==9|Tham Lang,s==8|w_prg_wu,s==43|Lang khiếu kiếm minh， dạ trường phong cường,
6,1,1,6,s==4|xxd2,s==10|xxd_yellow,s==11|w_bg_xingtu,s==17|w_cz_dec_inactive,s==15|w_cz_dec_active,6|-78,0|-68,70|50,s==14|w_xxd_inactive,s==12|w_xxd_active,s==19|w_cz_line_inactive4,s==17|w_cz_line_active4,4,-70|0,s==8|Nâng Túc,s==7|Vũ Khúc,s==8|w_prg_wu,s==37|Chiêu võ hiển chân， đoạn kim thiết kỵ,
7,1,1,7,s==4|xxd3,s==10|xxd_yellow,s==11|w_bg_xingtu,s==17|w_cz_dec_inactive,s==15|w_cz_dec_active,6|-78,0|-68,-71|-46,s==14|w_xxd_inactive,s==12|w_xxd_active,s==19|w_cz_line_inactive5,s==17|w_cz_line_active5,4,71|0,s==8|Nâng Túc,s==8|Phá Quân,s==8|w_prg_wu,s==37|Phá nhi hậu lập， thiên quân nan đương,
8,1,1,8,s==4|xxd4,s==10|xxd_yellow,s==11|w_bg_xingtu,s==17|w_cz_dec_inactive,s==15|w_cz_dec_active,6|-78,0|-68,71|-46,s==14|w_xxd_inactive,s==12|w_xxd_active,,,,,s==8|Nâng Túc,s==8|Thất Sát,s==8|w_prg_wu,s==33|Thất bộ nhất sát， lai vãng vô vết,
9,2,1,1,s==4|xxd1,s==8|xxd_blue,s==11|w_bg_xingtu,s==18|w_dun_dec_inactive,s==16|w_dun_dec_active,8|-70,2|-80,-136|-15,s==14|w_xxd_inactive,s==12|w_xxd_active,s==20|w_dun_line_inactive4,s==18|w_dun_line_active4,1,-128|-60,,s==8|Bích Túc,s==9|w_prg_wei,s==35|Hoàn bích vô hà， ngọc dung kỳ cương,
10,2,1,2,s==4|xxd2,s==8|xxd_blue,s==11|w_bg_xingtu,s==18|w_dun_dec_inactive,s==16|w_dun_dec_active,8|-70,2|-80,-118|-94,s==14|w_xxd_inactive,s==12|w_xxd_active,s==20|w_dun_line_inactive7,s==18|w_dun_line_active7,2,-63|-188,s==8|Bích Túc,s==9|Kháng Túc,s==9|w_prg_wei,s==37|Vô ti vô kháng， tráng liệt thành nhân,
