lv,exp,getEX,deputySlot,baseAttAdd-type-1,baseAttAdd-way-1,baseAttAdd-value-1,baseAttAdd-type-2,baseAttAdd-way-2,baseAttAdd-value-2,
0,500,0,0,,,,,,,
1,1000,500,0,1,1,100,2,1,100,
2,1500,1500,0,1,1,200,2,1,200,
3,2000,3000,0,1,1,300,2,1,300,
4,2500,5000,0,1,1,400,2,1,400,
5,3000,7500,1,1,1,500,2,1,500,
6,3500,10500,1,1,1,600,2,1,600,
7,4000,14000,1,1,1,700,2,1,700,
8,4500,18000,1,1,1,800,2,1,800,
9,5000,22500,1,1,1,900,2,1,900,
10,6500,27500,2,1,1,1000,2,1,1000,
11,8000,34000,2,1,1,1050,2,1,1050,
12,9500,42000,2,1,1,1100,2,1,1100,
13,11000,51500,2,1,1,1150,2,1,1150,
14,12500,62500,2,1,1,1200,2,1,1200,
15,15000,75000,2,1,1,1250,2,1,1250,
16,17500,90000,2,1,1,1300,2,1,1300,
17,20000,107500,2,1,1,1350,2,1,1350,
18,22500,127500,2,1,1,1400,2,1,1400,
19,25000,150000,2,1,1,1450,2,1,1450,
20,,175000,2,1,1,1500,2,1,1500,
