id,skillType,skillId,baseAtt-type-1,baseAtt-way-1,baseAtt-value-1,
1001,0,,2,1,200,
1002,0,,10,0,200,
1003,1,20203811,,,,
2001,0,,2,1,200,
2002,0,,23,1,400,
2003,1,20203820,,,,
3001,0,,1,1,200,
3002,0,,14,1,400,
3003,1,20203830,,,,
4001,0,,1,1,200,
4002,0,,15,1,400,
4003,1,20203840,,,,
5001,0,,1,1,200,
5002,0,,16,0,200,
5003,1,20203850,,,,
6001,0,,2,1,200,
6002,0,,5,0,400,
6003,1,20203860,,,,
7001,0,,2,1,200,
7002,0,,12,0,400,
7003,1,20203870,,,,
8001,0,,2,1,200,
8002,0,,13,0,400,
8003,1,20203880,,,,
9001,0,,1,1,200,
9002,0,,7,0,400,
9003,1,20203890,,,,
10001,0,,1,1,200,
10002,0,,19,0,400,
10003,1,20203900,,,,
