id,rank,records,ashe,defeatRecords,awards-type-1,awards-id-1,awards-value-1,awards-type-2,awards-id-2,awards-value-2,awards-type-3,awards-id-3,awards-value-3,failAward-type-1,failAward-id-1,failAward-value-1,
1,1,81|113|146,6,1,1,17,130,1,8,50500,,,,1,8,10150,
2,2,79|111|143,6,1,1,17,130,1,8,50500,,,,1,8,10150,
3,3,78|109|140,6,1,1,17,130,1,8,50500,,,,1,8,10150,
4,4,76|107|138,6,1,1,17,130,1,8,50500,,,,1,8,10150,
5,5,75|105|135,6,1,1,17,130,1,8,50500,,,,1,8,10150,
6,6,74|103|133,6,1,1,17,130,1,8,50500,,,,1,8,10150,
7,7,72|101|130,6,1,1,17,130,1,8,50500,,,,1,8,10150,
8,8,71|99|127,6,1,1,17,130,1,8,50500,,,,1,8,10150,
9,9,69|97|125,6,1,1,17,130,1,8,50500,,,,1,8,10150,
10,10,68|95|122,6,1,1,17,130,1,8,50500,,,,1,8,10150,
11,11,67|93|120,6,1,1,17,130,1,8,50500,,,,1,8,10150,
12,12,65|91|117,6,1,1,17,130,1,8,50500,,,,1,8,10150,
13,13,64|89|114,6,1,1,17,130,1,8,50500,,,,1,8,10150,
14,14,63|87|112,6,1,1,17,130,1,8,50500,,,,1,8,10150,
15,15,61|85|109,6,1,1,17,130,1,8,50500,,,,1,8,10150,
16,16,60|83|107,6,1,1,17,130,1,8,50500,,,,1,8,10150,
17,17,58|81|104,6,1,1,17,130,1,8,50500,,,,1,8,10150,
18,18,57|79|101,6,1,1,17,130,1,8,50500,,,,1,8,10150,
19,19,56|77|99,6,1,1,17,130,1,8,50500,,,,1,8,10150,
20,20,54|75|96,6,1,1,17,130,1,8,50500,,,,1,8,10150,
21,21,53|73|93,6,1,1,17,130,1,8,50500,,,,1,8,10150,
22,22,51|71|91,6,1,1,17,130,1,8,50500,,,,1,8,10150,
23,23,50|69|88,6,1,1,17,130,1,8,50500,,,,1,8,10150,
24,24,49|67|86,6,1,1,17,130,1,8,50500,,,,1,8,10150,
25,25,47|65|83,6,1,1,17,130,1,8,50500,,,,1,8,10150,
