lv,num,rewards-type-1,rewards-id-1,rewards-value-1,lockRewards-type-1,lockRewards-id-1,lockRewards-value-1,
0,200,,,,,,,
1,200,2,1003,1,2,1004,1,
2,200,2,1027,50,2,1490,1,
3,200,2,1005,5,2,1003,2,
4,200,2,1007,2,2,1014,1,
5,200,2,3008,20,2,1534,1,
6,200,2,1019,5,2,1490,1,
7,200,2,1027,50,2,1003,2,
8,200,2,1007,2,2,1014,1,
9,200,2,1003,1,2,1004,1,
10,200,2,1519,1,2,1521,1,
11,200,2,1027,50,2,1003,2,
12,200,2,1005,10,2,1490,1,
13,200,2,1007,3,2,1014,1,
14,200,2,1003,1,2,1004,1,
15,200,2,1519,1,2,1521,1,
16,200,2,1003,2,2,3008,50,
17,200,2,1019,5,2,1490,1,
18,200,2,1014,1,2,1014,1,
19,200,2,1004,1,2,1004,1,
20,200,2,6960,1,2,6961,1,
21,200,2,1007,1,2,1490,1,
