id,day,type,itemType,itemId,num,RewardPreview,
1,1,6,1,9,400,0,
2,2,6,2,1001,500,1,
3,3,6,2,1004,8,1,
4,4,6,1,9,200,0,
5,5,6,1,9,200,0,
6,6,6,1,9,500,0,
7,7,6,2,1027,100,1,
8,8,6,1,9,200,0,
9,9,6,1,9,200,0,
10,10,6,1,9,200,0,
11,11,6,1,9,200,0,
12,12,6,1,9,200,0,
13,13,6,1,9,500,0,
14,14,6,2,1014,3,1,
15,15,6,1,9,200,0,
16,16,6,1,9,200,0,
17,17,6,1,9,200,0,
18,18,6,1,9,200,0,
19,19,6,1,9,200,0,
20,20,6,1,9,500,0,
21,21,6,2,1028,60,1,
22,22,6,1,9,200,0,
23,23,6,1,9,200,0,
24,24,6,1,9,200,0,
25,25,6,1,9,200,0,
26,26,6,1,9,200,0,
27,27,6,1,9,500,0,
28,28,6,2,3008,50,1,
29,29,6,1,9,1000,1,
30,30,6,2,1004,8,1,
31,1,7,1,9,1200,0,
32,2,7,2,1001,1500,1,
33,3,7,2,1004,22,1,
34,4,7,1,9,600,0,
35,5,7,1,9,600,0,
36,6,7,1,9,1500,0,
37,7,7,2,1027,300,1,
38,8,7,1,9,600,0,
39,9,7,1,9,600,0,
40,10,7,1,9,600,0,
41,11,7,1,9,600,0,
42,12,7,1,9,600,0,
43,13,7,1,9,1500,0,
44,14,7,2,1014,9,1,
45,15,7,1,9,600,0,
46,16,7,1,9,600,0,
47,17,7,1,9,600,0,
48,18,7,1,9,600,0,
49,19,7,1,9,600,0,
50,20,7,1,9,1500,0,
51,21,7,2,1028,180,1,
52,22,7,1,9,600,0,
53,23,7,1,9,600,0,
54,24,7,1,9,600,0,
55,25,7,1,9,600,0,
56,26,7,1,9,600,0,
57,27,7,1,9,1500,0,
58,28,7,2,3008,150,1,
59,29,7,1,9,3000,1,
60,30,7,2,1004,22,1,
61,1,8,1,9,2400,0,
62,2,8,2,1001,3000,1,
63,3,8,2,1004,44,1,
64,4,8,1,9,1200,0,
65,5,8,1,9,1200,0,
66,6,8,1,9,3000,0,
67,7,8,2,1027,600,1,
68,8,8,1,9,1200,0,
69,9,8,1,9,1200,0,
70,10,8,1,9,1200,0,
71,11,8,1,9,1200,0,
72,12,8,1,9,1200,0,
73,13,8,1,9,3000,0,
74,14,8,2,1014,18,1,
75,15,8,1,9,1200,0,
76,16,8,1,9,1200,0,
77,17,8,1,9,1200,0,
78,18,8,1,9,1200,0,
79,19,8,1,9,1200,0,
80,20,8,1,9,3000,0,
81,21,8,2,1028,360,1,
82,22,8,1,9,1200,0,
83,23,8,1,9,1200,0,
84,24,8,1,9,1200,0,
85,25,8,1,9,1200,0,
86,26,8,1,9,1200,0,
87,27,8,1,9,3000,0,
88,28,8,2,3008,300,1,
89,29,8,1,9,6000,1,
90,30,8,2,1004,44,1,
