id,taskGroup,includeTaskId,
1,1,1001,
2,1,1002,
3,1,1003,
4,1,1004,
5,1,1005,
6,1,1006,
7,1,1007,
8,1,1008,
9,1,1009,
10,1,1010,
11,2,1001,
12,2,1011,
13,2,1012,
14,2,1013,
15,2,1014,
16,2,1015,
17,2,1016,
18,2,1017,
19,2,1018,
20,2,1019,
21,3,1001,
22,3,1020,
23,3,1021,
24,3,1022,
25,3,1023,
26,3,1024,
27,3,1025,
28,3,1026,
29,3,1027,
30,3,1028,
31,4,1001,
32,4,1029,
33,4,1030,
34,4,1031,
35,4,1032,
36,4,1033,
37,4,1034,
38,4,1035,
39,4,1036,
40,4,1037,
41,5,1001,
42,5,1038,
43,5,1039,
44,5,1040,
45,5,1041,
46,5,1042,
47,5,1043,
48,5,1044,
49,5,1045,
50,5,1046,
51,6,1001,
52,6,1011,
53,6,1012,
54,6,1013,
55,6,1005,
56,6,1006,
57,6,1007,
58,6,1017,
59,6,1018,
60,6,1019,
61,7,1001,
62,7,1002,
63,7,1003,
64,7,1004,
65,7,1005,
66,7,1006,
67,7,1007,
68,7,1026,
69,7,1027,
70,7,1028,
