id,event-type-1,event-id-1,event-type-2,event-id-2,event-type-3,event-id-3,event-type-4,event-id-4,event-type-5,event-id-5,
10001,7,10701,1,10101,,,,,,,
10002,11,11104,,,,,,,,,
10003,4,10401,,,,,,,,,
10004,5,10504,9,10903,,,,,,,
10005,7,10702,1,10101,,,,,,,
10006,11,11106,,,,,,,,,
10007,7,10707,1,10101,,,,,,,
10008,7,10706,1,10101,,,,,,,
10009,7,10708,1,10101,,,,,,,
10010,7,10703,1,10101,10,11001,,,,,
10011,7,10709,1,10101,,,,,,,
10012,5,10505,9,10904,,,,,,,
10013,5,10501,9,10901,,,,,,,
10014,5,10503,,,,,,,,,
10015,7,10704,1,10101,10,11002,,,,,
10016,7,10705,1,10101,,,,,,,
10017,12,11201,,,,,,,,,
10018,7,10710,1,10101,,,,,,,
10019,12,11203,,,,,,,,,
10021,8,10801,10,11003,,,,,,,
10022,11,11105,,,,,,,,,
10024,11,11107,,,,,,,,,
10025,2,10201,,,,,,,,,
10026,5,10502,9,10902,,,,,,,
10028,5,10506,,,,,,,,,
10029,3,10301,,,,,,,,,
10030,4,10401,,,,,,,,,
10031,4,10402,,,,,,,,,
10032,4,10403,,,,,,,,,
10033,4,10404,,,,,,,,,
10034,14,21401,12,11205,,,,,,,
10035,12,11204,,,,,,,,,
10036,12,11206,,,,,,,,,
10037,12,11202,,,,,,,,,
10038,12,11207,,,,,,,,,
10039,12,11208,,,,,,,,,
10040,12,11209,,,,,,,,,
10041,12,11210,,,,,,,,,
10042,12,11211,,,,,,,,,
10043,12,11212,,,,,,,,,
10044,12,11213,,,,,,,,,
10045,12,11214,,,,,,,,,
10046,12,11215,,,,,,,,,
10047,12,11216,,,,,,,,,
10048,12,11217,,,,,,,,,
10049,12,11218,,,,,,,,,
10050,12,11219,,,,,,,,,
10051,12,11220,,,,,,,,,
10052,12,11221,,,,,,,,,
10053,12,11222,,,,,,,,,
10054,12,11223,,,,,,,,,
10055,12,11224,,,,,,,,,
10056,12,11225,,,,,,,,,
10057,12,11226,,,,,,,,,
10058,12,11227,,,,,,,,,
10059,12,11228,,,,,,,,,
10060,12,11229,,,,,,,,,
10061,12,11230,,,,,,,,,
10062,12,11231,,,,,,,,,
10063,12,11232,,,,,,,,,
10064,12,11233,,,,,,,,,
10065,12,11234,,,,,,,,,
10066,12,11235,,,,,,,,,
10067,12,11236,,,,,,,,,
10068,12,111202,,,,,,,,,
10069,12,111201,,,,,,,,,
10070,12,11237,,,,,,,,,
10071,12,11238,,,,,,,,,
10072,12,11239,,,,,,,,,
10073,12,11240,,,,,,,,,
10074,20,12003,,,,,,,,,
10075,12,11242,,,,,,,,,
10076,12,11243,,,,,,,,,
10077,12,11244,,,,,,,,,
10078,12,11245,,,,,,,,,
10079,14,11401,,,,,,,,,
10080,14,11402,,,,,,,,,
10081,14,11403,,,,,,,,,
10082,14,11404,,,,,,,,,
10083,14,11405,,,,,,,,,
10084,12,11246,,,,,,,,,
10085,12,11247,,,,,,,,,
10086,12,11248,,,,,,,,,
10087,12,11249,,,,,,,,,
10088,14,11406,,,,,,,,,
10089,12,11250,,,,,,,,,
20001,5,20508,,,,,,,,,
20002,5,20510,,,,,,,,,
20003,7,20731,1,10101,10,21007,,,,,
20004,5,20501,9,20902,,,,,,,
20005,7,20725,1,10101,,,,,,,
20006,7,20730,1,10101,,,,,,,
20007,5,20507,,,,,,,,,
20008,7,20724,1,10101,,,,,,,
20009,7,20721,1,10101,,,,,,,
20010,7,20729,1,10101,,,,,,,
20011,7,20723,1,10101,,,,,,,
20012,7,20722,1,10101,,,,,,,
20013,7,20708,1,10101,10,21002,,,,,
20014,5,20502,,,,,,,,,
20015,7,20709,1,10101,,,,,,,
20016,7,20707,1,10101,,,,,,,
20017,5,20506,,,,,,,,,
20018,7,20720,1,10101,,,,,,,
20019,7,20717,1,10101,,,,,,,
20020,7,20718,1,10101,,,,,,,
20021,7,20710,1,10101,,,,,,,
20022,5,20505,,,,,,,,,
20023,7,20719,1,10101,9,20904,,,,,
20024,7,20706,1,10101,,,,,,,
20025,7,20716,1,10101,,,,,,,
20026,7,20715,1,10101,,,,,,,
20027,7,20714,1,10101,,,,,,,
20028,5,20504,,,,,,,,,
20029,7,20711,1,10101,,,,,,,
20030,7,20705,1,10101,,,,,,,
