id,type,desc,timeStamp,
1,1,s==60|{0}** trong chiến trận quân đoàn công chiếm thu được {1} sao,s==57|Sau khi chiến trận quân đoàn công chiếm cứ điểm có số sao,
2,1,s==52|{0}** trong chiến trận quân đoàn công chiếm thất bại,s==56|Sau khi chiến trận quân đoàn công chiếm cứ điểm thất bại,
3,1,s==53|{0}** gia  hiệu quả buff công kích cho toàn quân đoàn,s==72|Sau khi chiến trận quân đoàn công chiếm cứ điểm không có sao chiến thắng,
4,1,s==43|Lần này chiến trận quân đoàn công chiếm {0},s==37|Sau khi kết thúc chiến trận quân đoàn,
5,2,s==22|{0}** đã tiến hành {1},s==54|Sau khi người chơi tiến hành bất kỳ loại hiến tặng nào,
6,3,s==86|{0}**Công kích tướng quân đoàn chương thứ {1} tổng cộng {2} lần， gây ra {3} thương tổn,s==58|Sau khi người chơi thách đấu tướng địch quân đoàn kết toán,
7,3,s==53|{0}** gia  hiệu quả buff công kích cho toàn quân đoàn,s==54|Sau khi người chơi kích hoạt buff tướng địch quân đoàn,
8,3,s==63|{0}**Quét sạch tướng quân đoàn， gây ra tổng cộng {1} thương tổn,s==58|Sau khi người chơi quét sạch tướng địch quân đoàn kết toán,
9,3,s==59|{0}** thành công hạ sát tướng địch quân đoàn chương thứ {1},s==55|Sau khi người chơi hạ sát tướng địch quân đoàn kết toán,
10,4,s==27|{0}** đã gia nhập quân đoàn,,
11,4,s==27|{0}** đã rút khỏi quân đoàn,,
12,4,s==40|{0}** đã trục xuất {1} ra khỏi quân đoàn,,
13,4,s==35|Cấp bậc quân đoàn thăng lên {0} cấp,,
14,4,s==41|{0}** đã bổ nhiệm {1} làm phó đoàn trưởng,,
15,4,s==45|{0}** đã thu hồi chức phó đoàn trưởng của {1},,
16,4,s==26|{0}** đã phát tặng một {1},,
17,5,s==359|<color=#553322>Thành viên quân đoàn<color=#1869a8>{0}<color=#553322> thách đấu <color=#e56722>{1}<color=#553322> cứ điểm thành công， thu được <color=#a75f2f>[{2}]<color=#553322> và <color=#417f25>chiến tích {3} điểm<color=#553322>， quân đoàn ta <color=#1869a8>{4}<color=#553322> hiện tại sao số là <img src=\"wj_xingxing1\"/><color=#a75f2f>{5}<color=#553322>。,,
18,5,s==366|<color=#553322>Thành viên quân đoàn địch<color=#1869a8>{0}<color=#553322> thách đấu <color=#e56722>{1}<color=#553322> cứ điểm thành công， thu được <color=#a75f2f>[{2}]<color=#553322> và <color=#417f25>chiến tích {3} điểm<color=#553322>， quân đoàn địch <color=#1869a8>{4}<color=#553322> hiện tại sao số là <img src=\"wj_xingxing1\"/><color=#a75f2f>{5}<color=#553322>。,,
19,5,s==205|<color=#553322>Thành viên quân đoàn địch<color=#1869a8>{0}<color=#553322> thách đấu <color=#e56722>{1}<color=#553322> phế tích thành công， nâng cấp Buff quân đoàn lên <color=#8a1fb7>cấp {2}<color=#553322>。,,
20,5,s==204|<color=#553322>Thành viên quân đoàn<color=#1869a8>{0}<color=#553322> thách đấu <color=#e56722>{1}<color=#553322> cứ điểm thất bại， thu được chiến tích <color=#8a1fb7>{2}<color=#553322> điểm<color=#553322>,,
21,5,s==179|<color=#553322>Thành viên quân đoàn địch<color=#1869a8>{0}<color=#553322> thách đấu <color=#e56722>{1}<color=#553322> cứ điểm thất bại， thu được chiến tích {2} điểm<color=#553322>,,
22,5,s==135|<color=#553322>Thành viên quân đoàn địch<color=#1869a8>{0}<color=#553322> thách đấu thất bại phế tích <color=#e56722>{1}<color=#553322>,,
23,5,s==202|<color=#553322>Thành viên quân đoàn ta<color=#1869a8>{0}<color=#553322> thách đấu <color=#e56722>{1}<color=#553322> phế tích thành công， nâng cấp Buff quân đoàn lên <color=#8a1fb7>cấp {2}<color=#553322>,,
24,5,s==133|<color=#553322>Thành viên quân đoàn ta<color=#1869a8>{0}<color=#553322> thách đấu thất bại phế tích <color=#e56722>{1}<color=#553322>,,
