id,type,towerId,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,10,2,2314,1,2,2313,1,,,,
2,1,20,2,2321,1,2,2322,1,,,,
3,1,30,2,3008,50,2,1004,2,,,,
4,1,40,2,2324,1,2,2323,1,,,,
5,1,50,2,2411,1,2,2412,1,,,,
6,1,60,2,3008,50,2,1004,2,,,,
7,1,70,2,2414,1,2,2413,1,,,,
8,1,80,2,2421,1,2,2422,1,,,,
9,1,90,2,3008,50,2,1004,2,,,,
10,1,100,2,2424,1,2,2423,1,,,,
11,1,110,2,2431,1,2,2432,1,,,,
12,1,120,2,3008,50,2,1004,2,,,,
13,1,130,2,2434,1,2,2433,1,,,,
14,1,140,2,2431,1,2,2432,1,,,,
15,1,150,2,3008,50,2,1004,2,,,,
16,1,160,2,2514,1,2,2513,1,,,,
17,1,170,2,2511,1,2,2512,1,,,,
18,1,180,2,3008,50,2,1004,2,,,,
19,1,190,2,2514,1,2,2513,1,,,,
20,1,200,2,2511,1,2,2512,1,,,,
21,1,210,2,3008,50,2,1004,2,,,,
22,1,220,2,2524,1,2,2523,1,,,,
23,1,230,2,2521,1,2,2522,1,,,,
24,1,240,2,3008,50,2,1004,2,,,,
25,1,250,2,2524,1,2,2523,1,,,,
26,1,260,2,2521,1,2,2522,1,,,,
27,1,270,2,3008,50,2,1004,2,,,,
28,1,280,2,2534,1,2,2533,1,,,,
29,1,290,2,2531,1,2,2532,1,,,,
30,1,300,2,3008,50,2,1004,2,,,,
31,1,310,2,2534,1,2,2533,1,,,,
32,1,320,2,2531,1,2,2532,1,,,,
33,1,330,2,3008,50,2,1004,2,,,,
34,1,340,2,2544,1,2,2543,1,,,,
35,1,350,2,2541,1,2,2542,1,,,,
36,1,360,2,3008,50,2,1004,2,,,,
37,1,370,2,2544,1,2,2543,1,,,,
38,1,380,2,2541,1,2,2542,1,,,,
39,1,390,2,3008,50,2,1004,2,,,,
40,1,400,2,2614,1,2,2613,1,,,,
41,1,410,2,2612,1,2,2611,1,,,,
42,1,420,2,3008,50,2,1004,2,,,,
43,1,430,2,2614,1,2,2613,1,,,,
44,1,440,2,2612,1,2,2611,1,,,,
45,1,450,2,3008,50,2,1004,2,,,,
46,1,460,2,2614,1,2,2613,1,,,,
47,1,470,2,2612,1,2,2611,1,,,,
48,1,480,2,3008,50,2,1004,2,,,,
49,1,490,2,2614,1,2,2613,1,,,,
50,1,500,2,2612,1,2,2611,1,,,,
51,1,510,2,3008,50,2,1004,2,,,,
52,1,520,2,2614,1,2,2613,1,,,,
53,1,530,2,2612,1,2,2611,1,,,,
54,1,540,2,3008,50,2,1004,2,,,,
55,1,550,2,2614,1,2,2613,1,,,,
56,1,560,2,2612,1,2,2611,1,,,,
57,1,570,2,3008,50,2,1004,2,,,,
58,1,580,2,2614,1,2,2613,1,,,,
59,1,590,2,2612,1,2,2611,1,,,,
60,1,600,2,3008,50,2,1004,2,,,,
61,1,610,2,2614,1,2,2613,1,,,,
62,1,620,2,2612,1,2,2611,1,,,,
63,1,630,2,3008,50,2,1004,2,,,,
64,1,640,2,2614,1,2,2613,1,,,,
65,1,650,2,2612,1,2,2611,1,,,,
66,1,660,2,3008,50,2,1004,2,,,,
67,1,670,2,2614,1,2,2613,1,,,,
68,1,680,2,2612,1,2,2611,1,,,,
69,1,690,2,3008,50,2,1004,2,,,,
70,1,700,2,2614,1,2,2613,1,,,,
71,1,710,2,2612,1,2,2611,1,,,,
72,1,720,2,3008,50,2,1004,2,,,,
73,1,730,2,2614,1,2,2613,1,,,,
74,1,740,2,2612,1,2,2611,1,,,,
75,1,750,2,3008,50,2,1004,2,,,,
76,1,760,2,2614,1,2,2613,1,,,,
77,1,770,2,2612,1,2,2611,1,,,,
78,1,780,2,3008,50,2,1004,2,,,,
79,1,790,2,2614,1,2,2613,1,,,,
80,1,800,2,2612,1,2,2611,1,,,,
81,1,810,2,3008,50,2,1004,2,,,,
82,1,820,2,2614,1,2,2613,1,,,,
83,1,830,2,2612,1,2,2611,1,,,,
84,1,840,2,3008,50,2,1004,2,,,,
85,1,850,2,2614,1,2,2613,1,,,,
86,1,860,2,2612,1,2,2611,1,,,,
87,1,870,2,3008,50,2,1004,2,,,,
88,1,880,2,2614,1,2,2613,1,,,,
89,1,890,2,2612,1,2,2611,1,,,,
90,1,900,2,3008,50,2,1004,2,,,,
91,1,910,2,2614,1,2,2613,1,,,,
92,1,920,2,2612,1,2,2611,1,,,,
93,1,930,2,3008,50,2,1004,2,,,,
94,1,940,2,2614,1,2,2613,1,,,,
95,1,950,2,2612,1,2,2611,1,,,,
96,1,960,2,3008,50,2,1004,2,,,,
97,1,970,2,2614,1,2,2613,1,,,,
98,1,980,2,2612,1,2,2611,1,,,,
99,1,990,2,3008,50,2,1004,2,,,,
100,1,1000,2,2614,1,2,2613,1,,,,
101,1,1010,2,2612,1,2,2611,1,,,,
102,1,1020,2,1056,30,2,1004,2,,,,
103,1,1030,2,2614,1,2,2613,1,,,,
104,1,1040,2,2612,1,2,2611,1,,,,
105,1,1050,2,1056,30,2,1004,2,,,,
106,1,1060,2,2614,1,2,2613,1,,,,
107,1,1070,2,2612,1,2,2611,1,,,,
108,1,1080,2,1056,30,2,1004,2,,,,
109,1,1090,2,2614,1,2,2613,1,,,,
110,1,1100,2,2612,1,2,2611,1,,,,
111,1,1110,2,1056,30,2,1004,2,,,,
112,1,1120,2,2614,1,2,2613,1,,,,
