id,buffType,buffQuality,name,iconId,skillId,buffs-type-1,buffs-way-1,buffs-value-1,buffs-type-2,buffs-way-2,buffs-value-2,heroTakeEffect,weight,desc,
1,1,1,s==19|Công Kích Châm Ngôn,s==1|1,,2,1,1000,,,,,50,s==23|Toàn thể công kích +10%,
2,1,1,s==19|Sinh Mệnh Châm Ngôn,s==1|2,,1,1,1000,,,,,50,s==23|Toàn thể sinh mệnh +10%,
3,1,1,s==19|Phòng Ngự Châm Ngôn,s==1|3,,3,1,1000,,,,,50,s==23|Toàn thể phòng ngự +10%,
4,1,1,s==16|Tốc Độ Châm Ngôn,s==1|4,,4,1,1000,,,,,50,s==20|Toàn thể tốc độ +10%,
5,1,1,s==18|Bạo Kích Châm Ngôn,s==1|5,,5,1,1000,,,,,50,s==22|Toàn thể bạo kích +10%,
6,1,1,s==19|Kháng Bạo Châm Ngôn,s==1|6,,7,1,1000,,,,,50,s==23|Toàn thể kháng bạo +10%,
7,1,1,s==19|Nhẫn Tính Châm Ngôn,s==1|7,,20,1,1000,,,,,50,s==23|Toàn thể nhẫn tính +10%,
8,1,1,s==20|Bạo Thương Châm Ngôn,s==1|8,,6,1,2000,,,,,50,s==24|Toàn thể bạo thương +20%,
9,1,1,s==20|Thương Hại Châm Ngôn,s==1|9,,10,1,1000,,,,,50,s==24|Toàn thể thương hại +10%,
10,1,1,s==21|Miễn Thương Châm Ngôn,s==2|10,,11,1,1000,,,,,50,s==25|Toàn thể miễn thương +10%,
11,1,1,s==18|Thụ Liệu Châm Ngôn,s==2|11,,18,1,800,19,1,800,,50,s==40|Toàn thể trị liệu、 nhận trị liệu tăng 8%,
12,1,1,s==17|Đột Kích Chi Sách,s==2|12,50202210,,,,,,,,50,s==66|Khi chiến đấu bắt đầu， tấn công、 bạo kích tăng 10%， duy trì 2 lượt,
13,1,1,s==14|Kế Sách Cố Thủ,s==2|13,50202310,,,,,,,,50,s==57|Khi chiến đấu bắt đầu， vật kháng tăng 10%， duy trì 2 lượt,
14,1,1,s==16|Kế Sách Minh Chí,s==2|14,50202410,,,,,,,,50,s==58|Khi chiến đấu bắt đầu， pháp kháng tăng 10%， duy trì 2 lượt,
15,1,1,s==17|Kế Sách Kiên Trận,s==2|15,50202520,1,1,500,,,,,50,s==81|Toàn thể sinh mệnh +5%； khi chiến đấu bắt đầu， phòng ngự tăng 15%， duy trì 2 lượt,
16,1,1,s==17|Phá Quân Chi Sách,s==2|16,50202610,2,1,500,,,,,50,s==111|Toàn thể tấn công +5%； khi chiến đấu bắt đầu， bạo kích、 bạo thương tăng 10%， duy trì 2 lượt， không thể giải trừ,
17,1,1,s==18|Hồi Phòng Chi Sách,s==2|17,50202710,1,1,500,,,,,50,s==132|Toàn thể sinh mệnh +5%； sau khi chủ động tấn công gây thương tổn， phòng ngự、 pháp kháng tăng 10%， duy trì 1 lượt， không thể giải trừ,
18,1,1,s==15|Kế Sách Thí Độc,s==2|18,50202810,13,1,500,,,,,50,s==163|Toàn thể pháp thương +5%； sau khi chủ động tấn công gây thương tổn， gán cho mục tiêu trạng thái【Trung Độc】， duy trì 3 lượt， tối đa chồng 5 tầng， không thể giải trừ,
19,1,1,s==19|Kế Sách Dưỡng Chiến,s==2|19,50202910,1,1,500,,,,,50,s==143|Toàn thể sinh mệnh +5%， sau khi chủ động tấn công gây thương tổn， hồi phục cho đồng minh có sinh mệnh thấp nhất bằng 30% công kích của bản thân,
20,1,1,s==16|Kế Sách Đối Công,s==2|20,50203010,12,1,500,,,,,50,s==106|Toàn thể vật thương +5%； khi chủ động tấn công， nếu mục tiêu là Mãnh Tướng， thì thương tổn gây ra tăng 15%,
21,1,1,s==16|Kế Sách Cấp Kích,s==2|21,50203110,5,1,1000,,,,,50,s==134|Toàn thể bạo kích +10%； khi chủ động tấn công gây bạo kích， thêm một lần gây sát thương thực bằng 100% công kích bản thân lên mục tiêu,
22,1,1,s==18|Kế Sách Thiết Bích,s==2|22,50203210,3,1,500,14,1,500,,50,s==124|Toàn thể phòng ngự、 vật kháng +5%； khi bị tấn công， có 30% xác suất tăng miễn thương 20%， duy trì 2 lượt， không thể giải trừ,
23,1,1,s==16|Kế Sách Xảo Phản,s==2|23,50203310,3,1,500,15,1,500,,50,s==184|Toàn thể phòng ngự、 pháp kháng +5%； khi bị tấn công bởi Mưu Thần， gây sát thương thực bằng 5% sinh mệnh tối đa bản thân lên mục tiêu， sát thương không vượt quá 5 lần công kích bản thân,
24,1,1,s==17|Kế Sách Liên Hoàn,s==2|24,50203410,1,1,500,13,1,500,,50,s==160|Toàn thể sinh mệnh、 pháp thương +5%； khi chủ động tấn công gây pháp thuật thương tổn， thêm một lần gây sát thương thực bằng 100% công kích bản thân lên mục tiêu,
25,1,1,s==17|Kế Sách Liên Kích,s==2|25,50203510,1,1,500,12,1,500,,50,s==155|Toàn thể sinh mệnh、 vật thương +5%； khi chủ động tấn công gây vật lý thương tổn， thêm một lần gây sát thương thực bằng 100% công kích bản thân lên mục tiêu,
26,1,1,s==17|Kế Sách Tốc Chiến,s==2|26,50203610,5,1,1000,6,1,1000,,50,s==156|Toàn thể bạo kích、 bạo thương +10%； khi chủ động tấn công gây thương tổn， nếu tốc độ bản thân cao hơn đối phương， thì đòn tấn công này kèm theo 20% phá giáp,
27,1,1,s==17|Kế Sách Cường Thế,s==2|27,50203710,,,,,,,,50,s==101|Khi bắt đầu lượt， nếu sinh mệnh bản thân ≥ 80%， tấn công tăng 15%， duy trì 1 lượt， không thể giải trừ,
28,1,1,s==16|Tỵ Mang Chi Sách,s==2|28,50203810,,,,,,,,50,s==118|Khi bắt đầu lượt， nếu sinh mệnh bản thân < 80%， phòng ngự、 kháng bạo kích tăng 10%， duy trì 1 lượt， không thể giải trừ,
29,1,1,s==17|Tích Thế Chi Sách,s==2|29,50203910,,,,,,,,50,s==138|Hiệu lực lượt đầu， trước khi chủ động tấn công gây thương tổn， bạo kích tăng 15%、 miễn thương tăng 30%， duy trì 1 lượt， không thể giải trừ,
30,1,1,s==17|Bị Chiến Chi Sách,s==2|30,50204010,,,,,,,,50,s==144|Hiệu lực lượt đầu， trước khi chủ động tấn công gây thương tổn， tấn công、 phòng ngự、 pháp kháng tăng 15% (duy trì 1 lượt， sau hành động biến mất),
31,1,1,s==16|Kế Sách Hãm Trận,s==2|31,50204110,,,,,,,,50,s==197|Sau khi chủ động tấn công gây thương tổn， nếu mục tiêu mang bất kỳ trạng thái tiêu cực nào， thì thương tổn tăng 15%， đồng thời có 30% xác suất khiến mục tiêu bị【Băng Đóng】1 lượt， không thể giải trừ,
32,1,1,s==17|Mai Phục Chi Sách,s==2|32,50204210,,,,,,,,50,s==177|Sau khi chủ động tấn công gây thương tổn， phòng ngự、 pháp kháng bản thân tăng 15%， duy trì 1 lượt， đồng thời có 30% xác suất khiến mục tiêu bị【Cấm Trị】1 lượt， không thể giải trừ,
33,1,2,s==26|Kế Sách Kiên Bích Thanh Dã,s==2|33,50204310,7,1,2000,,,,,50,s==125|Toàn thể kháng bạo kích +20%； khi bị tấn công， có 30% khiến mục tiêu giảm miễn thương 20%， duy trì 2 lượt， không thể giải trừ,
34,1,2,s==20|Kế Sách Ẩn Kỳ Tức Cổ,s==2|34,50204410,13,1,1000,,,,,50,s==127|Toàn thể pháp thương +10%； khi tấn công， có 50% xác suất khiến mục tiêu giảm sát thương 15%， duy trì 1 lượt， không thể giải trừ,
35,1,2,s==21|Kế Sách Vi Hại Tự Lợi,s==2|35,50204510,14,1,1000,,,,,50,s==82|Toàn thể vật kháng +10%； có 20% xác suất khiến vật lý thương tổn nhận vào giảm 50%,
36,1,2,s==21|Kế Sách Dĩ Bỉ Chi Đạo,s==2|36,50204610,15,1,1000,,,,,50,s==90|Toàn thể pháp kháng +10%； khi bị Mưu Thần tấn công， phản sát thương 10% thương tổn lần này,
37,1,2,s==26|Kế Sách Dục Chiến Dục Dũng,s==2|37,50204710,1,1,1000,,,,,50,s==95|Toàn thể sinh mệnh +10%； mỗi lượt bắt đầu， tăng 10% kháng chế cho bản thân， tối đa chồng 5 tầng,
38,1,2,s==19|Vận Chương Bùi Ngạc,s==2|38,50204810,13,1,1000,,,,,50,s==96|Toàn thể pháp thương +10%； miễn nhiễm【Hôn Mi】và【Trầm Mặc】， duy trì toàn trận， không thể giải trừ,
39,1,2,s==15|Hãn Dũng Vô Trở,s==2|39,50204910,1,1,1000,,,,,50,s==96|Toàn thể sinh mệnh +10%； miễn nhiễm【Băng Đóng】và【Cấm Trị】， duy trì toàn trận， không thể giải trừ,
40,1,2,s==27|Kế Sách Nhất Phu Đương Quan,s==2|40,50205010,3,1,1000,,,,,50,s==67|Toàn thể phòng ngự +10%； khi tấn công bỏ qua 15% phòng ngự mục tiêu,
