id,unionLevel,unionNum,viceLeaderNum,needUnionExp,
1,1,25,2,54,
2,2,25,2,135,
3,3,25,2,248,
4,4,25,2,395,
5,5,25,2,583,
6,6,26,3,813,
7,7,26,3,1092,
8,8,26,3,1423,
9,9,26,3,1810,
10,10,26,3,2258,
11,11,27,4,2769,
12,12,27,4,3350,
13,13,27,4,4004,
14,14,28,4,4734,
15,15,28,4,5546,
16,16,28,4,6443,
17,17,29,4,7429,
18,18,29,4,8510,
19,19,29,4,9688,
20,20,30,4,10968,
21,21,30,4,12354,
22,22,30,4,13850,
23,23,31,4,15462,
24,24,31,4,17191,
25,25,31,4,19044,
26,26,32,4,21023,
27,27,32,4,23134,
28,28,32,4,25380,
29,29,33,4,27766,
30,30,33,4,30295,
31,31,33,4,49986,
32,32,34,4,69678,
33,33,34,4,90884,
34,34,34,4,113605,
35,35,35,4,137840,
36,36,35,4,163591,
37,37,35,4,190856,
38,38,36,4,219636,
39,39,36,4,249930,
40,40,36,4,281740,
41,41,37,4,315064,
42,42,37,4,349903,
43,43,37,4,386256,
44,44,38,4,424124,
45,45,38,4,463507,
46,46,38,4,504405,
47,47,39,4,546818,
48,48,39,4,590745,
49,49,39,4,636187,
50,50,40,4,683143,
51,51,40,4,731615,
