id,activityId,dateStart,dateEnd,itemType,itemId,itemNum,odds,label,isRecord,isRadio,carpItemType,carpItemId,carItemNum,fishAward,
1,1378,1,15,2,1027,150,1100,,,,2,1003,40,3400132,
2,1378,1,15,2,1014,5,2000,3,,,,,,,
3,1378,1,15,2,1003,3,2000,,,,,,,,
4,1378,1,15,2,1003,8,950,3,,,,,,,
5,1378,1,15,2,1001,1000,1700,,,,,,,,
6,1378,1,15,2,1004,5,450,2,,1,,,,,
7,1378,1,15,2,1006,1500,1700,,,,,,,,
8,1378,1,15,2,4050,1,100,1,1,1,,,,,
9,1378,16,30,2,1027,150,1100,,,,2,6686,1,3400133,
10,1378,16,30,2,1014,5,2000,3,,,,,,,
11,1378,16,30,2,1003,3,2000,,,,,,,,
12,1378,16,30,2,1003,8,950,3,,,,,,,
13,1378,16,30,2,1001,1000,1700,,,,,,,,
14,1378,16,30,2,1004,5,450,2,,1,,,,,
15,1378,16,30,2,1006,1500,1700,,,,,,,,
16,1378,16,30,2,4050,1,100,1,1,1,,,,,
17,1378,31,60,2,1027,150,1100,,,,2,6687,1,3400133,
18,1378,31,60,2,1014,5,2000,3,,,,,,,
19,1378,31,60,2,1003,3,2000,,,,,,,,
20,1378,31,60,2,1003,8,950,3,,,,,,,
21,1378,31,60,2,1001,1000,1700,,,,,,,,
22,1378,31,60,2,1004,5,450,2,,1,,,,,
23,1378,31,60,2,1006,1500,1700,,,,,,,,
24,1378,31,60,2,4050,1,100,1,1,1,,,,,
25,1378,61,90,2,1027,150,1100,,,,2,6688,1,3400133,
26,1378,61,90,2,1014,5,2000,3,,,,,,,
27,1378,61,90,2,1003,3,2000,,,,,,,,
28,1378,61,90,2,1003,8,950,3,,,,,,,
29,1378,61,90,2,1001,1000,1700,,,,,,,,
30,1378,61,90,2,1004,5,450,2,,1,,,,,
31,1378,61,90,2,1006,1500,1700,,,,,,,,
32,1378,61,90,2,4050,1,100,1,1,1,,,,,
33,1378,91,99999,2,1027,150,1100,,,,2,6689,1,3400133,
34,1378,91,99999,2,1014,5,2000,3,,,,,,,
35,1378,91,99999,2,1003,3,2000,,,,,,,,
36,1378,91,99999,2,1003,8,950,3,,,,,,,
37,1378,91,99999,2,1001,1000,1700,,,,,,,,
38,1378,91,99999,2,1004,5,450,2,,1,,,,,
39,1378,91,99999,2,1006,1500,1700,,,,,,,,
40,1378,91,99999,2,4050,1,100,1,1,1,,,,,
