id,heroId,maxStar,
1001,21512,14,
1002,21510,14,
1003,21508,14,
1004,21507,14,
1005,21505,14,
1006,21504,14,
1007,21503,14,
1008,21502,9,
1009,21501,9,
1010,21405,9,
1012,22511,14,
1013,22510,9,
1014,22509,14,
1015,22508,14,
1016,22507,14,
1017,22505,14,
1018,22504,14,
1019,22502,14,
1020,22501,14,
1021,22401,9,
1022,23513,9,
1024,23510,14,
1025,23508,14,
1026,23507,14,
1027,23506,14,
1028,23504,14,
1029,23503,14,
1030,23502,14,
1031,23405,9,
1032,24517,14,
1033,24516,14,
1034,24513,14,
1035,24510,14,
1036,24508,14,
1037,24506,14,
1038,24505,14,
1039,24504,14,
1040,24503,14,
1041,24502,14,
1042,24501,14,
1043,24402,9,
1044,25516,14,
1045,25515,14,
1046,25514,14,
1047,25513,14,
1048,25510,14,
1049,25509,14,
1050,25507,14,
1051,25506,14,
1052,25504,14,
1053,25503,14,
1054,25501,9,
1055,25401,14,
1056,25517,14,
1057,22515,14,
1058,21516,14,
