id,stampType,quality,star,basicPropertyId,basicPropertyWay,propertyValue,nextLvValue,
1,1,3,1,2,0,634,760,
2,1,3,2,2,0,760,912,
3,1,3,3,2,0,912,,
4,1,4,1,2,0,698,836,
5,1,4,2,2,0,836,1004,
6,1,4,3,2,0,1004,,
7,1,5,1,2,0,933,1345,
8,1,5,2,2,0,1345,1856,
9,1,5,3,2,0,1856,2676,
10,1,5,4,2,0,2676,3799,
11,2,3,1,1,0,7716,9260,
12,2,3,2,1,0,9260,11112,
13,2,3,3,1,0,11112,,
14,2,4,1,1,0,8488,10186,
15,2,4,2,1,0,10186,12222,
16,2,4,3,1,0,12222,,
17,2,5,1,1,0,11373,16945,
18,2,5,2,1,0,16945,23318,
19,2,5,3,1,0,23318,29282,
20,2,5,4,1,0,29282,37945,
21,3,3,1,2,0,634,760,
22,3,3,2,2,0,760,912,
23,3,3,3,2,0,912,,
24,3,4,1,2,0,698,836,
25,3,4,2,2,0,836,1004,
26,3,4,3,2,0,1004,,
27,3,5,1,2,0,933,1345,
28,3,5,2,2,0,1345,1856,
29,3,5,3,2,0,1856,2676,
30,3,5,4,2,0,2676,3799,
31,4,3,1,1,0,7716,9260,
32,4,3,2,1,0,9260,11112,
33,4,3,3,1,0,11112,,
34,4,4,1,1,0,8488,10186,
35,4,4,2,1,0,10186,12222,
36,4,4,3,1,0,12222,,
37,4,5,1,1,0,11373,16945,
38,4,5,2,1,0,16945,23318,
39,4,5,3,1,0,23318,29282,
40,4,5,4,1,0,29282,37945,
41,1,5,5,2,0,3799,,
42,2,5,5,1,0,37945,,
43,3,5,5,2,0,3799,,
44,4,5,5,1,0,37945,,
