id,group,weight,obtainType,obtainId,obtainNum,levelNeed,
1,3001,2000,3,21301,1,,
2,3001,2000,3,22301,1,,
3,3001,2000,3,23301,1,,
4,3001,2000,3,24301,1,,
5,3001,2000,3,25301,1,,
6,3002,1000,3,21401,1,,
7,3002,1000,3,21402,1,,
8,3002,1000,3,21403,1,,
9,3002,1000,3,21404,1,,
10,3002,1000,3,22402,1,,
11,3002,1000,3,22403,1,,
12,3002,1000,3,22404,1,,
13,3002,1000,3,22405,1,,
14,3002,1000,3,23401,1,,
15,3002,1000,3,23402,1,,
16,3002,1000,3,23403,1,,
17,3002,1000,3,23404,1,,
18,3002,1000,3,24401,1,,
19,3002,1000,3,24403,1,,
20,3002,1000,3,24404,1,,
21,3002,1000,3,25402,1,,
22,3002,1000,3,25403,1,,
23,3002,1000,3,25404,1,,
24,3003,100,3,21401,1,,
25,3003,100,3,21402,1,,
26,3003,100,3,21403,1,,
27,3003,100,3,21404,1,,
28,3004,100,3,22402,1,,
29,3004,100,3,22403,1,,
30,3004,100,3,22404,1,,
31,3004,100,3,22405,1,,
32,3005,100,3,23401,1,,
33,3005,100,3,23402,1,,
34,3005,100,3,23403,1,,
35,3005,100,3,23404,1,,
36,3006,100,3,24401,1,,
37,3006,100,3,24403,1,,
38,3006,100,3,24404,1,,
39,3007,100,3,25402,1,,
40,3007,100,3,25403,1,,
41,3007,100,3,25404,1,,
42,3008,1800,3,21405,1,,
43,3008,1800,3,22401,1,,
44,3008,1800,3,23405,1,,
45,3008,200,3,24402,1,60,
46,3008,200,3,25401,1,60,
47,3008,2000,3,21501,1,,
48,3008,2000,3,21502,1,,
49,3008,2000,3,21503,1,,
50,3008,1000,3,21504,1,,
51,3008,500,3,21505,1,,
52,3008,500,3,21507,1,,
53,3008,500,3,21508,1,,
54,3008,500,3,21510,1,,
55,3008,300,3,21512,1,,
56,3008,500,3,22501,1,40,
57,3008,500,3,22502,1,,
58,3008,180,3,22504,1,60,
59,3008,2000,3,22505,1,,
60,3008,180,3,22507,1,,
61,3008,500,3,22508,1,,
62,3008,500,3,22509,1,,
63,3008,500,3,22510,1,,
64,3008,500,3,22511,1,,
65,3008,2000,3,23502,1,,
66,3008,2000,3,23503,1,,
67,3008,1000,3,23504,1,,
68,3008,500,3,23506,1,,
69,3008,500,3,23507,1,,
70,3008,1000,3,23508,1,,
71,3008,200,3,23510,1,,
72,3008,500,3,23513,1,,
73,3008,200,3,24501,1,70,
74,3008,200,3,24502,1,70,
75,3008,250,3,24503,1,70,
76,3008,20,3,24504,1,70,
77,3008,100,3,24506,1,70,
78,3008,20,3,24508,1,70,
79,3008,100,3,24510,1,70,
80,3008,200,3,24513,1,70,
81,3008,200,3,25501,1,70,
82,3008,200,3,25503,1,70,
83,3008,20,3,25504,1,70,
84,3008,200,3,25506,1,70,
85,3008,100,3,25507,1,70,
86,3008,20,3,25509,1,70,
87,3008,10,3,25510,1,70,
88,3008,200,3,25513,1,70,
89,3009,2000,3,21501,1,,
90,3009,1800,3,21405,1,,
91,3009,2000,3,21502,1,,
92,3009,2000,3,21503,1,,
93,3009,1000,3,21504,1,,
94,3009,500,3,21505,1,,
95,3009,500,3,21507,1,,
96,3009,500,3,21508,1,,
97,3009,500,3,21510,1,,
98,3009,500,3,21512,1,,
99,3010,500,3,22501,1,40,
100,3010,1800,3,22401,1,,
101,3010,500,3,22502,1,,
102,3010,500,3,22504,1,60,
103,3010,2000,3,22505,1,,
104,3010,500,3,22507,1,,
105,3010,500,3,22508,1,,
106,3010,500,3,22509,1,,
107,3010,500,3,22510,1,,
108,3010,500,3,22511,1,,
109,3011,2000,3,23502,1,,
110,3011,1800,3,23405,1,,
111,3011,2000,3,23503,1,,
112,3011,1000,3,23504,1,,
113,3011,1000,3,23506,1,,
114,3011,500,3,23507,1,,
115,3011,1000,3,23508,1,,
116,3011,300,3,23510,1,,
117,3011,2000,3,23513,1,,
118,3012,900,3,24501,1,,
119,3012,800,3,24402,1,,
120,3012,900,3,24502,1,,
121,3012,200,3,24503,1,,
122,3012,50,3,24504,1,,
123,3012,200,3,24506,1,,
124,3012,100,3,24508,1,,
125,3012,100,3,24510,1,,
126,3013,900,3,25501,1,,
127,3013,800,3,25401,1,,
128,3013,500,3,25503,1,,
129,3013,50,3,25504,1,,
130,3013,500,3,25506,1,,
131,3013,200,3,25507,1,,
132,3013,20,3,25509,1,,
133,3013,10,3,25510,1,,
134,3013,900,3,25513,1,,
135,3014,150,3,24502,1,,
136,3014,150,3,24503,1,,
137,3014,75,3,24504,1,,
138,3014,150,3,24506,1,,
139,3014,50,3,24508,1,,
140,3014,150,3,24510,1,,
141,3014,150,3,24513,1,,
142,3014,150,3,25503,1,,
143,3014,20,3,25504,1,,
144,3014,150,3,25506,1,,
145,3014,150,3,25507,1,,
146,3014,20,3,25509,1,,
147,3014,10,3,25510,1,,
148,3014,150,3,25513,1,,
149,3100,100,3,21502,1,,
150,3100,0,3,21510,1,,
151,3100,50,3,21503,1,,
152,3100,50,3,21504,1,,
153,3100,50,3,21505,1,,
154,3100,100,3,21405,1,,
155,3200,100,3,22401,1,,
156,3200,100,3,22505,1,,
157,3200,50,3,22509,1,,
158,3200,0,3,22501,1,,
159,3200,0,3,22502,1,,
160,3200,0,3,22508,1,,
161,3300,100,3,23405,1,,
162,3300,100,3,23502,1,,
163,3300,50,3,23503,1,,
164,3300,50,3,23504,1,,
165,3300,50,3,23508,1,,
166,3300,0,3,23510,1,,
167,3400,100,3,24402,1,,
168,3400,100,3,24501,1,,
169,3400,50,3,24502,1,,
170,3400,0,3,24503,1,,
171,3400,0,3,24506,1,,
172,3500,100,3,25401,1,,
173,3500,100,3,25501,1,,
174,3500,0,3,25506,1,,
175,3500,0,3,25503,1,,
176,3500,50,3,25513,1,,
177,4001,2000,2,61001,1,,
178,4001,2000,2,61002,1,,
179,4001,2000,2,61003,1,,
180,4001,2000,2,61004,1,,
181,4001,2000,2,61005,1,,
182,4002,2000,2,61006,1,,
183,4002,2000,2,61007,1,,
184,4002,2000,2,61008,1,,
185,4002,2000,2,61009,1,,
186,4002,2000,2,61010,1,,
187,4003,2000,2,61011,1,,
188,4003,2000,2,61012,1,,
189,4003,2000,2,61013,1,,
190,4003,2000,2,61014,1,,
191,4003,2000,2,61015,1,,
192,5001,50,2,14012,1,,
193,5001,50,2,14013,1,,
194,5001,50,2,14014,1,,
195,5001,50,2,14015,1,,
196,5001,50,2,14016,1,,
197,5002,50,2,14005,1,,
198,5002,50,2,14006,1,,
199,5002,50,2,14007,1,,
200,5002,50,2,14008,1,,
201,5002,50,2,14009,1,,
202,5002,50,2,14010,1,,
203,5002,50,2,14011,1,,
204,5003,10,2,14001,1,,
205,5003,50,2,14002,1,,
206,5003,50,2,14003,1,,
207,5003,50,2,14004,1,,
208,3015,150,3,24502,1,,
209,3015,150,3,24503,1,,
210,3015,150,3,24510,1,,
211,3015,150,3,24513,1,,
212,3015,150,3,25503,1,,
213,3015,150,3,25506,1,,
214,3015,150,3,25507,1,,
215,3015,150,3,25513,1,,
