id,breach,level,next,needPower,needPlayerLv,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,addPro-type-1,addPro-way-1,addPro-value-1,addPro-type-2,addPro-way-2,addPro-value-2,addPro-type-3,addPro-way-3,addPro-value-3,addPro-type-4,addPro-way-4,addPro-value-4,itemId,
1,1,1,2,23000000,160,2,1258,4,,,,,,,1,0,12000,2,0,1200,3,0,10,4,0,10,19601,
2,2,2,3,26000000,164,2,1258,6,,,,,,,1,0,24000,2,0,2400,3,0,20,4,0,20,19602,
3,3,3,4,29000000,168,2,1258,8,,,,,,,1,0,36000,2,0,3600,3,0,30,4,0,30,19603,
4,4,4,5,32000000,172,2,1258,10,,,,,,,1,0,48000,2,0,4800,3,0,40,4,0,40,19604,
5,5,5,6,35000000,176,2,1258,12,,,,,,,1,0,60000,2,0,6000,3,0,50,4,0,50,19605,
6,6,6,7,38000000,180,2,1258,14,,,,,,,1,0,72000,2,0,7200,3,0,60,4,0,60,19606,
7,7,7,8,41000000,185,2,1258,16,,,,,,,1,0,84000,2,0,8400,3,0,70,4,0,70,19607,
8,8,8,9,44000000,190,2,1258,18,,,,,,,1,0,96000,2,0,9600,3,0,80,4,0,80,19608,
9,9,9,10,47000000,195,2,1258,20,,,,,,,1,0,108000,2,0,10800,3,0,90,4,0,90,19609,
10,10,10,11,50000000,200,2,1258,22,,,,,,,1,0,120000,2,0,12000,3,0,100,4,0,100,19610,
11,11,11,12,53000000,205,2,1258,24,,,,,,,1,0,132000,2,0,13200,3,0,110,4,0,110,19611,
12,12,12,,,,,,,,,,,,,1,0,144000,2,0,14400,3,0,120,4,0,120,19612,
