id,name,avatarId,have,unlockType,unlockCondition1,monsterShow,convert,trendsId,headPath,trendsCondition1,
1,s==12|Nam mặc định,26001,1,0,,1,,,,,
2,s==11|Nữ mặc định,26002,1,0,,1,,,,,
3,s==4|vip4,26003,1,0,s==5|1|3|4,0,,,,,
4,s==5|vip10,26004,1,0,s==6|1|3|10,0,,,,,
21101,s==14|Binh lính Ngụy,21101,0,1,s==9|3|21101|1,1,,,,,
21201,s==9|Tào Ngang,21201,0,1,s==9|3|21201|1,1,,,,,
21301,s==8|Lạc Tiến,21301,0,1,s==9|3|21301|1,1,,,,,
21401,s==7|Tuân Du,21401,0,1,s==9|3|21401|1,1,,,,,
21402,s==8|Dương Tu,21402,0,1,s==9|3|21402|1,1,,,,,
21403,s==8|Từ Hoảng,21403,0,1,s==9|3|21403|1,1,,,,,
21404,s==11|Hạ Hầu Uyên,21404,0,1,s==9|3|21404|1,1,,,,,
21405,s==6|Hứa Du,21405,0,1,s==9|3|21405|1,1,,,,,
21501,s==8|Bàng Đức,21501,0,1,s==9|3|21501|1,1,,,,,
21502,s==10|Trương Hợp,21502,0,1,s==9|3|21502|1,1,,,,,
21503,s==7|Chân Cơ,21503,0,1,s==9|3|21503|1,1,,,,,
21504,s==8|Vương Dị,21504,0,1,s==9|3|21504|1,1,,,,,
21505,s==7|Điển Vi,21505,0,1,s==9|3|21505|1,1,,,,,
21507,s==9|Quách Gia,21507,0,1,s==9|3|21507|1,1,,,,,
21508,s==11|Trương Liêu,21508,0,1,s==9|3|21508|1,1,,,,,
21510,s==7|Hứa Chử,21510,0,1,s==9|3|21510|1,1,,,,,
22101,s==9|Thục Binh,22101,0,1,s==9|3|22101|1,1,,,,,
22201,s==9|Quan Bình,22201,0,1,s==9|3|22201|1,1,,,,,
22301,s==9|Lưu Phong,22301,0,1,s==9|3|22301|1,1,,,,,
22401,s==8|Mã Lương,22401,0,1,s==9|3|22401|1,1,,,,,
22402,s==8|Liêu Hóa,22402,0,1,s==9|3|22402|1,1,,,,,
22403,s==10|Chu Thương,22403,0,1,s==9|3|22403|1,1,,,,,
22404,s==7|Mị Trúc,22404,0,1,s==9|3|22404|1,1,,,,,
22405,s==7|Tần Mật,22405,0,1,s==9|3|22405|1,1,,,,,
22502,s==10|Trương Phi,22502,0,1,s==9|3|22502|1,1,,,,,
22504,s==7|Quan Vũ,22504,0,1,s==9|3|22504|1,1,,,,,
22505,s==9|Ngụy Diên,22505,0,1,s==9|3|22505|1,1,,,,,
22507,s==13|Gia Cát Lượng,22507,0,1,s==9|3|22507|1,1,,,,,
22508,s==9|Triệu Vân,22508,0,1,s==9|3|22508|1,1,,,,,
22509,s==7|Mã Siêu,22509,0,1,s==9|3|22509|1,1,,,,,
22510,s==6|Từ Thứ,22510,0,1,s==9|3|22510|1,1,,,,,
22511,s==10|Bàng Thống,22511,0,1,s==9|3|22511|1,1,,,,,
23101,s==8|Ngô Binh,23101,0,1,s==9|3|23101|1,1,,,,,
23201,s==8|Tôn Đăng,23201,0,1,s==9|3|23201|1,1,,,,,
23301,s==10|Lăng Thống,23301,0,1,s==9|3|23301|1,1,,,,,
23401,s==8|Từ Thịnh,23401,0,1,s==9|3|23401|1,1,,,,,
23402,s==6|Cố Ung,23402,0,1,s==9|3|23402|1,1,,,,,
23403,s==9|Trình Phổ,23403,0,1,s==9|3|23403|1,1,,,,,
23404,s==12|Gia Cát Khắc,23404,0,1,s==9|3|23404|1,1,,,,,
23405,s==11|Gia Cát Cẩn,23405,0,1,s==9|3|23405|1,1,,,,,
23502,s==8|Chu Thái,23502,0,1,s==9|3|23502|1,1,,,,,
23503,s==9|Tiểu Kiều,23503,0,1,s==9|3|23503|1,1,,,,,
23504,s==16|Tôn Thượng Hương,23504,0,1,s==9|3|23504|1,1,,,,,
23506,s==10|Thái Sử Từ,23506,0,1,s==9|3|23506|1,1,,,,,
23507,s==8|Cam Ninh,23507,0,1,s==9|3|23507|1,1,,,,,
23508,s==8|Đại Kiều,23508,0,1,s==9|3|23508|1,1,,,,,
23510,s==6|Chu Du,23510,0,1,s==9|3|23510|1,1,,,,,
23513,s==9|Hoàng Cái,23513,0,1,s==9|3|23513|1,1,,,,,
24301,s==12|Trương Lương,24301,0,1,s==9|3|24301|1,1,,,,,
24401,s==6|Từ Thụ,24401,0,1,s==9|3|24401|1,1,,,,,
24402,s==7|Lỗ Chất,24402,0,1,s==9|3|24402|1,1,,,,,
24403,s==10|Trương Bảo,24403,0,1,s==9|3|24403|1,1,,,,,
24404,s==12|Trương Thiệu,24404,0,1,s==9|3|24404|1,1,,,,,
24501,s==10|Điền Phong,24501,0,1,s==9|3|24501|1,1,,,,,
24502,s==10|Viên Thiệu,24502,0,1,s==9|3|24502|1,1,,,,,
24503,s==10|Khương Duy,24503,0,1,s==9|3|24503|1,1,,,,,
24504,s==11|Trương Giác,24504,0,1,s==9|3|24504|1,1,,,,,
24506,s==7|Lục Tốn,24506,0,1,s==9|3|24506|1,1,,,,,
24508,s==13|Gia Cát Lượng,24508,0,1,s==9|3|24508|1,1,,,,,
24510,s==11|Thái Văn Cơ,24510,0,1,s==9|3|24510|1,1,,,,,
24513,s==16|Thần·Hạ Hầu Uyên,24513,0,1,s==9|3|24513|1,1,,,,,
24518,s==19|Thần Vương·Lưu Bang,24518,0,1,s==9|3|24518|1,1,,1024518,s==48|SpineDynamic/playerhead/liubang/touxiang_liubang,s==11|2|1024518|1,
25301,s==8|Quách Tế,25301,0,1,s==9|3|25301|1,1,,,,,
25401,s==11|Lưu Tam Đao,25401,0,1,s==9|3|25401|1,1,,,,,
25402,s==9|Trương Tế,25402,0,1,s==9|3|25402|1,1,,,,,
25403,s==10|Mạnh Hoạch,25403,0,1,s==9|3|25403|1,1,,,,,
25404,s==11|Phan Chương,25404,0,1,s==9|3|25404|1,1,,,,,
25501,s==9|Trần Cung,25501,0,1,s==9|3|25501|1,1,,,,,
25503,s==8|Hoa Hùng,25503,0,1,s==9|3|25503|1,1,,,,,
25504,s==5|Lữ Bố,25504,0,1,s==9|3|25504|1,1,,,,,
25506,s==9|Chúc Dung,25506,0,1,s==9|3|25506|1,1,,,,,
25507,s==11|Điêu Thuyền,25507,0,1,s==9|3|25507|1,1,,,,,
25509,s==15|Trương Xuân Hoa,25509,0,1,s==9|3|25509|1,1,,,,,
25510,s==8|Tào Tháo,25510,0,1,s==9|3|25510|1,1,,,,,
25513,s==9|Đổng Trác,25513,0,1,s==9|3|25513|1,1,,,,,
25514,s==9|Ma·Hoa Đà,25514,0,1,s==9|3|25514|1,1,,,,,
25515,s==12|Ma·Triệu Vân,25515,0,1,s==9|3|25515|1,1,,,,,
25517,s==17|Ma·Quan Ngân Binh,25517,0,1,s==9|3|25517|1,0,,1025517,s==56|SpineDynamic/playerhead/guanyinping/touxiang_guanyinping,s==11|2|1025517|1,
25518,s==14|Ma Tôn·Hạng Vũ,25518,0,1,s==9|3|25518|1,0,,1025518,s==48|SpineDynamic/playerhead/xiangyu/touxiang_xiangyu,s==11|2|1025518|1,
24505,s==12|Thần·Quan Vũ,24505,0,1,s==9|3|24505|1,1,,,,,
21512,s==6|Vu Cấm,21512,0,1,s==9|3|21512|1,1,,,,,
25504001,s==19|Luyện Ngục Quỷ Thần,25504001,0,2,s==9|2|13001|1,1,,,,,
