id,dateStart,dateEnd,activityId,pos%1,pos%2,pos%3,pos%4,pos%5,pos%6,pos%7,pos%8,pos%9,weight,maxTimes,
1,1,371,5730,15015,15009,15011,15009,15015,15011,15009,15011,15015,1,1,
2,1,371,5730,15009,15015,15011,15009,15015,15011,15011,15015,15009,1,1,
3,1,371,5730,15009,15009,15015,15011,15015,15011,15015,15011,15009,1,1,
4,1,371,5730,15009,15009,15011,15015,15015,15015,15011,15009,15011,1,1,
5,1,371,5730,15015,15015,15015,15011,15009,15011,15009,15011,15009,1,1,
6,1,371,5730,15011,15009,15011,15009,15011,15009,15015,15015,15015,1,1,
7,1,371,5730,15015,15011,15009,15015,15011,15009,15015,15009,15011,1,1,
8,1,371,5730,15009,15011,15015,15011,15009,15015,15011,15009,15015,1,1,
9,1,371,5730,15009,15015,15011,15015,15009,15011,15015,15011,15009,5,,
10,1,371,5730,15015,15009,15011,15015,15009,15011,15011,15009,15015,5,,
11,1,371,5730,15015,15015,15009,15011,15009,15011,15009,15011,15015,5,,
12,1,371,5730,15015,15015,15011,15009,15009,15009,15011,15015,15011,5,,
13,1,371,5730,15009,15009,15009,15011,15015,15011,15015,15011,15015,5,,
14,1,371,5730,15011,15015,15011,15015,15011,15015,15009,15009,15009,5,,
15,1,371,5730,15009,15011,15015,15009,15011,15015,15009,15015,15011,5,,
16,1,371,5730,15015,15011,15009,15011,15015,15009,15011,15015,15009,5,,
17,1,371,5730,15015,15009,15011,15015,15015,15011,15009,15011,15009,5,,
18,1,371,5730,15015,15015,15011,15009,15015,15011,15011,15009,15009,5,,
19,1,371,5730,15009,15015,15015,15011,15015,15011,15009,15011,15009,5,,
20,1,371,5730,15009,15009,15011,15015,15015,15009,15011,15015,15011,5,,
21,1,371,5730,15015,15015,15009,15011,15015,15011,15009,15011,15009,5,,
22,1,371,5730,15011,15009,15011,15009,15011,15015,15015,15015,15009,5,,
23,1,371,5730,15015,15011,15009,15015,15011,15009,15009,15015,15011,5,,
24,1,371,5730,15009,15011,15015,15011,15015,15015,15011,15009,15009,5,,
25,1,371,5730,15011,15009,15015,15009,15011,15015,15009,15015,15011,5,,
26,1,371,5730,15009,15011,15015,15009,15011,15015,15015,15011,15009,5,,
27,1,371,5730,15009,15009,15011,15015,15011,15015,15011,15015,15009,5,,
28,1,371,5730,15009,15009,15015,15011,15011,15011,15015,15009,15015,5,,
29,1,371,5730,15011,15011,15011,15015,15009,15015,15009,15015,15009,5,,
30,1,371,5730,15015,15009,15015,15009,15015,15009,15011,15011,15011,5,,
31,1,371,5730,15011,15015,15009,15011,15015,15009,15011,15009,15015,5,,
32,1,371,5730,15009,15015,15011,15015,15009,15011,15015,15009,15011,5,,
33,1,371,5730,15009,15009,15015,15009,15011,15015,15015,15011,15011,70,,
34,1,371,5730,15015,15009,15015,15009,15011,15015,15011,15011,15009,70,,
35,1,371,5730,15015,15009,15009,15015,15011,15011,15011,15015,15009,70,,
36,1,371,5730,15015,15009,15015,15009,15011,15011,15015,15009,15011,70,,
37,1,371,5730,15009,15011,15011,15011,15015,15015,15009,15015,15009,70,,
38,1,371,5730,15015,15015,15011,15009,15015,15009,15009,15011,15011,70,,
39,1,371,5730,15009,15015,15015,15011,15015,15009,15011,15009,15011,70,,
40,1,371,5730,15009,15015,15009,15011,15015,15011,15015,15009,15011,70,,
41,1,371,5730,15009,15011,15015,15009,15009,15015,15011,15015,15011,70,,
42,1,371,5730,15009,15009,15015,15011,15009,15015,15015,15011,15011,70,,
43,1,371,5730,15009,15011,15009,15015,15009,15015,15011,15015,15011,70,,
44,372,-1,5730,15013,15012,15014,15012,15013,15014,15012,15014,15013,1,1,
45,372,-1,5730,15012,15013,15014,15012,15013,15014,15014,15013,15012,1,1,
46,372,-1,5730,15012,15012,15013,15014,15013,15014,15013,15014,15012,1,1,
47,372,-1,5730,15012,15012,15014,15013,15013,15013,15014,15012,15014,1,1,
48,372,-1,5730,15013,15013,15013,15014,15012,15014,15012,15014,15012,1,1,
49,372,-1,5730,15014,15012,15014,15012,15014,15012,15013,15013,15013,1,1,
50,372,-1,5730,15013,15014,15012,15013,15014,15012,15013,15012,15014,1,1,
51,372,-1,5730,15012,15014,15013,15014,15012,15013,15014,15012,15013,1,1,
52,372,-1,5730,15012,15013,15014,15013,15012,15014,15013,15014,15012,5,,
53,372,-1,5730,15013,15012,15014,15013,15012,15014,15014,15012,15013,5,,
54,372,-1,5730,15013,15013,15012,15014,15012,15014,15012,15014,15013,5,,
55,372,-1,5730,15013,15013,15014,15012,15012,15012,15014,15013,15014,5,,
56,372,-1,5730,15012,15012,15012,15014,15013,15014,15013,15014,15013,5,,
57,372,-1,5730,15014,15013,15014,15013,15014,15013,15012,15012,15012,5,,
58,372,-1,5730,15012,15014,15013,15012,15014,15013,15012,15013,15014,5,,
59,372,-1,5730,15013,15014,15012,15014,15013,15012,15014,15013,15012,5,,
60,372,-1,5730,15013,15012,15014,15013,15013,15014,15012,15014,15012,5,,
61,372,-1,5730,15013,15013,15014,15012,15013,15014,15014,15012,15012,5,,
62,372,-1,5730,15012,15013,15013,15014,15013,15014,15012,15014,15012,5,,
63,372,-1,5730,15012,15012,15014,15013,15013,15012,15014,15013,15014,5,,
64,372,-1,5730,15013,15013,15012,15014,15013,15014,15012,15014,15012,5,,
65,372,-1,5730,15014,15012,15014,15012,15014,15013,15013,15013,15012,5,,
66,372,-1,5730,15013,15014,15012,15013,15014,15012,15012,15013,15014,5,,
67,372,-1,5730,15012,15014,15013,15014,15013,15013,15014,15012,15012,5,,
68,372,-1,5730,15014,15012,15013,15012,15014,15013,15012,15013,15014,5,,
69,372,-1,5730,15012,15014,15013,15012,15014,15013,15013,15014,15012,5,,
70,372,-1,5730,15012,15012,15014,15013,15014,15013,15014,15013,15012,5,,
71,372,-1,5730,15012,15012,15013,15014,15014,15014,15013,15012,15013,5,,
72,372,-1,5730,15014,15014,15014,15013,15012,15013,15012,15013,15012,5,,
73,372,-1,5730,15013,15012,15013,15012,15013,15012,15014,15014,15014,5,,
74,372,-1,5730,15014,15013,15012,15014,15013,15012,15014,15012,15013,5,,
75,372,-1,5730,15012,15013,15014,15013,15012,15014,15013,15012,15014,5,,
76,372,-1,5730,15012,15012,15013,15012,15014,15013,15013,15014,15014,70,,
77,372,-1,5730,15013,15012,15013,15012,15014,15013,15014,15014,15012,70,,
78,372,-1,5730,15013,15012,15012,15013,15014,15014,15014,15013,15012,70,,
79,372,-1,5730,15013,15012,15013,15012,15014,15014,15013,15012,15014,70,,
80,372,-1,5730,15012,15014,15014,15014,15013,15013,15012,15013,15012,70,,
81,372,-1,5730,15013,15013,15014,15012,15013,15012,15012,15014,15014,70,,
82,372,-1,5730,15012,15013,15013,15014,15013,15012,15014,15012,15014,70,,
