boxLv,needLevel,needLotteryNum,need-type-1,need-item-1,need-value-1,time,unlock-type-1,unlock-item-1,unlock-value-1,unlockWeight,qualityWeight-quality-1,qualityWeight-weight-1,qualityWeight-must-1,qualityWeight-quality-2,qualityWeight-weight-2,qualityWeight-must-2,qualityWeight-quality-3,qualityWeight-weight-3,qualityWeight-must-3,qualityWeight-quality-4,qualityWeight-weight-4,qualityWeight-must-4,qualityWeight-quality-5,qualityWeight-weight-5,qualityWeight-must-5,qualityWeight-quality-6,qualityWeight-weight-6,qualityWeight-must-6,qualityWeight-quality-7,qualityWeight-weight-7,qualityWeight-must-7,qualityWeight-quality-8,qualityWeight-weight-8,qualityWeight-must-8,qualityWeight-quality-9,qualityWeight-weight-9,qualityWeight-must-9,qualityWeight-quality-10,qualityWeight-weight-10,qualityWeight-must-10,qualityWeight-quality-11,qualityWeight-weight-11,qualityWeight-must-11,qualityWeight-quality-12,qualityWeight-weight-12,qualityWeight-must-12,qualityWeight-quality-13,qualityWeight-weight-13,qualityWeight-must-13,qualityWeight-quality-14,qualityWeight-weight-14,qualityWeight-must-14,
1,0,20,1,8,0,60,,,,,1,8500,0,2,1000,0,3,500,0,4,0,0,5,0,0,6,0,0,7,0,0,8,0,0,9,0,0,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
2,0,50,1,8,0,300,1,10,5000,300,1,7450,0,2,1500,0,3,1000,0,4,50,0,5,0,0,6,0,0,7,0,0,8,0,0,9,0,0,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
3,10,0,1,8,0,600,,,,,1,6530,0,2,1800,0,3,1500,0,4,120,0,5,50,200,6,0,0,7,0,0,8,0,0,9,0,0,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
4,20,0,1,8,10000,1800,2,1001,10,200,1,5680,0,2,2100,0,3,1800,0,4,320,0,5,100,100,6,0,0,7,0,0,8,0,0,9,0,0,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
5,25,0,1,8,50000,3600,,,,,1,4730,0,2,2400,0,3,2100,0,4,520,0,5,200,50,6,50,200,7,0,0,8,0,0,9,0,0,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
6,30,0,1,8,100000,5400,2,1006,30,250,1,4070,0,2,2700,0,3,2160,0,4,720,0,5,240,30,6,100,100,7,10,1000,8,0,0,9,0,0,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
7,35,0,1,8,300000,43200,,,,,1,3250,0,2,3000,0,3,2220,0,4,920,0,5,400,15,6,160,50,7,50,200,8,0,0,9,0,0,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
8,40,0,1,8,500000,86400,2,3002,5,100,1,0,0,2,4540,0,3,2700,0,4,1500,0,5,800,0,6,300,30,7,150,50,8,10,1000,9,0,0,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
9,60,0,1,8,800000,129600,,,,,1,0,0,2,0,0,3,4540,0,4,2700,0,5,1500,0,6,800,15,7,300,30,8,150,50,9,10,1000,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
10,70,0,1,8,1000000,172800,2,3008,1,100,1,0,0,2,0,0,3,4050,0,4,2500,0,5,1500,0,6,1000,0,7,600,15,8,300,30,9,50,200,10,0,0,11,0,0,12,0,0,13,0,0,14,0,0,
11,80,0,1,8,1500000,216000,,,,,1,0,0,2,0,0,3,0,0,4,4540,0,5,2700,0,6,1500,0,7,800,0,8,300,30,9,150,50,10,10,1000,11,0,0,12,0,0,13,0,0,14,0,0,
12,90,0,1,8,2000000,216000,2,1077,5,100,1,0,0,2,0,0,3,0,0,4,4050,0,5,2500,0,6,1500,0,7,1000,0,8,600,15,9,300,30,10,50,200,11,0,0,12,0,0,13,0,0,14,0,0,
13,100,0,1,8,3000000,259200,,,,,1,0,0,2,0,0,3,0,0,4,0,0,5,4540,0,6,2700,0,7,1500,0,8,800,0,9,300,30,10,150,50,11,10,1000,12,0,0,13,0,0,14,0,0,
14,110,0,1,8,4000000,259200,2,1078,50,100,1,0,0,2,0,0,3,0,0,4,0,0,5,4050,0,6,2500,0,7,1500,0,8,1000,0,9,600,15,10,300,30,11,50,200,12,0,0,13,0,0,14,0,0,
15,120,0,1,8,5000000,302400,,,,,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,4540,0,7,2700,0,8,1500,0,9,800,0,10,300,30,11,150,50,12,10,1000,13,0,0,14,0,0,
16,125,0,1,8,6000000,302400,2,1058,1,25,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,4050,0,7,2500,0,8,1500,0,9,1000,0,10,600,15,11,300,30,12,50,200,13,0,0,14,0,0,
17,130,0,1,8,7000000,388800,,,,,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,4540,0,8,2700,0,9,1500,0,10,800,0,11,300,30,12,150,50,13,10,1000,14,0,0,
18,135,0,1,8,9000000,388800,2,1014,1,3,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,4050,0,8,2500,0,9,1500,0,10,1000,0,11,600,15,12,300,30,13,50,200,14,0,0,
19,140,0,1,8,10000000,388800,,,,,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,4540,0,9,2700,0,10,1500,0,11,800,0,12,300,30,13,150,50,14,10,1000,
20,145,0,,,,,2,1004,1,3,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,0,0,7,0,0,8,4050,0,9,2500,0,10,1500,0,11,1000,0,12,600,15,13,300,30,14,50,200,
