id,level,seat,quality,levelUpNeedEX,proEX,getEX,pro-type-1,pro-way-1,pro-value-1,pro-type-2,pro-way-2,pro-value-2,pro-type-3,pro-way-3,pro-value-3,pro-type-4,pro-way-4,pro-value-4,pro-type-5,pro-way-5,pro-value-5,pro-type-6,pro-way-6,pro-value-6,
1,0,1,1,500,,0,,,,,,,,,,,,,,,,,,,
2,1,1,1,600,500,500,2,0,150,,,,,,,,,,,,,,,,
3,2,1,1,700,1100,1100,2,0,300,,,,,,,,,,,,,,,,
4,3,1,1,800,1800,1800,2,0,450,,,,,,,,,,,,,,,,
5,4,1,1,900,2600,2600,2,0,600,,,,,,,,,,,,,,,,
6,5,1,1,,3500,3500,2,0,750,,,,,,,,,,,,,,,,
7,0,2,1,500,,0,,,,,,,,,,,,,,,,,,,
8,1,2,1,600,500,500,1,0,1500,,,,,,,,,,,,,,,,
9,2,2,1,700,1100,1100,1,0,3000,,,,,,,,,,,,,,,,
10,3,2,1,800,1800,1800,1,0,4500,,,,,,,,,,,,,,,,
11,4,2,1,900,2600,2600,1,0,6000,,,,,,,,,,,,,,,,
12,5,2,1,,3500,3500,1,0,7500,,,,,,,,,,,,,,,,
13,0,3,1,500,,0,,,,,,,,,,,,,,,,,,,
14,1,3,1,600,500,500,2,0,150,,,,,,,,,,,,,,,,
15,2,3,1,700,1100,1100,2,0,300,,,,,,,,,,,,,,,,
16,3,3,1,800,1800,1800,2,0,450,,,,,,,,,,,,,,,,
17,4,3,1,900,2600,2600,2,0,600,,,,,,,,,,,,,,,,
18,5,3,1,,3500,3500,2,0,750,,,,,,,,,,,,,,,,
19,0,4,1,500,,0,,,,,,,,,,,,,,,,,,,
20,1,4,1,600,500,500,1,0,1500,,,,,,,,,,,,,,,,
21,2,4,1,700,1100,1100,1,0,3000,,,,,,,,,,,,,,,,
22,3,4,1,800,1800,1800,1,0,4500,,,,,,,,,,,,,,,,
23,4,4,1,900,2600,2600,1,0,6000,,,,,,,,,,,,,,,,
24,5,4,1,,3500,3500,1,0,7500,,,,,,,,,,,,,,,,
25,0,1,2,500,,0,,,,,,,,,,,,,,,,,,,
26,1,1,2,600,500,500,2,0,225,,,,,,,,,,,,,,,,
27,2,1,2,700,1100,1100,2,0,450,,,,,,,,,,,,,,,,
28,3,1,2,800,1800,1800,2,0,675,,,,,,,,,,,,,,,,
29,4,1,2,900,2600,2600,2,0,900,,,,,,,,,,,,,,,,
30,5,1,2,1000,3500,3500,2,0,1125,,,,,,,,,,,,,,,,
31,6,1,2,1100,4500,4500,2,0,1350,,,,,,,,,,,,,,,,
32,7,1,2,1200,5600,5600,2,0,1575,,,,,,,,,,,,,,,,
33,8,1,2,1300,6800,6800,2,0,1800,,,,,,,,,,,,,,,,
34,9,1,2,1400,8100,8100,2,0,2025,,,,,,,,,,,,,,,,
35,10,1,2,,9500,9500,2,0,2250,2,1,100,,,,,,,,,,,,,
36,0,2,2,500,,0,,,,,,,,,,,,,,,,,,,
37,1,2,2,600,500,500,1,0,2250,,,,,,,,,,,,,,,,
38,2,2,2,700,1100,1100,1,0,4500,,,,,,,,,,,,,,,,
39,3,2,2,800,1800,1800,1,0,6750,,,,,,,,,,,,,,,,
40,4,2,2,900,2600,2600,1,0,9000,,,,,,,,,,,,,,,,
41,5,2,2,1000,3500,3500,1,0,11250,,,,,,,,,,,,,,,,
42,6,2,2,1100,4500,4500,1,0,13500,,,,,,,,,,,,,,,,
43,7,2,2,1200,5600,5600,1,0,15750,,,,,,,,,,,,,,,,
44,8,2,2,1300,6800,6800,1,0,18000,,,,,,,,,,,,,,,,
45,9,2,2,1400,8100,8100,1,0,20250,,,,,,,,,,,,,,,,
46,10,2,2,,9500,9500,1,0,22500,1,1,100,,,,,,,,,,,,,
47,0,3,2,500,,0,,,,,,,,,,,,,,,,,,,
48,1,3,2,600,500,500,2,0,225,,,,,,,,,,,,,,,,
49,2,3,2,700,1100,1100,2,0,450,,,,,,,,,,,,,,,,
50,3,3,2,800,1800,1800,2,0,675,,,,,,,,,,,,,,,,
51,4,3,2,900,2600,2600,2,0,900,,,,,,,,,,,,,,,,
52,5,3,2,1000,3500,3500,2,0,1125,,,,,,,,,,,,,,,,
53,6,3,2,1100,4500,4500,2,0,1350,,,,,,,,,,,,,,,,
54,7,3,2,1200,5600,5600,2,0,1575,,,,,,,,,,,,,,,,
55,8,3,2,1300,6800,6800,2,0,1800,,,,,,,,,,,,,,,,
56,9,3,2,1400,8100,8100,2,0,2025,,,,,,,,,,,,,,,,
57,10,3,2,,9500,9500,2,0,2250,2,1,100,,,,,,,,,,,,,
58,0,4,2,500,,0,,,,,,,,,,,,,,,,,,,
59,1,4,2,600,500,500,1,0,2250,,,,,,,,,,,,,,,,
60,2,4,2,700,1100,1100,1,0,4500,,,,,,,,,,,,,,,,
61,3,4,2,800,1800,1800,1,0,6750,,,,,,,,,,,,,,,,
62,4,4,2,900,2600,2600,1,0,9000,,,,,,,,,,,,,,,,
63,5,4,2,1000,3500,3500,1,0,11250,,,,,,,,,,,,,,,,
64,6,4,2,1100,4500,4500,1,0,13500,,,,,,,,,,,,,,,,
65,7,4,2,1200,5600,5600,1,0,15750,,,,,,,,,,,,,,,,
66,8,4,2,1300,6800,6800,1,0,18000,,,,,,,,,,,,,,,,
67,9,4,2,1400,8100,8100,1,0,20250,,,,,,,,,,,,,,,,
68,10,4,2,,9500,9500,1,0,22500,1,1,100,,,,,,,,,,,,,
69,0,1,3,500,,0,,,,,,,,,,,,,,,,,,,
70,1,1,3,600,500,500,2,0,300,,,,,,,,,,,,,,,,
71,2,1,3,700,1100,1100,2,0,600,,,,,,,,,,,,,,,,
72,3,1,3,800,1800,1800,2,0,900,,,,,,,,,,,,,,,,
73,4,1,3,900,2600,2600,2,0,1200,,,,,,,,,,,,,,,,
74,5,1,3,1000,3500,3500,2,0,1500,,,,,,,,,,,,,,,,
75,6,1,3,1100,4500,4500,2,0,1800,,,,,,,,,,,,,,,,
76,7,1,3,1200,5600,5600,2,0,2100,,,,,,,,,,,,,,,,
77,8,1,3,1300,6800,6800,2,0,2400,,,,,,,,,,,,,,,,
78,9,1,3,1400,8100,8100,2,0,2700,,,,,,,,,,,,,,,,
79,10,1,3,1600,9500,9500,2,0,3000,2,1,100,,,,,,,,,,,,,
80,11,1,3,1800,11100,11100,2,0,3300,2,1,100,,,,,,,,,,,,,
81,12,1,3,2000,12900,12900,2,0,3600,2,1,100,,,,,,,,,,,,,
82,13,1,3,2200,14900,14900,2,0,3900,2,1,100,,,,,,,,,,,,,
83,14,1,3,2400,17100,17100,2,0,4200,2,1,100,,,,,,,,,,,,,
84,15,1,3,,19500,19500,2,0,4500,2,1,100,,,,,,,,,,,,,
85,0,2,3,500,,0,,,,,,,,,,,,,,,,,,,
86,1,2,3,600,500,500,1,0,3000,,,,,,,,,,,,,,,,
87,2,2,3,700,1100,1100,1,0,6000,,,,,,,,,,,,,,,,
88,3,2,3,800,1800,1800,1,0,9000,,,,,,,,,,,,,,,,
89,4,2,3,900,2600,2600,1,0,12000,,,,,,,,,,,,,,,,
90,5,2,3,1000,3500,3500,1,0,15000,,,,,,,,,,,,,,,,
91,6,2,3,1100,4500,4500,1,0,18000,,,,,,,,,,,,,,,,
92,7,2,3,1200,5600,5600,1,0,21000,,,,,,,,,,,,,,,,
93,8,2,3,1300,6800,6800,1,0,24000,,,,,,,,,,,,,,,,
94,9,2,3,1400,8100,8100,1,0,27000,,,,,,,,,,,,,,,,
95,10,2,3,1600,9500,9500,1,0,30000,1,1,100,,,,,,,,,,,,,
96,11,2,3,1800,11100,11100,1,0,33000,1,1,100,,,,,,,,,,,,,
97,12,2,3,2000,12900,12900,1,0,36000,1,1,100,,,,,,,,,,,,,
98,13,2,3,2200,14900,14900,1,0,39000,1,1,100,,,,,,,,,,,,,
99,14,2,3,2400,17100,17100,1,0,42000,1,1,100,,,,,,,,,,,,,
100,15,2,3,,19500,19500,1,0,45000,1,1,100,,,,,,,,,,,,,
101,0,3,3,500,,0,,,,,,,,,,,,,,,,,,,
102,1,3,3,600,500,500,2,0,300,,,,,,,,,,,,,,,,
103,2,3,3,700,1100,1100,2,0,600,,,,,,,,,,,,,,,,
104,3,3,3,800,1800,1800,2,0,900,,,,,,,,,,,,,,,,
105,4,3,3,900,2600,2600,2,0,1200,,,,,,,,,,,,,,,,
106,5,3,3,1000,3500,3500,2,0,1500,,,,,,,,,,,,,,,,
107,6,3,3,1100,4500,4500,2,0,1800,,,,,,,,,,,,,,,,
108,7,3,3,1200,5600,5600,2,0,2100,,,,,,,,,,,,,,,,
