id,type,itemType,autoReset,itemId,combineNum,resourceType,resourceId,disPrice,desc,oriPrice,discount,buyLimit,lvLimit,lvheroLimit,sort,
1,1,2,2,1301,1,1,66,100,,200,3,5,1,1,99,
2,1,2,2,1302,1,1,66,100,,200,3,5,1,1,98,
3,1,2,2,1303,1,1,66,100,,200,3,5,1,1,97,
4,1,2,2,1304,1,1,66,100,,200,3,5,2,2,96,
5,1,2,2,1305,1,1,66,100,,200,3,5,3,3,95,
6,1,2,2,1306,1,1,66,100,,200,3,5,4,4,94,
7,1,2,2,1307,1,1,66,100,,200,3,5,5,5,93,
8,1,2,2,1308,1,1,66,100,,200,3,5,6,6,92,
9,1,2,2,1309,1,1,66,100,,200,3,5,7,7,91,
10,1,2,2,1310,1,1,66,100,,200,3,5,8,8,90,
11,1,2,2,1311,1,1,66,100,,200,3,5,9,9,89,
12,1,2,2,1312,1,1,66,100,,200,3,5,10,10,88,
13,1,2,2,1313,1,1,66,100,,200,3,5,11,11,87,
14,1,2,2,1314,1,1,66,100,,200,3,5,12,12,86,
15,1,2,2,1315,1,1,66,100,,200,3,5,13,13,85,
16,1,2,2,1316,1,1,66,100,,200,3,5,14,14,84,
17,1,2,2,1317,1,1,66,100,,200,3,5,15,15,83,
18,1,2,2,1318,1,1,66,100,,200,3,5,16,16,82,
19,2,2,4,1319,1,1,66,100,,200,3,5,1,1,81,
20,2,2,4,1320,1,1,66,100,,200,3,5,1,1,80,
21,2,2,4,1321,1,1,66,100,,200,3,5,1,1,79,
22,2,2,4,1322,1,1,66,100,,200,3,5,2,2,78,
23,2,2,4,1323,1,1,66,100,,200,3,5,3,3,77,
24,2,2,4,1324,1,1,66,100,,200,3,5,4,4,76,
25,2,2,4,1325,1,1,66,100,,200,3,5,5,5,75,
26,2,2,4,1326,1,1,66,100,,200,3,5,6,6,74,
27,2,2,4,1327,1,1,66,100,,200,3,5,7,7,73,
28,2,2,4,1328,1,1,66,100,,200,3,5,8,8,72,
29,2,2,4,1329,1,1,66,100,,200,3,5,9,9,71,
30,2,2,4,1330,1,1,66,100,,200,3,5,10,10,70,
31,2,2,4,1331,1,1,66,100,,200,3,5,11,11,69,
32,2,2,4,1332,1,1,66,100,,200,3,5,12,12,68,
33,2,2,4,1333,1,1,66,100,,200,3,5,13,13,67,
34,2,2,4,1334,1,1,66,100,,200,3,5,14,14,66,
35,2,2,4,1335,1,1,66,100,,200,3,5,15,15,65,
36,2,2,4,1336,1,1,66,100,,200,3,5,16,16,64,
