id,awardGroup,rewards-type-1,rewards-id-1,rewards-value-1,awardodd,awardTimes,
1,1,2,3011,50,0,-1,
2,2,2,3011,49,100,1,
3,2,2,3011,48,100,1,
4,2,2,3011,47,300,-1,
5,3,2,3011,46,100,2,
6,3,2,3011,45,100,3,
7,3,2,3011,44,300,-1,
8,4,2,3011,43,100,4,
9,4,2,3011,42,100,5,
10,4,2,3011,41,300,6,
11,4,2,3011,40,100,7,
12,4,2,3011,39,100,8,
13,4,2,3011,38,300,-1,
14,4,2,3011,37,20,-1,
15,5,2,3011,36,20,-1,
16,5,2,3011,35,25,-1,
17,5,2,3011,34,30,-1,
18,5,2,3011,33,35,-1,
19,5,2,3011,32,40,-1,
20,5,2,3011,31,45,-1,
21,5,2,3011,30,50,-1,
22,5,2,3011,29,55,-1,
23,5,2,3011,28,60,8,
24,5,2,3011,27,65,9,
25,5,2,3011,26,70,10,
26,5,2,3011,25,75,11,
27,5,2,3011,24,80,12,
28,5,2,3011,23,85,13,
29,5,2,3011,22,90,14,
30,5,2,3011,21,95,15,
31,5,2,3011,20,100,16,
