upStarID,star,nextStarID,preStarID,progress,talentSkill,upStar-type-1,upStar-way-1,upStar-value-1,upStar-type-2,upStar-way-2,upStar-value-2,
500010,0,,,,20202410,1,0,0,2,0,0,
500020,0,,,,20203210,1,0,0,2,0,0,
500030,0,,,,20203110,1,0,0,2,0,0,
500040,0,,,,20202510,1,0,0,2,0,0,
500050,0,,,,20202310,1,0,0,2,0,0,
500060,0,500061,,500,20203010,1,0,0,2,0,0,
500061,1,500062,500060,1000,20203010,1,0,5000,2,0,500,
500062,2,500063,500061,1500,20203010,1,0,12500,2,0,1250,
500063,3,500064,500062,2000,20203020,1,0,22500,2,0,2250,
500064,4,500065,500063,3000,20203020,1,0,35000,2,0,3500,
500065,5,,500064,,20203030,1,0,50000,2,0,5000,
500070,0,500071,,500,20202610,1,0,0,2,0,0,
500071,1,500072,500070,1000,20202610,1,0,5000,2,0,500,
500072,2,500073,500071,1500,20202610,1,0,12500,2,0,1250,
500073,3,500074,500072,2000,20202620,1,0,22500,2,0,2250,
500074,4,500075,500073,3000,20202620,1,0,35000,2,0,3500,
500075,5,,500074,,20202630,1,0,50000,2,0,5000,
500080,0,500081,,500,20202710,1,0,0,2,0,0,
500081,1,500082,500080,1000,20202710,1,0,5000,2,0,500,
500082,2,500083,500081,1500,20202710,1,0,12500,2,0,1250,
500083,3,500084,500082,2000,20202720,1,0,22500,2,0,2250,
500084,4,500085,500083,3000,20202720,1,0,35000,2,0,3500,
500085,5,,500084,,20202730,1,0,50000,2,0,5000,
500090,0,500091,,500,20202910,1,0,0,2,0,0,
500091,1,500092,500090,1000,20202910,1,0,5000,2,0,500,
500092,2,500093,500091,1500,20202910,1,0,12500,2,0,1250,
500093,3,500094,500092,2000,20202920,1,0,22500,2,0,2250,
500094,4,500095,500093,3000,20202920,1,0,35000,2,0,3500,
500095,5,,500094,,20202930,1,0,50000,2,0,5000,
500100,0,500101,,500,20202810,1,0,0,2,0,0,
500101,1,500102,500100,1000,20202810,1,0,5000,2,0,500,
500102,2,500103,500101,1500,20202810,1,0,12500,2,0,1250,
500103,3,500104,500102,2000,20202820,1,0,22500,2,0,2250,
500104,4,500105,500103,3000,20202820,1,0,35000,2,0,3500,
500105,5,,500104,,20202830,1,0,50000,2,0,5000,
500110,0,500111,,1000,20203610,1,0,0,2,0,0,
500111,1,500112,500110,2000,20203610,1,0,10000,2,0,1000,
500112,2,500113,500111,3000,20203610,1,0,25000,2,0,2500,
500113,3,500114,500112,4000,20203620,1,0,45000,2,0,4500,
500114,4,500115,500113,6000,20203620,1,0,70000,2,0,7000,
500115,5,,500114,,20203630,1,0,100000,2,0,10000,
500120,0,500121,,1000,20203510,1,0,0,2,0,0,
500121,1,500122,500120,2000,20203510,1,0,10000,2,0,1000,
500122,2,500123,500121,3000,20203510,1,0,25000,2,0,2500,
500123,3,500124,500122,4000,20203520,1,0,45000,2,0,4500,
500124,4,500125,500123,6000,20203520,1,0,70000,2,0,7000,
500125,5,,500124,,20203530,1,0,100000,2,0,10000,
500130,0,500131,,1000,20203310,1,0,0,2,0,0,
500131,1,500132,500130,2000,20203310,1,0,10000,2,0,1000,
500132,2,500133,500131,3000,20203310,1,0,25000,2,0,2500,
500133,3,500134,500132,4000,20203320,1,0,45000,2,0,4500,
500134,4,500135,500133,6000,20203320,1,0,70000,2,0,7000,
500135,5,,500134,,20203330,1,0,100000,2,0,10000,
500140,0,500141,,1000,20203710,1,0,0,2,0,0,
500141,1,500142,500140,2000,20203710,1,0,10000,2,0,1000,
500142,2,500143,500141,3000,20203710,1,0,25000,2,0,2500,
500143,3,500144,500142,4000,20203720,1,0,45000,2,0,4500,
500144,4,500145,500143,6000,20203720,1,0,70000,2,0,7000,
500145,5,,500144,,20203730,1,0,100000,2,0,10000,
500150,0,500151,,1000,20203410,1,0,0,2,0,0,
500151,1,500152,500150,2000,20203410,1,0,10000,2,0,1000,
500152,2,500153,500151,3000,20203410,1,0,25000,2,0,2500,
500153,3,500154,500152,4000,20203420,1,0,45000,2,0,4500,
500154,4,500155,500153,6000,20203420,1,0,70000,2,0,7000,
500155,5,,500154,,20203430,1,0,100000,2,0,10000,
