id,type,stageNum,hotStage,nextStageID,passAwards-type-1,passAwards-id-1,passAwards-value-1,passAwards-type-2,passAwards-id-2,passAwards-value-2,passAwards-type-3,passAwards-id-3,passAwards-value-3,passAwards-type-4,passAwards-id-4,passAwards-value-4,passAwards-type-5,passAwards-id-5,passAwards-value-5,battleId,battleScene,buffLab,buffNum,battleId2,
1001,1,1,,1002,1,8,2000,1,10,800,2,1012,5,,,,,,,70001,200000,,,,
1002,1,2,,1003,1,8,2500,1,10,1000,2,1012,5,,,,,,,70002,200000,,,,
1003,1,3,,1004,1,8,3000,1,10,1200,2,1012,5,,,,,,,70003,200000,,,,
1004,1,4,,1005,1,8,3000,1,10,1200,2,1012,5,,,,,,,70004,200000,,,,
1005,1,5,,1006,1,8,3500,1,10,1400,2,1012,5,,,,,,,70005,200000,,,,
1006,1,6,,1007,1,8,3500,1,10,1400,2,1012,5,,,,,,,70006,200000,,,,
1007,1,7,,1008,1,8,4000,1,10,1600,2,1012,5,,,,,,,70007,200000,,,,
1008,1,8,,1009,1,8,4000,1,10,1600,2,1012,5,,,,,,,70008,200000,,,,
1009,1,9,,1010,1,8,4500,1,10,1800,2,1012,5,,,,,,,70009,200000,,,,
1010,1,10,,1011,1,8,4500,1,10,1800,2,1012,5,,,,,,,70010,200000,,,,
1011,1,11,,1012,1,8,5000,1,10,2000,2,1012,5,,,,,,,70011,200000,,,,
1012,1,12,,1013,1,8,5000,1,10,2000,2,1012,5,,,,,,,70012,200000,,,,
1013,1,13,,1014,1,8,5500,1,10,2200,2,1012,5,,,,,,,70013,200000,,,,
1014,1,14,,1015,1,8,5500,1,10,2200,2,1012,5,,,,,,,70014,200000,,,,
1015,1,15,,1016,1,8,6000,1,10,2400,2,1012,5,,,,,,,70015,200000,,,,
1016,1,16,,1017,1,8,6000,1,10,2400,2,1012,5,,,,,,,70016,200000,,,,
1017,1,17,,1018,1,8,6500,1,10,2600,2,1012,5,,,,,,,70017,200000,,,,
1018,1,18,,1019,1,8,6500,1,10,2600,2,1012,5,,,,,,,70018,200000,,,,
1019,1,19,,1020,1,8,7000,1,10,2800,2,1012,5,,,,,,,70019,200000,,,,
1020,1,20,,1021,1,8,7000,1,10,2800,2,1012,5,,,,,,,70020,200000,,,,
1021,1,21,,1022,1,8,7500,1,10,3000,2,1012,5,,,,,,,70021,200000,,,,
1022,1,22,,1023,1,8,7500,1,10,3000,2,1012,5,,,,,,,70022,200000,,,,
1023,1,23,,1024,1,8,8000,1,10,3200,2,1012,5,,,,,,,70023,200000,,,,
1024,1,24,,1025,1,8,8000,1,10,3200,2,1012,5,,,,,,,70024,200000,,,,
1025,1,25,,1026,1,8,8500,1,10,3400,2,1012,5,,,,,,,70025,200000,,,,
1026,1,26,,1027,1,8,8500,1,10,3400,2,1012,5,,,,,,,70026,200000,,,,
1027,1,27,,1028,1,8,9000,1,10,3600,2,1012,5,,,,,,,70027,200000,,,,
1028,1,28,,1029,1,8,9000,1,10,3600,2,1012,5,,,,,,,70028,200000,,,,
1029,1,29,,1030,1,8,9500,1,10,3800,2,1012,5,,,,,,,70029,200000,,,,
1030,1,30,,1031,1,8,9500,1,10,3800,2,1012,5,,,,,,,70030,200000,,,,
1031,1,31,,1032,1,8,10000,1,10,4000,2,1012,5,,,,,,,70031,200000,,,,
1032,1,32,,1033,1,8,10000,1,10,4000,2,1012,5,,,,,,,70032,200000,,,,
1033,1,33,,1034,1,8,10500,1,10,4200,2,1012,5,,,,,,,70033,200000,,,,
1034,1,34,,1035,1,8,10500,1,10,4200,2,1012,5,,,,,,,70034,200000,,,,
1035,1,35,,1036,1,8,11000,1,10,4400,2,1012,5,,,,,,,70035,200000,,,,
1036,1,36,,1037,1,8,11000,1,10,4400,2,1012,5,,,,,,,70036,200000,,,,
1037,1,37,,1038,1,8,11500,1,10,4600,2,1012,5,,,,,,,70037,200000,,,,
1038,1,38,,1039,1,8,11500,1,10,4600,2,1012,5,,,,,,,70038,200000,,,,
1039,1,39,,1040,1,8,12000,1,10,4800,2,1012,5,,,,,,,70039,200000,,,,
1040,1,40,,1041,1,8,12000,1,10,4800,2,1012,5,,,,,,,70040,200000,,,,
1041,1,41,,1042,1,8,12500,1,10,5000,2,1012,5,,,,,,,70041,200000,,,,
1042,1,42,,1043,1,8,12500,1,10,5000,2,1012,5,,,,,,,70042,200000,,,,
1043,1,43,,1044,1,8,13000,1,10,5200,2,1012,5,,,,,,,70043,200000,,,,
1044,1,44,,1045,1,8,13000,1,10,5200,2,1012,5,,,,,,,70044,200000,,,,
1045,1,45,,1046,1,8,13500,1,10,5400,2,1012,5,,,,,,,70045,200000,,,,
1046,1,46,,1047,1,8,13500,1,10,5400,2,1012,5,,,,,,,70046,200000,,,,
1047,1,47,,1048,1,8,14000,1,10,5600,2,1012,5,,,,,,,70047,200000,,,,
1048,1,48,,1049,1,8,14000,1,10,5600,2,1012,5,,,,,,,70048,200000,,,,
1049,1,49,,1050,1,8,14500,1,10,5800,2,1012,5,,,,,,,70049,200000,,,,
1050,1,50,,1051,1,8,14500,1,10,5800,2,1012,5,,,,,,,70050,200000,,,,
1051,1,51,,1052,1,8,15000,1,10,6000,2,1012,5,,,,,,,70051,200000,,,,
