id,group,levelBegin,levelLimit,weight,
1,1,1,21,125,
2,2,21,41,125,
3,3,41,61,125,
4,4,61,81,125,
5,5,81,101,125,
6,6,101,121,125,
7,7,121,141,125,
8,8,141,999,125,
9,9,1,999,125,
10,10,1,999,125,
11,11,1,999,50,
12,12,1,999,125,
13,13,1,999,125,
14,14,1,999,250,
15,15,1,999,150,
16,16,1,999,150,
17,17,1,999,180,
18,18,1,999,80,
19,19,1,999,80,
20,20,30,999,15,
21,21,30,999,5,
22,22,30,999,50,
23,23,60,999,50,
24,24,1,999,15,
25,25,40,999,15,
26,26,60,999,15,
27,27,82,999,15,
28,28,85,999,15,
29,29,125,999,15,
30,30,130,999,15,
31,31,1,999,15,
32,32,40,999,15,
33,33,60,999,15,
34,34,82,999,15,
35,35,85,999,15,
36,36,125,999,15,
37,37,130,999,15,
