id,type,items-type-1,items-id-1,items-value-1,appearNum,floorNum,weight,openDays,swapId,
1,2,2,24516,50,40,40,10,,24,
2,2,2,24505,50,40,40,10,,25,
3,2,2,25504,50,40,40,10,,24,
4,2,2,25514,50,40,40,10,,25,
10,1,2,3014,10,,28,300,7,25,
11,1,2,1030,4,,,200,7,,
12,1,2,1081,4,,,200,7,,
13,1,2,1044,2,,,200,7,,
14,1,2,1082,3,,,1000,7,,
15,1,2,1043,5,,,1000,7,,
16,1,2,1029,3,,,1000,7,,
17,1,2,1003,1,,,500,7,,
18,1,2,1027,10,,,800,7,,
19,1,2,1077,20,,,660,7,,
20,1,2,3008,10,,,500,7,,
21,1,2,3002,15,,,800,7,,
22,1,2,1006,150,,,800,7,,
23,1,2,1001,150,,,800,7,,
24,1,2,2200,1,,,600,7,,
25,1,2,2201,1,,,600,7,,
26,1,2,3014,10,,28,300,15,25,
27,1,2,1037,4,,,200,15,,
28,1,2,1081,4,,,200,15,,
29,1,2,1104,2,,,200,15,,
30,1,2,1082,3,,,1000,15,,
31,1,2,1036,5,,,1000,15,,
32,1,2,1103,3,,,1000,15,,
33,1,2,1003,1,,,500,15,,
34,1,2,1027,10,,,800,15,,
35,1,2,1077,20,,,660,15,,
36,1,2,3008,10,,,500,15,,
37,1,2,3002,15,,,800,15,,
38,1,2,1006,150,,,800,15,,
39,1,2,1001,150,,,800,15,,
40,1,2,2200,1,,,600,15,,
41,1,2,2201,1,,,600,15,,
42,1,2,3014,10,,28,300,22,25,
43,1,2,1105,1,,,200,22,,
44,1,2,1009,4,,,200,22,,
45,1,2,1010,4,,,200,22,,
46,1,2,1052,20,,,1000,22,,
47,1,2,1011,3,,,1000,22,,
48,1,2,1078,150,,,1000,22,,
49,1,2,1003,1,,,500,22,,
50,1,2,1027,20,,,800,22,,
51,1,2,1077,40,,,660,22,,
52,1,2,3008,10,,,500,22,,
53,1,2,3002,30,,,800,22,,
54,1,2,1006,300,,,800,22,,
55,1,2,1001,300,,,800,22,,
56,1,2,2200,3,,,600,22,,
57,1,2,2201,3,,,600,22,,
58,1,2,3014,10,,28,300,46,25,
59,1,2,1076,1,,,200,46,,
60,1,2,1073,1,,,200,46,,
61,1,2,1018,4,,,200,46,,
62,1,2,1017,6,,,1000,46,,
63,1,2,1078,150,,,1000,46,,
64,1,2,1052,12,,,1000,46,,
65,1,2,1003,1,,,500,46,,
66,1,2,1027,20,,,800,46,,
67,1,2,1077,40,,,660,46,,
68,1,2,3008,10,,,500,46,,
69,1,2,3002,30,,,800,46,,
70,1,2,1006,300,,,800,46,,
71,1,2,1001,300,,,800,46,,
72,1,2,2200,3,,,600,46,,
73,1,2,2201,3,,,600,46,,
74,1,2,3014,10,,28,300,61,25,
75,1,2,1021,4,,,200,61,,
76,1,2,1057,1,,,200,61,,
77,1,2,1018,4,,,200,61,,
78,1,2,1017,6,,,1000,61,,
79,1,2,1115,300,,,1000,61,,
80,1,2,1020,6,,,1000,61,,
81,1,2,1003,1,,,500,61,,
82,1,2,1027,20,,,800,61,,
83,1,2,1077,40,,,660,61,,
84,1,2,3008,10,,,500,61,,
85,1,2,3002,30,,,800,61,,
86,1,2,1006,300,,,800,61,,
87,1,2,1001,300,,,800,61,,
88,1,2,2200,3,,,600,61,,
89,1,2,2201,3,,,600,61,,
