id,type,stageNum,nextStageID,passAwards-type-1,passAwards-id-1,passAwards-value-1,passAwards-type-2,passAwards-id-2,passAwards-value-2,passAwards-type-3,passAwards-id-3,passAwards-value-3,passAwards-type-4,passAwards-id-4,passAwards-value-4,passAwards-type-5,passAwards-id-5,passAwards-value-5,battleId,battleScene,searchAwards-type-1,searchAwards-id-1,searchAwards-value-1,searchAwards-type-2,searchAwards-id-2,searchAwards-value-2,robSuccessAwards-type-1,robSuccessAwards-id-1,robSuccessAwards-value-1,robSuccessAwards-type-2,robSuccessAwards-id-2,robSuccessAwards-value-2,robFailAwards-type-1,robFailAwards-id-1,robFailAwards-value-1,robFailAwards-type-2,robFailAwards-id-2,robFailAwards-value-2,
1001,1,1,1002,1,8,5000,2,1115,40,,,,,,,,,,100001,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1002,1,2,1003,1,8,5050,2,1115,40,,,,,,,,,,100002,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1003,1,3,1004,1,8,5100,2,1115,40,,,,,,,,,,100003,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1004,1,4,1005,1,8,5150,2,1115,40,,,,,,,,,,100004,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1005,1,5,1006,1,8,5200,2,1115,40,,,,,,,,,,100005,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1006,1,6,1007,1,8,5250,2,1115,40,,,,,,,,,,100006,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1007,1,7,1008,1,8,5300,2,1115,40,,,,,,,,,,100007,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1008,1,8,1009,1,8,5350,2,1115,40,,,,,,,,,,100008,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1009,1,9,1010,1,8,5400,2,1115,40,,,,,,,,,,100009,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1010,1,10,1011,1,8,5450,2,1115,40,,,,,,,,,,100010,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1011,1,11,1012,1,8,5500,2,1115,40,,,,,,,,,,100011,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1012,1,12,1013,1,8,5550,2,1115,40,,,,,,,,,,100012,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1013,1,13,1014,1,8,5600,2,1115,40,,,,,,,,,,100013,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1014,1,14,1015,1,8,5650,2,1115,40,,,,,,,,,,100014,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1015,1,15,1016,1,8,5700,2,1115,40,,,,,,,,,,100015,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1016,1,16,1017,1,8,5750,2,1115,40,,,,,,,,,,100016,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1017,1,17,1018,1,8,5800,2,1115,40,,,,,,,,,,100017,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1018,1,18,1019,1,8,5850,2,1115,40,,,,,,,,,,100018,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1019,1,19,1020,1,8,5900,2,1115,40,,,,,,,,,,100019,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1020,1,20,1021,1,8,5950,2,1115,40,,,,,,,,,,100020,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1021,1,21,1022,1,8,6000,2,1115,40,,,,,,,,,,100021,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1022,1,22,1023,1,8,6050,2,1115,40,,,,,,,,,,100022,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1023,1,23,1024,1,8,6100,2,1115,40,,,,,,,,,,100023,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1024,1,24,1025,1,8,6150,2,1115,40,,,,,,,,,,100024,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1025,1,25,1026,1,8,6200,2,1115,40,,,,,,,,,,100025,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1026,1,26,1027,1,8,6250,2,1115,40,,,,,,,,,,100026,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1027,1,27,1028,1,8,6300,2,1115,40,,,,,,,,,,100027,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1028,1,28,1029,1,8,6350,2,1115,40,,,,,,,,,,100028,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1029,1,29,1030,1,8,6400,2,1115,40,,,,,,,,,,100029,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1030,1,30,1031,1,8,6450,2,1115,40,,,,,,,,,,100030,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1031,1,31,1032,1,8,6500,2,1115,40,,,,,,,,,,100031,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1032,1,32,1033,1,8,6550,2,1115,40,,,,,,,,,,100032,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1033,1,33,1034,1,8,6600,2,1115,40,,,,,,,,,,100033,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1034,1,34,1035,1,8,6650,2,1115,40,,,,,,,,,,100034,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1035,1,35,1036,1,8,6700,2,1115,40,,,,,,,,,,100035,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1036,1,36,1037,1,8,6750,2,1115,40,,,,,,,,,,100036,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1037,1,37,1038,1,8,6800,2,1115,40,,,,,,,,,,100037,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1038,1,38,1039,1,8,6850,2,1115,40,,,,,,,,,,100038,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1039,1,39,1040,1,8,6900,2,1115,40,,,,,,,,,,100039,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1040,1,40,1041,1,8,6950,2,1115,40,,,,,,,,,,100040,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1041,1,41,1042,1,8,7000,2,1115,40,,,,,,,,,,100041,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1042,1,42,1043,1,8,7050,2,1115,40,,,,,,,,,,100042,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1043,1,43,1044,1,8,7100,2,1115,40,,,,,,,,,,100043,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1044,1,44,1045,1,8,7150,2,1115,40,,,,,,,,,,100044,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1045,1,45,1046,1,8,7200,2,1115,40,,,,,,,,,,100045,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1046,1,46,1047,1,8,7250,2,1115,40,,,,,,,,,,100046,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1047,1,47,1048,1,8,7300,2,1115,40,,,,,,,,,,100047,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1048,1,48,1049,1,8,7350,2,1115,40,,,,,,,,,,100048,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1049,1,49,1050,1,8,7400,2,1115,40,,,,,,,,,,100049,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1050,1,50,1051,1,8,7450,2,1115,40,,,,,,,,,,100050,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1051,1,51,1052,1,8,7500,2,1115,40,,,,,,,,,,100051,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1052,1,52,1053,1,8,7550,2,1115,40,,,,,,,,,,100052,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1053,1,53,1054,1,8,7600,2,1115,40,,,,,,,,,,100053,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1054,1,54,1055,1,8,7650,2,1115,40,,,,,,,,,,100054,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1055,1,55,1056,1,8,7700,2,1115,40,,,,,,,,,,100055,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1056,1,56,1057,1,8,7750,2,1115,40,,,,,,,,,,100056,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1057,1,57,1058,1,8,7800,2,1115,40,,,,,,,,,,100057,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1058,1,58,1059,1,8,7850,2,1115,40,,,,,,,,,,100058,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1059,1,59,1060,1,8,7900,2,1115,40,,,,,,,,,,100059,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1060,1,60,1061,1,8,7950,2,1115,40,,,,,,,,,,100060,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1061,1,61,1062,1,8,8000,2,1115,40,,,,,,,,,,100061,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1062,1,62,1063,1,8,8050,2,1115,40,,,,,,,,,,100062,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1063,1,63,1064,1,8,8100,2,1115,40,,,,,,,,,,100063,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1064,1,64,1065,1,8,8150,2,1115,40,,,,,,,,,,100064,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1065,1,65,1066,1,8,8200,2,1115,40,,,,,,,,,,100065,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1066,1,66,1067,1,8,8250,2,1115,40,,,,,,,,,,100066,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1067,1,67,1068,1,8,8300,2,1115,40,,,,,,,,,,100067,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1068,1,68,1069,1,8,8350,2,1115,40,,,,,,,,,,100068,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1069,1,69,1070,1,8,8400,2,1115,40,,,,,,,,,,100069,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1070,1,70,1071,1,8,8450,2,1115,40,,,,,,,,,,100070,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1071,1,71,1072,1,8,8500,2,1115,40,,,,,,,,,,100071,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1072,1,72,1073,1,8,8550,2,1115,40,,,,,,,,,,100072,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1073,1,73,1074,1,8,8600,2,1115,40,,,,,,,,,,100073,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1074,1,74,1075,1,8,8650,2,1115,40,,,,,,,,,,100074,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1075,1,75,1076,1,8,8700,2,1115,40,,,,,,,,,,100075,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1076,1,76,1077,1,8,8750,2,1115,40,,,,,,,,,,100076,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1077,1,77,1078,1,8,8800,2,1115,40,,,,,,,,,,100077,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1078,1,78,1079,1,8,8850,2,1115,40,,,,,,,,,,100078,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1079,1,79,1080,1,8,8900,2,1115,40,,,,,,,,,,100079,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1080,1,80,1081,1,8,8950,2,1115,40,,,,,,,,,,100080,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1081,1,81,1082,1,8,9000,2,1115,40,,,,,,,,,,100081,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1082,1,82,1083,1,8,9050,2,1115,40,,,,,,,,,,100082,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1083,1,83,1084,1,8,9100,2,1115,40,,,,,,,,,,100083,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1084,1,84,1085,1,8,9150,2,1115,40,,,,,,,,,,100084,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1085,1,85,1086,1,8,9200,2,1115,40,,,,,,,,,,100085,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
1086,1,86,1087,1,8,9250,2,1115,40,,,,,,,,,,100086,250000,2,1115,30,2,14101,5,2,1115,6,1,8,60000,2,1115,3,1,8,30000,
