skillId,heroId,type,buffs-type-1,buffs-way-1,buffs-value-1,
23511831,23511,1,1,1,480,
23511832,23511,1,1,1,960,
23511833,23511,1,1,1,1440,
23511834,23511,1,1,1,1920,
23511835,23511,2,1,1,2400,
22512831,22512,1,1,1,480,
22512832,22512,1,1,1,960,
22512833,22512,1,1,1,1440,
22512834,22512,1,1,1,1920,
22512835,22512,2,1,1,2400,
21515831,21515,1,1,1,480,
21515832,21515,1,1,1,960,
21515833,21515,1,1,1,1440,
21515834,21515,1,1,1,1920,
21515835,21515,2,1,1,2400,
25518831,25518,1,1,1,480,
25518832,25518,1,1,1,960,
25518833,25518,1,1,1,1440,
25518834,25518,1,1,1,1920,
25518835,25518,2,1,1,2400,
24518831,24518,1,1,1,480,
24518832,24518,1,1,1,960,
24518833,24518,1,1,1,1440,
24518834,24518,1,1,1,1920,
24518835,24518,2,1,1,2400,
