id,type,score,maxGet,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,items-type-4,items-id-4,items-value-4,items-type-5,items-id-5,items-value-5,
1,1,20,1,2,1003,3,2,8226,3,,,,,,,,,,
2,1,50,1,2,1014,1,2,8226,3,,,,,,,,,,
3,1,100,1,2,6877,1,2,8226,3,,,,,,,,,,
4,1,200,1,2,6878,1,2,8226,3,,,,,,,,,,
5,1,300,1,2,1004,1,2,8226,3,,,,,,,,,,
6,1,400,1,2,1003,3,2,8226,3,,,,,,,,,,
7,1,500,1,2,1014,1,2,8226,5,,,,,,,,,,
8,1,600,1,2,6877,1,2,8226,5,,,,,,,,,,
9,1,700,1,2,6878,1,2,8226,5,,,,,,,,,,
10,1,800,1,2,1004,1,2,8226,5,,,,,,,,,,
11,1,900,1,2,1004,1,2,8226,5,,,,,,,,,,
12,1,1000,1,2,1681,1,2,8226,10,,,,,,,,,,
13,1,1500,1,2,6877,5,2,8226,10,,,,,,,,,,
14,1,2000,1,2,1681,1,2,8226,10,,,,,,,,,,
15,1,2500,1,2,6878,5,2,8226,10,,,,,,,,,,
16,1,3000,1,2,1681,1,2,8226,10,,,,,,,,,,
17,1,3500,1,2,6877,5,2,8226,10,,,,,,,,,,
18,1,4000,1,2,1681,1,2,8226,10,,,,,,,,,,
19,1,4500,1,2,6878,5,2,8226,10,,,,,,,,,,
20,1,5000,1,2,1681,1,2,8226,10,,,,,,,,,,
21,2,500,40,2,1004,5,2,8226,10,,,,,,,,,,
