id,spineType,quality,Armature,armatureName,coolDown,spd,
1,1,1,5100100,s==4|bai1,900,1.1,
2,1,2,5100100,s==3|lv1,1250,1.2,
3,1,3,5100100,s==4|lan1,1550,1.3,
4,1,4,5100100,s==3|zi1,1900,1.3,
5,1,5,5100100,s==6|cheng1,2150,1.4,
6,1,6,5100100,s==5|hong1,2350,1.5,
7,1,7,5100100,s==4|jin1,2700,1.5,
8,1,8,5100100,s==4|fen1,2700,1.5,
9,1,9,5100100,s==4|cai1,2700,1.5,
10,1,10,5100100,s==4|cai1,2700,1.5,
11,1,11,5100100,s==4|cai1,2700,1.5,
12,1,12,5100100,s==4|cai1,2700,1.5,
13,1,13,5100100,s==4|cai1,2700,1.5,
14,1,14,5100100,s==4|cai1,2700,1.5,
15,2,1,5100101,s==3|bai,,,
16,2,2,5100101,s==2|lv,,,
17,2,3,5100101,s==3|lan,,,
18,2,4,5100101,s==2|zi,,,
19,2,5,5100101,s==5|cheng,,,
20,2,6,5100101,s==4|hong,,,
21,2,7,5100101,s==3|jin,,,
22,2,8,5100101,s==3|fen,,,
23,2,9,5100101,s==3|cai,,,
24,2,10,5100101,s==3|cai,,,
25,2,11,5100101,s==3|cai,,,
26,2,12,5100101,s==3|cai,,,
27,2,13,5100101,s==3|cai,,,
28,2,14,5100101,s==3|cai,,,
29,3,0,5100102,s==8|yuxi_man,,,
30,3,0,5100102,s==10|yuxi_woman,,,
31,4,0,5100103,s==3|sit,,,
32,5,0,5100104,s==7|lottery,,,
33,6,0,5100105,s==3|sit,,,
34,7,0,5100106,s==7|lottery,,,
