id,activityId,minDamage,maxDamage,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,reward-type-3,reward-id-3,reward-num-3,
1,3008,0,5000000,2,1136,5,1,63,1000,1,8,20000,
2,3008,5000000,10000000,2,1136,6,1,63,1100,1,8,40000,
3,3008,10000000,15000000,2,1136,7,1,63,1200,1,8,60000,
4,3008,15000000,20000000,2,1136,8,1,63,1300,1,8,80000,
5,3008,20000000,30000000,2,1136,9,1,63,1400,1,8,100000,
6,3008,30000000,50000000,2,1136,10,1,63,1500,1,8,120000,
7,3008,50000000,100000000,2,1136,11,1,63,1600,1,8,140000,
8,3008,100000000,300000000,2,1136,12,1,63,1700,1,8,160000,
9,3008,300000000,500000000,2,1136,13,1,63,1800,1,8,180000,
10,3008,500000000,1000000000,2,1136,14,1,63,1900,1,8,200000,
11,3008,1000000000,,2,1136,15,1,63,2000,1,8,220000,
12,3009,0,5000000,2,1136,5,1,63,1000,1,8,20000,
13,3009,5000000,10000000,2,1136,6,1,63,1100,1,8,40000,
14,3009,10000000,15000000,2,1136,7,1,63,1200,1,8,60000,
15,3009,15000000,20000000,2,1136,8,1,63,1300,1,8,80000,
16,3009,20000000,30000000,2,1136,9,1,63,1400,1,8,100000,
17,3009,30000000,50000000,2,1136,10,1,63,1500,1,8,120000,
18,3009,50000000,100000000,2,1136,11,1,63,1600,1,8,140000,
19,3009,100000000,300000000,2,1136,12,1,63,1700,1,8,160000,
20,3009,300000000,500000000,2,1136,13,1,63,1800,1,8,180000,
21,3009,500000000,1000000000,2,1136,14,1,63,1900,1,8,200000,
22,3009,1000000000,,2,1136,15,1,63,2000,1,8,220000,
