id,name,desc,isdict,state,beautyType,upType,voiceRes,bg_res,bg_res_block,txt,bestowConsume-type-1,bestowConsume-id-1,bestowConsume-value-1,bestowProperties-type-1,bestowProperties-way-1,bestowProperties-value-1,bestowProperties-type-2,bestowProperties-way-2,bestowProperties-value-2,bestowTimes,unlockCondition,
1,s==9|Đổng Bạch,s==116|Đông Hán mạt niên quý tộc nữ tử， truyền rằng là Tông Đích tôn nữ， chưa kịp cài trâm đã được phong làm Vị Dương Quân。,1,1,1,1,s==10|ceshiyuyin,3000009,3000059,s==28|Linh lung xí tử an hồng đậu，,2,1079,1,2,0,50,1,0,500,558,s==4|2|40,
2,s==15|Vương Nguyên Cơ,s==65|T司马昭之妻， Tây Tấn khai quốc hoàng đế T司马炎之母， tinh thông 《诗经》、 《论语》。,1,1,1,1,s==10|ceshiyuyin,3000010,3000060,s==37|Tử sinh khế khước， dữ tử thành thuyết,2,1079,1,2,0,50,1,0,500,558,,
3,s==7|Tâu Thị,s==61|Trương Tế之妻， Trương Tú之叔， dung mạo thậm mỹ， ngã kiến do liên。,1,1,2,2,s==10|ceshiyuyin,3000012,3000062,s==31|Chỉ duyên cảm quân nhất hồi cố，,2,1079,1,2,0,50,1,0,500,558,,
4,s==8|Tào Tiết,s==110|Tào Tháo之女， tuy thị vị lập thân thân nhi mà gả cho Hiến Đế chi kỳ tử， khắc đối phu quân hữu trạch vô chi tình。,1,1,2,2,s==10|ceshiyuyin,3000013,3000013,s==37|Quân đương như bàn thạch， thiếp đương,2,1079,1,2,0,50,1,0,500,558,,
5,s==17|Kính thỉnh kỳ đãi,s==17|Kính thỉnh kỳ đãi,0,0,2,2,s==10|ceshiyuyin,3000013,3000013,s==17|Kính thỉnh kỳ đãi,2,1079,1,2,0,50,1,0,500,558,,
6,s==10|Tôn Lỗ Dục,s==107|Ngô Đại Đế Tôn Quyền之女， tự Tiểu Hổ。 thiên chân lạn mạn， phất hữu kỷ phân cô cô Thượng Hương chi phong phạm。,1,1,2,2,s==10|ceshiyuyin,3000051,3000051,s==31|Thân vô thái phụng song phi ức，,2,1079,1,2,0,50,1,0,500,558,,
7,s==11|Gia Cát Quả,s==122|Chư Cát Khổng Minh之女， băng tuyết thông minh， tự ấu nghiên tập tu thân chi pháp， nhiên nan舍凡尘眷恋， hà khả đắc đạo thành tiên?,1,1,2,2,s==10|ceshiyuyin,3000061,3000061,s==34|Đối nguyệt hình đơn vọng tương hộ，,2,1079,1,2,0,50,1,0,500,558,,
8,s==16|Phàn Ngọc Phượng,s==110|Quế Dương quý tộc之妻， mạo mỹ như ngọc， nhân nhi hiểm thỉ lâm vị chính trị chi công cụ， hậu bị Triệu Vân sở cứu。,1,1,2,2,s==10|ceshiyuyin,3000071,3000071,s==34|Nhất sinh nhất thế nhất song nhân，,2,1079,1,2,0,50,1,0,500,558,,
9,s==14|Quách Nữ Vương,s==121|Ngụy Văn Đế Tào Phi之 hoàng hậu。 tài mạo song toàn， tú ngoại huệ trung nhi thế sở khan kiến， nhân nhi độc đắc chuyên sủng。,1,1,2,2,s==10|ceshiyuyin,3000081,3000085,s==30|Lục cung phấn đãi vô sắc diên，,2,1079,1,2,0,50,1,0,500,558,,
10,s==10|Tôn Lỗ Ban,s==124|Ngô Đại Đế Tôn Quyền之 trưởng nữ， Tôn Lỗ Dục bào tỷ， xưng Toàn công chúa。 cực kỳ thạo chơi trúng nhân tâm， mị cốt thiên sanh。,1,1,2,2,s==10|ceshiyuyin,3000091,3000095,s==35|Duyên lai duyên khứ duyên như thủy，,2,1079,1,2,0,50,1,0,500,558,,
11,s==5|Cố Đồ,s==151|Thường thường đái trướng tiểu bạch thố chi thần bí nữ tử， tự xưng thị lai tự nguyệt cung chi tiên nữ， yếu vị chủ công đem lai thượng thiên chi tứ phúc。,1,1,2,2,s==10|ceshiyuyin,3001101,3001105,s==34|Cộng khán ngọc thố tam kiều khiết，,2,1079,1,2,0,50,1,0,500,558,,
12,s==18|Hoa Giới Tiểu Kiều,s==106|Xuân hoa tranh phát， thanh điểu vi dẫn， ái hữu sở托， tình hữu sở quy! Tiểu Kiều tòng thử tiện quân tương ỷ!,1,1,2,2,s==10|ceshiyuyin,3001111,3001115,s==24|Thiếp tương thân giá dữ，,2,1079,1,2,0,50,1,0,500,558,,
13,s==20|Hoa Giới Điêu Thuyền,s==64|A nhã thân tư vũ phiên khiên， tuyệt sắc dung nhan kinh mộng hồn、,1,1,2,2,s==10|ceshiyuyin,3001120,3001120,s==37|Hồng nhan khuynh thành tuyệt thế mạo，,2,1079,1,2,0,50,1,0,500,558,,
14,s==20|Hoa Giới Thái Văn Cơ,s==68|Phiên phiên tố sàng vũ ngân tuyết， thánh đản chi dạ mộng huyễn tiên。,1,1,2,2,s==10|ceshiyuyin,3001122,3001122,s==35|Hàn dạ uyển chuyển cầm thanh hưởng，,2,1079,1,2,0,50,1,0,500,558,,
15,s==17|Hoa Giới Đại Kiều,s==65|Đoàn viên yến tịch hoa đăng chiếu， phúc mãn giang sơn hỷ khí tân。,1,1,2,2,s==10|ceshiyuyin,3001127,3001127,s==34|Xuân phong tiếu ngữ hoa mãn hương，,2,1079,1,2,0,50,1,0,500,558,,
100,s==17|Kính thỉnh kỳ đãi,s==17|Kính thỉnh kỳ đãi,0,0,,,s==10|ceshiyuyin,3000011,3000011,s==17|Kính thỉnh kỳ đãi,2,1079,1,2,0,50,1,0,500,558,,
