id,lv,upType,exp,atts-type-1,atts-way-1,atts-value-1,atts-type-2,atts-way-2,atts-value-2,costs-type-1,costs-id-1,costs-value-1,costs-type-2,costs-id-2,costs-value-2,costNum,expOnceWeight,expRandomLower,expRandomHigher,expRandomeWeight,returnItems,
1,0,1,36,2,0,14888,1,0,86479,2,1078,57,1,8,3300,12,500,13,16,500,,
2,1,1,71,2,0,12771,1,0,72624,2,1078,58,1,8,10000,15,500,16,19,500,s==19|2|1078|128,1|8|7425,
3,2,1,106,2,0,11077,1,0,61539,2,1078,60,1,8,19000,16,500,17,20,500,s==20|2|1078|344,1|8|44793,
4,3,1,141,2,0,9722,1,0,52671,2,1078,61,1,8,30000,16,500,17,20,500,s==21|2|1078|662,1|8|145493,
5,4,1,175,2,0,8637,1,0,45577,2,1078,62,1,8,45000,18,500,19,22,500,s==22|2|1078|1092,1|8|356993,
6,5,1,209,2,0,7770,1,0,39902,2,1078,63,1,8,60000,19,500,20,23,500,s==22|2|1078|1585,1|8|714947,
7,6,1,243,2,0,7076,1,0,35362,2,1078,64,1,8,78000,23,500,24,27,500,s==23|2|1078|2157,1|8|1260164,
8,7,1,276,2,0,6521,1,0,31729,2,1078,66,1,8,100000,26,500,27,30,500,s==23|2|1078|2733,1|8|1962164,
9,8,1,309,2,0,6077,1,0,28824,2,1078,67,1,8,132000,29,500,30,33,500,s==23|2|1078|3340,1|8|2882164,
10,9,1,342,2,0,5722,1,0,26499,2,1078,68,1,8,156000,29,500,30,33,500,s==23|2|1078|3967,1|8|4118164,
11,10,1,374,2,0,5437,1,0,24639,2,1078,69,1,8,180000,32,500,33,36,500,s==23|2|1078|4671,1|8|5734891,
12,11,1,406,2,0,5210,1,0,23152,2,1078,70,1,8,216000,34,500,35,38,500,s==23|2|1078|5387,1|8|7604891,
13,12,1,438,2,0,5028,1,0,21961,2,1078,72,1,8,240000,37,500,38,41,500,s==23|2|1078|6134,1|8|9912680,
14,13,1,470,2,0,4883,1,0,21009,2,1078,73,1,8,276000,37,500,38,41,500,s==24|2|1078|6903,1|8|12476582,
15,14,1,501,2,0,4766,1,0,20247,2,1078,74,1,8,312000,39,500,40,43,500,s==24|2|1078|7739,1|8|15640484,
16,15,1,531,2,0,4673,1,0,19638,2,1078,75,1,8,360000,41,500,42,45,500,s==24|2|1078|8601,1|8|19275646,
17,16,1,562,2,0,4599,1,0,19151,2,1078,76,1,8,396000,44,500,45,48,500,s==24|2|1078|9486,1|8|23523646,
