Id,heroId,maxStar,
1,21405,9,
2,21501,9,
3,21502,9,
4,21503,14,
5,21504,14,
6,21505,14,
7,21507,14,
8,21508,14,
9,21510,14,
10,21512,14,
11,21515,14,
12,22401,9,
13,22510,9,
14,22501,14,
15,22502,14,
16,22504,14,
17,22505,14,
18,22507,14,
19,22508,14,
20,22509,14,
21,22511,14,
22,22512,14,
23,23405,9,
24,23513,9,
25,23502,14,
26,23503,14,
27,23504,14,
28,23506,14,
29,23507,14,
30,23508,14,
31,23510,14,
32,23511,14,
33,24402,9,
34,24501,14,
35,24502,14,
36,24503,14,
37,24504,14,
38,24505,14,
39,24506,14,
40,24508,14,
41,24510,14,
42,24513,14,
43,24516,14,
44,25501,9,
45,25401,14,
46,25503,14,
47,25504,14,
48,25506,14,
49,25507,14,
50,25509,14,
51,25510,14,
52,25513,14,
53,25514,14,
54,25515,14,
55,25516,14,
56,25517,14,
57,24517,14,
58,25518,14,
59,24518,14,
60,22515,14,
61,26501,14,
62,21516,14,
63,26502,14,
64,26503,14,
65,26504,14,
66,26505,14,
