id,activityId,stage,buffId,buffId2,type,itemId,value,item-type-1,item-id-1,item-value-1,item-type-2,item-id-2,item-value-2,
1,3013,1,1|2|3,3001|2001|1001|4001,2,1142,6000,2,1007,5,2,1001,200,
2,3013,2,4|5|6,3002|2002|1002|4002,2,1142,20000,2,1003,1,2,1027,50,
3,3013,3,7|8|9,3003|2003|1003|4003,2,1142,40000,2,1004,1,2,1006,300,
4,3013,4,10|11|12,3004|2004|1004|4004,2,1142,75000,2,1003,2,2,1077,60,
5,3013,5,13|14|15,3005|2005|1005|4005,2,1142,120000,2,1140,1,2,1006,500,
6,3100,1,1|2|3,3001|2001|1001|4001,2,1142,6000,2,1007,5,2,1001,200,
7,3100,2,4|5|6,3002|2002|1002|4002,2,1142,20000,2,1003,1,2,1027,50,
8,3100,3,7|8|9,3003|2003|1003|4003,2,1142,40000,2,1004,1,2,1006,300,
9,3100,4,10|11|12,3004|2004|1004|4004,2,1142,75000,2,1003,2,2,1077,60,
10,3100,5,13|14|15,3005|2005|1005|4005,2,1142,120000,2,1195,1,2,1006,500,
