id,mainId,bonus,reward-type-1,reward-id-1,reward-num-1,reward-type-2,reward-id-2,reward-num-2,
1,1,3000,1,9,20,2,6860,1,
2,1,5000,1,9,30,2,1003,3,
3,1,7000,1,9,40,2,6860,1,
4,1,10000,1,9,50,2,1004,1,
5,1,13000,1,9,60,2,6860,2,
6,1,16000,1,9,70,2,1003,3,
7,1,20000,1,9,80,2,6860,2,
8,1,24000,1,9,90,2,1004,1,
9,1,28000,1,9,100,2,6860,2,
10,1,33000,1,9,110,2,1004,1,
11,1,38000,1,9,120,2,6860,3,
12,1,43000,1,9,150,2,1004,1,
13,2,3000,1,9,20,2,6864,1,
14,2,5000,1,9,30,2,1003,3,
15,2,7000,1,9,40,2,6864,1,
16,2,10000,1,9,50,2,1004,1,
17,2,13000,1,9,60,2,6864,2,
18,2,16000,1,9,70,2,1003,3,
19,2,20000,1,9,80,2,6864,2,
20,2,24000,1,9,90,2,1004,1,
21,2,28000,1,9,100,2,6864,2,
22,2,33000,1,9,110,2,1004,1,
23,2,38000,1,9,120,2,6864,3,
24,2,43000,1,9,150,2,1004,1,
25,3,3000,1,9,20,2,6862,1,
26,3,5000,1,9,30,2,1003,3,
27,3,7000,1,9,40,2,6862,1,
28,3,10000,1,9,50,2,1004,1,
29,3,13000,1,9,60,2,6862,2,
30,3,16000,1,9,70,2,1003,3,
31,3,20000,1,9,80,2,6862,2,
32,3,24000,1,9,90,2,1004,1,
33,3,28000,1,9,100,2,6862,2,
34,3,33000,1,9,110,2,1004,1,
35,3,38000,1,9,120,2,6862,3,
36,3,43000,1,9,150,2,1004,1,
37,4,3000,1,9,20,2,6866,1,
38,4,5000,1,9,30,2,1003,3,
39,4,7000,1,9,40,2,6866,1,
40,4,10000,1,9,50,2,1004,1,
41,4,13000,1,9,60,2,6866,2,
42,4,16000,1,9,70,2,1003,3,
43,4,20000,1,9,80,2,6866,2,
44,4,24000,1,9,90,2,1004,1,
45,4,28000,1,9,100,2,6866,2,
46,4,33000,1,9,110,2,1004,1,
47,4,38000,1,9,120,2,6866,3,
48,4,43000,1,9,150,2,1004,1,
49,5,3000,1,9,20,2,6868,1,
50,5,5000,1,9,30,2,1003,3,
51,5,7000,1,9,40,2,6868,1,
52,5,10000,1,9,50,2,1004,1,
53,5,13000,1,9,60,2,6868,2,
54,5,16000,1,9,70,2,1003,3,
55,5,20000,1,9,80,2,6868,2,
56,5,24000,1,9,90,2,1004,1,
57,5,28000,1,9,100,2,6868,2,
58,5,33000,1,9,110,2,1004,1,
59,5,38000,1,9,120,2,6868,3,
60,5,43000,1,9,150,2,1004,1,
61,6,3000,1,9,20,2,6874,1,
62,6,5000,1,9,30,2,1003,3,
63,6,7000,1,9,40,2,6874,1,
64,6,10000,1,9,50,2,1004,1,
65,6,13000,1,9,60,2,6874,2,
66,6,16000,1,9,70,2,1003,3,
67,6,20000,1,9,80,2,6874,2,
68,6,24000,1,9,90,2,1004,1,
69,6,28000,1,9,100,2,6874,2,
70,6,33000,1,9,110,2,1004,1,
71,6,38000,1,9,120,2,6874,3,
72,6,43000,1,9,150,2,1004,1,
73,7,3000,1,9,20,2,6971,1,
74,7,5000,1,9,30,2,1003,3,
75,7,7000,1,9,40,2,6971,1,
76,7,10000,1,9,50,2,1004,1,
77,7,13000,1,9,60,2,6971,2,
78,7,16000,1,9,70,2,1003,3,
79,7,20000,1,9,80,2,6971,2,
80,7,24000,1,9,90,2,1004,1,
81,7,28000,1,9,100,2,6971,2,
82,7,33000,1,9,110,2,1004,1,
83,7,38000,1,9,120,2,6971,3,
84,7,43000,1,9,150,2,1004,1,
85,8,3000,1,9,20,2,6984,1,
86,8,5000,1,9,30,2,1003,3,
87,8,7000,1,9,40,2,6984,1,
88,8,10000,1,9,50,2,1004,1,
89,8,13000,1,9,60,2,6984,2,
90,8,16000,1,9,70,2,1003,3,
91,8,20000,1,9,80,2,6984,2,
92,8,24000,1,9,90,2,1004,1,
93,8,28000,1,9,100,2,6984,2,
94,8,33000,1,9,110,2,1004,1,
95,8,38000,1,9,120,2,6984,3,
96,8,43000,1,9,150,2,1004,1,
97,9,3000,1,9,20,2,6998,1,
98,9,5000,1,9,30,2,1003,3,
99,9,7000,1,9,40,2,6998,1,
100,9,10000,1,9,50,2,1004,1,
101,9,13000,1,9,60,2,6998,2,
102,9,16000,1,9,70,2,1003,3,
103,9,20000,1,9,80,2,6998,2,
104,9,24000,1,9,90,2,1004,1,
105,9,28000,1,9,100,2,6998,2,
106,9,33000,1,9,110,2,1004,1,
107,9,38000,1,9,120,2,6998,3,
108,9,43000,1,9,150,2,1004,1,
109,10,3000,1,9,20,2,6573,1,
110,10,5000,1,9,30,2,1003,3,
111,10,7000,1,9,40,2,6573,1,
112,10,10000,1,9,50,2,1004,1,
113,10,13000,1,9,60,2,6573,2,
114,10,16000,1,9,70,2,1003,3,
115,10,20000,1,9,80,2,6573,2,
116,10,24000,1,9,90,2,1004,1,
117,10,28000,1,9,100,2,6573,2,
118,10,33000,1,9,110,2,1004,1,
119,10,38000,1,9,120,2,6573,3,
120,10,43000,1,9,150,2,1004,1,
121,11,3000,1,9,20,2,6575,1,
122,11,5000,1,9,30,2,1003,3,
123,11,7000,1,9,40,2,6575,1,
124,11,10000,1,9,50,2,1004,1,
125,11,13000,1,9,60,2,6575,2,
126,11,16000,1,9,70,2,1003,3,
127,11,20000,1,9,80,2,6575,2,
128,11,24000,1,9,90,2,1004,1,
129,11,28000,1,9,100,2,6575,2,
130,11,33000,1,9,110,2,1004,1,
131,11,38000,1,9,120,2,6575,3,
132,11,43000,1,9,150,2,1004,1,
133,12,3000,1,9,20,2,6554,1,
134,12,5000,1,9,30,2,1003,3,
135,12,7000,1,9,40,2,6554,1,
136,12,10000,1,9,50,2,1004,1,
137,12,13000,1,9,60,2,6554,2,
138,12,16000,1,9,70,2,1003,3,
139,12,20000,1,9,80,2,6554,2,
140,12,24000,1,9,90,2,1004,1,
141,12,28000,1,9,100,2,6554,2,
142,12,33000,1,9,110,2,1004,1,
143,12,38000,1,9,120,2,6554,3,
144,12,43000,1,9,150,2,1004,1,
145,13,3000,1,9,20,2,8081,1,
146,13,5000,1,9,30,2,1003,3,
147,13,7000,1,9,40,2,8081,1,
148,13,10000,1,9,50,2,1004,1,
149,13,13000,1,9,60,2,8081,2,
150,13,16000,1,9,70,2,1003,3,
151,13,20000,1,9,80,2,8081,2,
152,13,24000,1,9,90,2,1004,1,
153,13,28000,1,9,100,2,8081,2,
154,13,33000,1,9,110,2,1004,1,
155,13,38000,1,9,120,2,8081,3,
156,13,43000,1,9,150,2,1004,1,
157,30,3000,1,9,20,2,6580,1,
158,30,5000,1,9,30,2,1003,3,
159,30,7000,1,9,40,2,6580,1,
160,30,10000,1,9,50,2,1004,1,
161,30,13000,1,9,60,2,6580,2,
162,30,16000,1,9,70,2,1003,3,
163,30,20000,1,9,80,2,6580,2,
164,30,24000,1,9,90,2,1004,1,
165,30,28000,1,9,100,2,6580,2,
166,30,33000,1,9,110,2,1004,1,
167,30,38000,1,9,120,2,6580,3,
168,30,43000,1,9,150,2,1004,1,
169,14,3000,1,9,20,2,8190,1,
170,14,5000,1,9,30,2,1003,3,
171,14,7000,1,9,40,2,8190,1,
172,14,10000,1,9,50,2,1004,1,
173,14,13000,1,9,60,2,8190,2,
174,14,16000,1,9,70,2,1003,3,
175,14,20000,1,9,80,2,8190,2,
176,14,24000,1,9,90,2,1004,1,
177,14,28000,1,9,100,2,8190,2,
178,14,33000,1,9,110,2,1004,1,
179,14,38000,1,9,120,2,8190,3,
180,14,43000,1,9,150,2,1004,1,
181,15,3000,1,9,20,2,8190,1,
182,15,5000,1,9,30,2,1003,3,
183,15,7000,1,9,40,2,8190,1,
184,15,10000,1,9,50,2,1004,1,
185,15,13000,1,9,60,2,8190,2,
186,15,16000,1,9,70,2,1003,3,
187,15,20000,1,9,80,2,8190,2,
188,15,24000,1,9,90,2,1004,1,
189,15,28000,1,9,100,2,8190,2,
190,15,33000,1,9,110,2,1004,1,
191,15,38000,1,9,120,2,8190,3,
192,15,43000,1,9,150,2,1004,1,
193,16,3000,1,9,20,2,8190,1,
194,16,5000,1,9,30,2,1003,3,
195,16,7000,1,9,40,2,8190,1,
196,16,10000,1,9,50,2,1004,1,
197,16,13000,1,9,60,2,8190,2,
198,16,16000,1,9,70,2,1003,3,
199,16,20000,1,9,80,2,8190,2,
200,16,24000,1,9,90,2,1004,1,
201,16,28000,1,9,100,2,8190,2,
202,16,33000,1,9,110,2,1004,1,
203,16,38000,1,9,120,2,8190,3,
204,16,43000,1,9,150,2,1004,1,
205,17,3000,1,9,20,2,8145,1,
206,17,5000,1,9,30,2,1003,3,
207,17,7000,1,9,40,2,8145,1,
208,17,10000,1,9,50,2,1004,1,
209,17,13000,1,9,60,2,8145,2,
210,17,16000,1,9,70,2,1003,3,
211,17,20000,1,9,80,2,8145,2,
212,17,24000,1,9,90,2,1004,1,
213,17,28000,1,9,100,2,8145,2,
214,17,33000,1,9,110,2,1004,1,
215,17,38000,1,9,120,2,8145,3,
216,17,43000,1,9,150,2,1004,1,
217,18,3000,1,9,20,2,8145,1,
218,18,5000,1,9,30,2,1003,3,
219,18,7000,1,9,40,2,8145,1,
220,18,10000,1,9,50,2,1004,1,
221,18,13000,1,9,60,2,8145,2,
222,18,16000,1,9,70,2,1003,3,
223,18,20000,1,9,80,2,8145,2,
224,18,24000,1,9,90,2,1004,1,
225,18,28000,1,9,100,2,8145,2,
226,18,33000,1,9,110,2,1004,1,
227,18,38000,1,9,120,2,8145,3,
228,18,43000,1,9,150,2,1004,1,
229,19,3000,1,9,20,2,8145,1,
230,19,5000,1,9,30,2,1003,3,
231,19,7000,1,9,40,2,8145,1,
232,19,10000,1,9,50,2,1004,1,
233,19,13000,1,9,60,2,8145,2,
234,19,16000,1,9,70,2,1003,3,
235,19,20000,1,9,80,2,8145,2,
236,19,24000,1,9,90,2,1004,1,
237,19,28000,1,9,100,2,8145,2,
238,19,33000,1,9,110,2,1004,1,
239,19,38000,1,9,120,2,8145,3,
240,19,43000,1,9,150,2,1004,1,
241,20,3000,1,9,20,2,8190,1,
242,20,5000,1,9,30,2,1003,3,
243,20,7000,1,9,40,2,8190,1,
244,20,10000,1,9,50,2,1004,1,
245,20,13000,1,9,60,2,8190,2,
246,20,16000,1,9,70,2,1003,3,
247,20,20000,1,9,80,2,8190,2,
248,20,24000,1,9,90,2,1004,1,
249,20,28000,1,9,100,2,8190,2,
250,20,33000,1,9,110,2,1004,1,
251,20,38000,1,9,120,2,8190,3,
252,20,43000,1,9,150,2,1004,1,
