id,dateStart,dateEnd,activityId,taskGroup,includeTaskId,
1,1,371,5730,1,1001,
2,1,371,5730,1,1002,
3,1,371,5730,1,1003,
4,1,371,5730,1,1004,
5,1,371,5730,1,1007,
6,1,371,5730,1,1008,
7,1,371,5730,1,1009,
8,1,371,5730,1,1028,
9,1,371,5730,1,1029,
10,1,371,5730,1,1030,
11,1,371,5730,2,1001,
12,1,371,5730,2,1002,
13,1,371,5730,2,1003,
14,1,371,5730,2,1005,
15,1,371,5730,2,1010,
16,1,371,5730,2,1011,
17,1,371,5730,2,1012,
18,1,371,5730,2,1028,
19,1,371,5730,2,1029,
20,1,371,5730,2,1030,
21,1,371,5730,3,1001,
22,1,371,5730,3,1002,
23,1,371,5730,3,1003,
24,1,371,5730,3,1006,
25,1,371,5730,3,1013,
26,1,371,5730,3,1014,
27,1,371,5730,3,1015,
28,1,371,5730,3,1028,
29,1,371,5730,3,1029,
30,1,371,5730,3,1030,
31,1,371,5730,4,1001,
32,1,371,5730,4,1002,
33,1,371,5730,4,1003,
34,1,371,5730,4,1004,
35,1,371,5730,4,1016,
36,1,371,5730,4,1017,
37,1,371,5730,4,1018,
38,1,371,5730,4,1028,
39,1,371,5730,4,1029,
40,1,371,5730,4,1030,
41,1,371,5730,5,1001,
42,1,371,5730,5,1002,
43,1,371,5730,5,1003,
44,1,371,5730,5,1005,
45,1,371,5730,5,1019,
46,1,371,5730,5,1020,
47,1,371,5730,5,1021,
48,1,371,5730,5,1028,
49,1,371,5730,5,1029,
50,1,371,5730,5,1030,
51,1,371,5730,6,1001,
52,1,371,5730,6,1002,
53,1,371,5730,6,1003,
54,1,371,5730,6,1006,
55,1,371,5730,6,1022,
56,1,371,5730,6,1023,
57,1,371,5730,6,1024,
58,1,371,5730,6,1028,
59,1,371,5730,6,1029,
60,1,371,5730,6,1030,
61,1,371,5730,7,1001,
62,1,371,5730,7,1002,
63,1,371,5730,7,1003,
64,1,371,5730,7,1004,
65,1,371,5730,7,1025,
66,1,371,5730,7,1026,
67,1,371,5730,7,1027,
68,1,371,5730,7,1028,
69,1,371,5730,7,1029,
70,1,371,5730,7,1030,
71,372,-1,5730,1,2001,
72,372,-1,5730,1,2002,
73,372,-1,5730,1,2003,
74,372,-1,5730,1,2004,
75,372,-1,5730,1,2007,
76,372,-1,5730,1,2008,
77,372,-1,5730,1,2009,
78,372,-1,5730,1,2028,
79,372,-1,5730,1,2029,
80,372,-1,5730,1,2030,
81,372,-1,5730,2,2001,
82,372,-1,5730,2,2002,
83,372,-1,5730,2,2003,
84,372,-1,5730,2,2005,
85,372,-1,5730,2,2010,
86,372,-1,5730,2,2011,
87,372,-1,5730,2,2012,
88,372,-1,5730,2,2028,
89,372,-1,5730,2,2029,
90,372,-1,5730,2,2030,
91,372,-1,5730,3,2001,
92,372,-1,5730,3,2002,
93,372,-1,5730,3,2003,
94,372,-1,5730,3,2006,
95,372,-1,5730,3,2013,
96,372,-1,5730,3,2014,
97,372,-1,5730,3,2015,
98,372,-1,5730,3,2028,
99,372,-1,5730,3,2029,
100,372,-1,5730,3,2030,
101,372,-1,5730,4,2001,
102,372,-1,5730,4,2002,
103,372,-1,5730,4,2003,
104,372,-1,5730,4,2004,
105,372,-1,5730,4,2016,
106,372,-1,5730,4,2017,
107,372,-1,5730,4,2018,
108,372,-1,5730,4,2028,
109,372,-1,5730,4,2029,
110,372,-1,5730,4,2030,
111,372,-1,5730,5,2001,
112,372,-1,5730,5,2002,
113,372,-1,5730,5,2003,
114,372,-1,5730,5,2005,
115,372,-1,5730,5,2019,
116,372,-1,5730,5,2020,
117,372,-1,5730,5,2021,
118,372,-1,5730,5,2028,
119,372,-1,5730,5,2029,
120,372,-1,5730,5,2030,
121,372,-1,5730,6,2001,
122,372,-1,5730,6,2002,
123,372,-1,5730,6,2003,
124,372,-1,5730,6,2006,
125,372,-1,5730,6,2022,
126,372,-1,5730,6,2023,
127,372,-1,5730,6,2024,
128,372,-1,5730,6,2028,
129,372,-1,5730,6,2029,
130,372,-1,5730,6,2030,
131,372,-1,5730,7,2001,
132,372,-1,5730,7,2002,
133,372,-1,5730,7,2003,
134,372,-1,5730,7,2004,
135,372,-1,5730,7,2025,
136,372,-1,5730,7,2026,
137,372,-1,5730,7,2027,
138,372,-1,5730,7,2028,
139,372,-1,5730,7,2029,
140,372,-1,5730,7,2030,
