level,strongLv,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,skills%1,skills%2,skills%3,skills%4,skills%5,
1,4,2,1028,10,1,8,100000,100001,200001,300001,400001,500001,
2,6,2,1028,20,1,8,200000,100002,200002,300002,400002,500002,
3,8,2,1028,30,1,8,350000,100003,200003,300003,400003,500003,
4,10,2,1028,40,1,8,500000,100004,200004,300004,400004,500004,
5,12,2,1028,60,1,8,750000,100005,200005,300005,400005,500005,
6,14,2,1028,80,1,8,1000000,100006,200006,300006,400006,500006,
7,16,2,1028,100,1,8,1250000,100007,200007,300007,400007,500007,
8,18,2,1028,120,1,8,1500000,100008,200008,300008,400008,500008,
9,20,2,1028,140,1,8,2000000,100009,200009,300009,400009,500009,
10,22,2,1028,140,1,8,3000000,100010,200010,300010,400010,500010,
11,24,2,1028,160,1,8,5000000,100011,200011,300011,400011,500011,
12,26,2,1028,180,1,8,7000000,100012,200012,300012,400012,500012,
13,28,2,1028,200,1,8,9000000,100013,200013,300013,400013,500013,
14,30,2,1028,220,1,8,11000000,100014,200014,300014,400014,500014,
15,32,2,1028,240,1,8,13000000,100015,200015,300015,400015,500015,
16,34,2,1028,260,1,8,15000000,100016,200016,300016,400016,500016,
17,36,2,1028,280,1,8,17000000,100017,200017,300017,400017,500017,
18,38,2,1028,300,1,8,19000000,100018,200018,300018,400018,500018,
19,40,2,1028,320,1,8,21000000,100019,200019,300019,400019,500019,
20,42,2,1028,340,1,8,23000000,100020,200020,300020,400020,500020,
21,44,2,1028,360,1,8,25000000,100021,200021,300021,400021,500021,
22,46,2,1028,380,1,8,27000000,100022,200022,300022,400022,500022,
23,48,2,1028,400,1,8,29000000,100023,200023,300023,400023,500023,
24,50,2,1028,420,1,8,31000000,100024,200024,300024,400024,500024,
25,52,2,1028,440,1,8,33000000,100025,200025,300025,400025,500025,
