id,equipType,refineLevel,refineChance,chance-type-1,chance-id-1,chance-value-1,andChance,base-type-1,base-way-1,base-value-1,base-type-2,base-way-2,base-value-2,additional-type-1,additional-way-1,additional-value-1,consumes-type-1,consumes-id-1,consumes-value-1,consumes-type-2,consumes-id-2,consumes-value-2,backMaterial-Type-1,backMaterial-id-1,backMaterial-value-1,apponi-type-1,apponi-id-1,apponi-value-1,success-Type-1,success-Id-1,success-value-1,
1,1,1,10000,,,,,2,1,800,2,0,100,,,,2,1230,2,1,8,80000,2,1233,1,,,,2,1227,1,
2,1,2,9000,2,1228,1,1000,2,1,1600,2,0,200,,,,2,1230,3,1,8,80000,2,1234,1,,,,2,1227,1,
3,1,3,8000,2,1228,1,1000,2,1,2400,2,0,300,,,,2,1230,4,1,8,80000,2,1235,1,,,,2,1227,1,
4,1,4,7000,2,1228,1,1000,2,1,3200,2,0,400,,,,2,1230,5,1,8,80000,2,1236,1,,,,2,1227,1,
5,1,5,6000,2,1228,1,1000,2,1,4000,2,0,600,2,1,100,2,1230,6,1,8,80000,2,1237,1,,,,2,1227,1,
6,1,6,5000,2,1228,1,1000,2,1,4800,2,0,1000,,,,2,1230,7,1,8,80000,2,1238,1,,,,2,1227,1,
7,1,7,4000,2,1228,1,1000,2,1,5600,2,0,1500,,,,2,1230,8,1,8,80000,2,1239,1,2,1229,1,2,1227,1,
8,1,8,3500,2,1228,1,1000,2,1,6400,2,0,2000,,,,2,1230,9,1,8,80000,2,1240,1,2,1229,1,2,1227,1,
9,1,9,3000,2,1228,1,1000,2,1,7200,2,0,2500,,,,2,1230,10,1,8,80000,2,1241,1,2,1229,1,2,1227,1,
10,1,10,2500,2,1228,1,1000,2,1,8000,2,0,3000,2,1,200,2,1230,11,1,8,80000,2,1242,1,2,1229,1,2,1227,1,
11,1,11,2000,2,1228,2,1000,2,1,8800,2,0,3250,,,,2,1230,12,1,8,80000,2,1243,1,2,1229,1,2,1227,1,
12,1,12,1500,2,1228,2,1000,2,1,9600,2,0,3500,,,,2,1230,13,1,8,80000,2,1244,1,2,1229,1,2,1227,1,
13,1,13,1200,2,1228,2,1000,2,1,10400,2,0,3750,,,,2,1230,14,1,8,80000,2,1245,1,2,1229,1,2,1227,1,
14,1,14,1000,2,1228,2,1000,2,1,11200,2,0,4000,,,,2,1230,15,1,8,80000,2,1246,1,2,1229,1,2,1227,1,
15,1,15,1000,2,1228,2,1000,2,1,12000,2,0,4250,5,1,200,2,1230,16,1,8,80000,2,1247,1,2,1229,1,2,1227,1,
16,2,1,10000,,,,,1,1,800,1,0,750,,,,2,1230,2,1,8,80000,2,1233,1,,,,2,1227,1,
17,2,2,9000,2,1228,1,1000,1,1,1600,1,0,1500,,,,2,1230,3,1,8,80000,2,1234,1,,,,2,1227,1,
18,2,3,8000,2,1228,1,1000,1,1,2400,1,0,2250,,,,2,1230,4,1,8,80000,2,1235,1,,,,2,1227,1,
19,2,4,7000,2,1228,1,1000,1,1,3200,1,0,3000,,,,2,1230,5,1,8,80000,2,1236,1,,,,2,1227,1,
20,2,5,6000,2,1228,1,1000,1,1,4000,1,0,4500,1,1,100,2,1230,6,1,8,80000,2,1237,1,,,,2,1227,1,
21,2,6,5000,2,1228,1,1000,1,1,4800,1,0,7500,,,,2,1230,7,1,8,80000,2,1238,1,,,,2,1227,1,
22,2,7,4000,2,1228,1,1000,1,1,5600,1,0,11250,,,,2,1230,8,1,8,80000,2,1239,1,2,1229,1,2,1227,1,
23,2,8,3500,2,1228,1,1000,1,1,6400,1,0,15000,,,,2,1230,9,1,8,80000,2,1240,1,2,1229,1,2,1227,1,
24,2,9,3000,2,1228,1,1000,1,1,7200,1,0,18750,,,,2,1230,10,1,8,80000,2,1241,1,2,1229,1,2,1227,1,
25,2,10,2500,2,1228,1,1000,1,1,8000,1,0,22500,1,1,200,2,1230,11,1,8,80000,2,1242,1,2,1229,1,2,1227,1,
26,2,11,2000,2,1228,2,1000,1,1,8800,1,0,24375,,,,2,1230,12,1,8,80000,2,1243,1,2,1229,1,2,1227,1,
27,2,12,1500,2,1228,2,1000,1,1,9600,1,0,26250,,,,2,1230,13,1,8,80000,2,1244,1,2,1229,1,2,1227,1,
28,2,13,1200,2,1228,2,1000,1,1,10400,1,0,28125,,,,2,1230,14,1,8,80000,2,1245,1,2,1229,1,2,1227,1,
29,2,14,1000,2,1228,2,1000,1,1,11200,1,0,30000,,,,2,1230,15,1,8,80000,2,1246,1,2,1229,1,2,1227,1,
30,2,15,1000,2,1228,2,1000,1,1,12000,1,0,31875,9,1,200,2,1230,16,1,8,80000,2,1247,1,2,1229,1,2,1227,1,
31,3,1,10000,,,,,1,1,800,1,0,750,,,,2,1230,2,1,8,80000,2,1233,1,,,,2,1227,1,
32,3,2,9000,2,1228,1,1000,1,1,1600,1,0,1500,,,,2,1230,3,1,8,80000,2,1234,1,,,,2,1227,1,
33,3,3,8000,2,1228,1,1000,1,1,2400,1,0,2250,,,,2,1230,4,1,8,80000,2,1235,1,,,,2,1227,1,
34,3,4,7000,2,1228,1,1000,1,1,3200,1,0,3000,,,,2,1230,5,1,8,80000,2,1236,1,,,,2,1227,1,
35,3,5,6000,2,1228,1,1000,1,1,4000,1,0,4500,1,1,100,2,1230,6,1,8,80000,2,1237,1,,,,2,1227,1,
36,3,6,5000,2,1228,1,1000,1,1,4800,1,0,7500,,,,2,1230,7,1,8,80000,2,1238,1,,,,2,1227,1,
37,3,7,4000,2,1228,1,1000,1,1,5600,1,0,11250,,,,2,1230,8,1,8,80000,2,1239,1,2,1229,1,2,1227,1,
38,3,8,3500,2,1228,1,1000,1,1,6400,1,0,15000,,,,2,1230,9,1,8,80000,2,1240,1,2,1229,1,2,1227,1,
39,3,9,3000,2,1228,1,1000,1,1,7200,1,0,18750,,,,2,1230,10,1,8,80000,2,1241,1,2,1229,1,2,1227,1,
40,3,10,2500,2,1228,1,1000,1,1,8000,1,0,22500,1,1,200,2,1230,11,1,8,80000,2,1242,1,2,1229,1,2,1227,1,
41,3,11,2000,2,1228,2,1000,1,1,8800,1,0,24375,,,,2,1230,12,1,8,80000,2,1243,1,2,1229,1,2,1227,1,
42,3,12,1500,2,1228,2,1000,1,1,9600,1,0,26250,,,,2,1230,13,1,8,80000,2,1244,1,2,1229,1,2,1227,1,
43,3,13,1200,2,1228,2,1000,1,1,10400,1,0,28125,,,,2,1230,14,1,8,80000,2,1245,1,2,1229,1,2,1227,1,
44,3,14,1000,2,1228,2,1000,1,1,11200,1,0,30000,,,,2,1230,15,1,8,80000,2,1246,1,2,1229,1,2,1227,1,
45,3,15,1000,2,1228,2,1000,1,1,12000,1,0,31875,7,1,200,2,1230,16,1,8,80000,2,1247,1,2,1229,1,2,1227,1,
46,4,1,10000,,,,,2,1,800,2,0,100,,,,2,1230,2,1,8,80000,2,1233,1,,,,2,1227,1,
47,4,2,9000,2,1228,1,1000,2,1,1600,2,0,200,,,,2,1230,3,1,8,80000,2,1234,1,,,,2,1227,1,
48,4,3,8000,2,1228,1,1000,2,1,2400,2,0,300,,,,2,1230,4,1,8,80000,2,1235,1,,,,2,1227,1,
49,4,4,7000,2,1228,1,1000,2,1,3200,2,0,400,,,,2,1230,5,1,8,80000,2,1236,1,,,,2,1227,1,
50,4,5,6000,2,1228,1,1000,2,1,4000,2,0,600,2,1,100,2,1230,6,1,8,80000,2,1237,1,,,,2,1227,1,
51,4,6,5000,2,1228,1,1000,2,1,4800,2,0,1000,,,,2,1230,7,1,8,80000,2,1238,1,,,,2,1227,1,
52,4,7,4000,2,1228,1,1000,2,1,5600,2,0,1500,,,,2,1230,8,1,8,80000,2,1239,1,2,1229,1,2,1227,1,
53,4,8,3500,2,1228,1,1000,2,1,6400,2,0,2000,,,,2,1230,9,1,8,80000,2,1240,1,2,1229,1,2,1227,1,
54,4,9,3000,2,1228,1,1000,2,1,7200,2,0,2500,,,,2,1230,10,1,8,80000,2,1241,1,2,1229,1,2,1227,1,
55,4,10,2500,2,1228,1,1000,2,1,8000,2,0,3000,2,1,200,2,1230,11,1,8,80000,2,1242,1,2,1229,1,2,1227,1,
56,4,11,2000,2,1228,2,1000,2,1,8800,2,0,3250,,,,2,1230,12,1,8,80000,2,1243,1,2,1229,1,2,1227,1,
57,4,12,1500,2,1228,2,1000,2,1,9600,2,0,3500,,,,2,1230,13,1,8,80000,2,1244,1,2,1229,1,2,1227,1,
58,4,13,1200,2,1228,2,1000,2,1,10400,2,0,3750,,,,2,1230,14,1,8,80000,2,1245,1,2,1229,1,2,1227,1,
59,4,14,1000,2,1228,2,1000,2,1,11200,2,0,4000,,,,2,1230,15,1,8,80000,2,1246,1,2,1229,1,2,1227,1,
60,4,15,1000,2,1228,2,1000,2,1,12000,2,0,4250,8,1,200,2,1230,16,1,8,80000,2,1247,1,2,1229,1,2,1227,1,
