id,buildID,buildType,buildName,buildIcon,buildIconBig,buildLv,pointShow,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,roundRewards-type-1,roundRewards-id-1,roundRewards-value-1,roundRewards-type-2,roundRewards-id-2,roundRewards-value-2,taskRewards-type-1,taskRewards-id-1,taskRewards-value-1,taskRewards-type-2,taskRewards-id-2,taskRewards-value-2,
1,1010,1,s==4|扬威武馆,s==9|g_build03,s==8|g_build3,1,15,2,7034,15,2,1004,1,2,7034,15,2,1004,1,2,7034,25,2,1001,50,
2,1010,1,s==4|扬威武馆,s==9|g_build03,s==8|g_build3,2,22,2,7034,22,2,1004,1,2,7034,22,2,1004,1,2,7034,50,2,1001,100,
3,1010,1,s==4|扬威武馆,s==9|g_build03,s==8|g_build3,3,30,2,7034,30,2,1004,1,2,7034,30,2,1004,1,2,7034,75,2,1001,150,
4,1010,1,s==4|扬威武馆,s==9|g_build03,s==8|g_build3,4,39,2,7034,39,2,1004,1,2,7034,39,2,1004,1,2,7034,100,2,1001,200,
5,1010,1,s==4|扬威武馆,s==9|g_build03,s==8|g_build3,5,50,2,7034,50,2,1004,1,2,7034,50,2,1004,1,2,7034,150,2,1001,300,
6,1020,2,s==4|锦绣食府,s==9|g_build04,s==8|g_build4,1,12,2,7034,12,2,1003,1,2,7034,12,2,1003,1,2,7034,25,2,1006,50,
7,1020,2,s==4|锦绣食府,s==9|g_build04,s==8|g_build4,2,15,2,7034,15,2,1003,1,2,7034,15,2,1003,1,2,7034,50,2,1006,100,
8,1020,2,s==4|锦绣食府,s==9|g_build04,s==8|g_build4,3,18,2,7034,18,2,1003,1,2,7034,18,2,1003,1,2,7034,75,2,1006,150,
9,1020,2,s==4|锦绣食府,s==9|g_build04,s==8|g_build4,4,21,2,7034,21,2,1003,1,2,7034,21,2,1003,1,2,7034,100,2,1006,200,
10,1020,2,s==4|锦绣食府,s==9|g_build04,s==8|g_build4,5,24,2,7034,24,2,1003,1,2,7034,24,2,1003,1,2,7034,150,2,1006,300,
11,1030,3,s==4|兴盛银庄,s==9|g_build01,s==8|g_build1,1,10,2,7034,10,2,1027,20,2,7034,10,2,1027,20,2,7034,25,2,1027,20,
12,1030,3,s==4|兴盛银庄,s==9|g_build01,s==8|g_build1,2,12,2,7034,12,2,1027,40,2,7034,12,2,1027,40,2,7034,50,2,1027,30,
13,1030,3,s==4|兴盛银庄,s==9|g_build01,s==8|g_build1,3,15,2,7034,15,2,1027,60,2,7034,15,2,1027,60,2,7034,75,2,1027,40,
14,1030,3,s==4|兴盛银庄,s==9|g_build01,s==8|g_build1,4,19,2,7034,19,2,1027,80,2,7034,19,2,1027,80,2,7034,100,2,1027,50,
15,1030,3,s==4|兴盛银庄,s==9|g_build01,s==8|g_build1,5,24,2,7034,24,2,1027,100,2,7034,24,2,1027,100,2,7034,150,2,1027,60,
16,1040,4,s==4|安邦城关,s==9|g_build02,s==8|g_build2,1,10,2,7034,10,2,1006,100,2,7034,10,2,1006,100,2,7034,25,1,10,50000,
17,1040,4,s==4|安邦城关,s==9|g_build02,s==8|g_build2,2,12,2,7034,12,2,1006,200,2,7034,12,2,1006,200,2,7034,50,1,10,100000,
18,1040,4,s==4|安邦城关,s==9|g_build02,s==8|g_build2,3,15,2,7034,15,2,1006,300,2,7034,15,2,1006,300,2,7034,75,1,10,150000,
19,1040,4,s==4|安邦城关,s==9|g_build02,s==8|g_build2,4,19,2,7034,19,2,1006,400,2,7034,19,2,1006,400,2,7034,100,1,10,200000,
20,1040,4,s==4|安邦城关,s==9|g_build02,s==8|g_build2,5,24,2,7034,24,2,1006,500,2,7034,24,2,1006,500,2,7034,150,1,10,300000,
21,1050,5,s==4|育才书苑,s==9|g_build05,s==8|g_build5,1,10,2,7034,10,2,1001,100,2,7034,10,2,1001,100,2,7034,25,1,8,500000,
22,1050,5,s==4|育才书苑,s==9|g_build05,s==8|g_build5,2,12,2,7034,12,2,1001,200,2,7034,12,2,1001,200,2,7034,50,1,8,1000000,
23,1050,5,s==4|育才书苑,s==9|g_build05,s==8|g_build5,3,15,2,7034,15,2,1001,300,2,7034,15,2,1001,300,2,7034,75,1,8,1500000,
24,1050,5,s==4|育才书苑,s==9|g_build05,s==8|g_build5,4,19,2,7034,19,2,1001,400,2,7034,19,2,1001,400,2,7034,100,1,8,2000000,
25,1050,5,s==4|育才书苑,s==9|g_build05,s==8|g_build5,5,24,2,7034,24,2,1001,500,2,7034,24,2,1001,500,2,7034,150,1,8,3000000,
